Week,Nothing,D0,D1,D2,D3,D4
2013-07-16,100.00,0.00,0.00,0.00,0.00,0.00
2013-07-09,93.04,6.96,0.00,0.00,0.00,0.00
2013-07-02,82.34,17.66,0.00,0.00,0.00,0.00
2013-06-25,77.70,22.30,0.00,0.00,0.00,0.00
2013-06-18,73.53,26.47,0.00,0.00,0.00,0.00
2013-06-11,73.53,26.47,0.00,0.00,0.00,0.00
2013-06-04,68.64,31.36,4.74,0.00,0.00,0.00
2013-05-28,86.96,13.04,3.18,0.00,0.00,0.00
2013-05-21,94.56,5.44,0.00,0.00,0.00,0.00
2013-05-14,100.00,0.00,0.00,0.00,0.00,0.00
2013-05-07,100.00,0.00,0.00,0.00,0.00,0.00
2013-04-30,95.96,4.04,0.00,0.00,0.00,0.00
2013-04-23,95.96,4.04,0.00,0.00,0.00,0.00
2013-04-16,95.49,4.51,0.00,0.00,0.00,0.00
2013-04-09,91.01,8.99,0.00,0.00,0.00,0.00
2013-04-02,94.22,5.78,0.00,0.00,0.00,0.00
2013-03-26,94.59,5.41,0.00,0.00,0.00,0.00
2013-03-19,89.70,10.30,0.00,0.00,0.00,0.00
2013-03-12,93.63,6.37,0.00,0.00,0.00,0.00
2013-03-05,90.06,9.94,0.89,0.00,0.00,0.00
2013-02-26,88.56,11.44,1.63,0.00,0.00,0.00
2013-02-19,65.28,34.72,18.34,2.49,0.00,0.00
2013-02-12,64.84,35.16,18.53,3.92,0.00,0.00
2013-02-05,47.93,52.07,31.83,20.30,4.00,0.00
2013-01-29,43.32,56.68,33.35,21.94,8.03,0.00
2013-01-22,43.32,56.68,30.61,16.92,6.99,0.00
2013-01-15,43.23,56.77,32.57,17.94,8.23,0.00
2013-01-08,39.94,60.06,33.67,19.42,9.81,0.00
2013-01-01,40.07,59.93,33.67,19.47,9.81,0.00
2012-12-25,29.47,70.53,35.92,20.25,9.81,3.68
2012-12-18,27.70,72.30,36.41,20.76,9.81,3.68
2012-12-11,27.70,72.30,36.85,22.14,9.94,3.68
2012-12-04,26.86,73.14,37.74,22.87,9.94,3.68
2012-11-27,42.44,57.56,37.71,22.87,9.94,3.68
2012-11-20,54.95,45.05,30.05,20.14,8.05,3.68
2012-11-13,58.23,41.77,28.24,16.91,7.37,3.68
2012-11-06,56.54,43.46,28.21,17.47,7.37,3.68
2012-10-30,66.90,33.10,20.73,11.92,6.82,0.00
2012-10-23,73.52,26.48,18.81,11.92,6.82,0.00
2012-10-16,74.36,25.64,17.17,11.69,6.82,0.00
2012-10-09,76.42,23.58,17.17,11.69,6.82,0.00
2012-10-02,75.58,24.42,17.17,11.69,6.82,0.00
2012-09-25,71.58,28.42,19.42,15.36,8.69,0.00
2012-09-18,70.57,29.43,19.42,15.36,8.66,0.00
2012-09-11,68.56,31.44,19.42,15.36,8.66,0.00
2012-09-04,65.56,34.44,22.42,15.36,8.66,0.00
2012-08-28,55.69,44.31,27.23,15.36,8.66,0.00
2012-08-21,56.05,43.95,27.23,15.36,8.66,0.00
2012-08-14,46.49,53.51,27.23,16.25,8.66,0.00
2012-08-07,41.17,58.83,33.40,21.99,14.27,1.60
2012-07-31,16.44,83.56,46.74,23.70,14.58,1.74
2012-07-24,11.81,88.19,56.64,28.82,14.47,1.67
2012-07-17,10.15,89.85,58.56,29.35,15.65,1.08
2012-07-10,8.36,91.64,58.88,31.53,15.65,1.08
2012-07-03,8.52,91.48,58.00,31.53,15.64,1.08
2012-06-26,11.31,88.69,46.73,20.59,13.78,1.08
2012-06-19,42.59,57.41,26.43,17.55,12.58,1.06
2012-06-12,43.86,56.14,26.43,17.55,13.65,1.06
2012-06-05,13.63,86.37,42.22,29.08,20.84,2.85
2012-05-29,12.03,87.97,50.00,27.98,20.67,2.85
