Week,Nothing,D0,D1,D2,D3,D4
2013-07-16,9.00,91.00,46.98,7.04,0.00,0.00
2013-07-09,24.32,75.68,18.22,0.00,0.00,0.00
2013-07-02,86.65,13.35,0.00,0.00,0.00,0.00
2013-06-25,96.30,3.70,0.00,0.00,0.00,0.00
2013-06-18,95.19,4.81,1.03,0.00,0.00,0.00
2013-06-11,95.19,4.81,1.03,0.00,0.00,0.00
2013-06-04,94.31,5.69,1.89,0.00,0.00,0.00
2013-05-28,91.68,8.32,1.89,0.00,0.00,0.00
2013-05-21,74.76,25.24,2.83,0.00,0.00,0.00
2013-05-14,73.40,26.60,5.77,0.00,0.00,0.00
2013-05-07,81.59,18.41,5.85,0.00,0.00,0.00
2013-04-30,80.00,20.00,5.85,0.00,0.00,0.00
2013-04-23,64.50,35.50,8.37,0.00,0.00,0.00
2013-04-16,63.21,36.79,12.08,0.00,0.00,0.00
2013-04-09,56.65,43.35,14.04,0.00,0.00,0.00
2013-04-02,45.04,54.96,24.13,0.00,0.00,0.00
2013-03-26,40.22,59.78,26.49,5.49,0.00,0.00
2013-03-19,39.87,60.13,26.49,5.49,0.00,0.00
2013-03-12,46.26,53.74,24.13,2.38,0.00,0.00
2013-03-05,50.20,49.80,31.48,16.23,0.00,0.00
2013-02-26,50.22,49.78,31.54,16.23,0.00,0.00
2013-02-19,50.21,49.79,31.74,17.44,0.00,0.00
2013-02-12,49.79,50.21,31.74,17.44,0.00,0.00
2013-02-05,49.73,50.27,32.49,17.44,0.00,0.00
2013-01-29,34.07,65.93,43.75,25.22,5.53,0.00
2013-01-22,34.07,65.93,43.75,25.22,5.53,0.00
2013-01-15,25.06,74.94,53.81,34.55,10.14,0.00
2013-01-08,24.52,75.48,54.33,41.05,24.37,0.00
2013-01-01,24.37,75.63,54.32,41.05,24.37,0.00
2012-12-25,23.88,76.12,54.72,41.50,24.37,0.00
2012-12-18,23.88,76.12,54.72,41.50,24.37,0.00
2012-12-11,23.88,76.12,54.72,41.50,23.78,0.00
2012-12-04,18.15,81.85,66.19,42.30,23.78,0.00
2012-11-27,18.15,81.85,65.98,42.30,23.78,0.00
2012-11-20,18.28,81.72,66.00,42.30,23.27,0.00
2012-11-13,18.28,81.72,65.79,42.23,23.27,0.00
2012-11-06,7.69,92.31,80.15,63.80,29.80,0.00
2012-10-30,6.44,93.56,83.34,73.01,35.62,0.63
2012-10-23,6.52,93.48,83.34,73.01,35.63,0.63
2012-10-16,6.53,93.47,82.87,72.58,33.88,0.63
2012-10-09,6.04,93.96,82.77,72.65,41.96,8.74
2012-10-02,0.11,99.89,91.37,73.84,41.96,8.74
2012-09-25,0.11,99.89,91.37,73.93,41.99,8.74
2012-09-18,0.11,99.89,91.37,73.93,41.99,8.74
2012-09-11,0.16,99.84,94.70,75.72,46.27,12.06
2012-09-04,0.16,99.84,94.62,78.00,59.48,12.39
2012-08-28,0.00,100.00,99.74,96.63,74.26,45.50
2012-08-21,0.00,100.00,99.79,96.55,74.38,45.30
