Week,Nothing,D0,D1,D2,D3,D4
2013-07-16,0.00,100.00,92.46,72.77,26.46,3.04
2013-07-09,0.00,100.00,92.46,72.77,27.36,3.04
2013-07-02,0.00,100.00,92.46,74.35,27.40,3.04
2013-06-25,0.00,100.00,92.49,74.44,23.48,0.00
2013-06-18,0.00,100.00,92.49,72.23,22.25,0.00
2013-06-11,0.00,100.00,92.49,72.23,19.67,0.00
2013-06-04,0.00,100.00,92.49,72.53,19.67,0.00
2013-05-28,0.00,100.00,86.66,70.11,18.95,0.00
2013-05-21,0.00,100.00,86.66,70.11,18.95,0.00
2013-05-14,0.00,100.00,86.66,69.64,18.95,0.00
2013-05-07,0.00,100.00,86.66,69.64,18.90,0.00
2013-04-30,0.00,100.00,86.66,66.28,16.22,0.00
2013-04-23,2.62,97.38,83.62,57.69,13.80,0.00
2013-04-16,2.64,97.36,82.64,43.98,5.63,0.00
2013-04-09,3.06,96.94,81.30,41.15,5.63,0.00
2013-04-02,3.06,96.94,80.11,29.72,2.03,0.00
2013-03-26,3.06,96.94,80.11,29.72,2.03,0.00
2013-03-19,3.06,96.94,80.11,29.72,2.03,0.00
2013-03-12,3.06,96.94,80.11,29.72,2.03,0.00
2013-03-05,0.00,100.00,83.17,29.87,2.03,0.00
2013-02-26,0.00,100.00,83.08,29.45,2.03,0.00
2013-02-19,0.00,100.00,83.13,29.45,2.03,0.00
2013-02-12,0.00,100.00,87.66,29.45,2.03,0.00
2013-02-05,0.00,100.00,88.73,33.06,6.62,0.00
2013-01-29,0.00,100.00,88.73,33.06,6.62,0.00
2013-01-22,0.00,100.00,97.82,37.86,8.84,0.00
2013-01-15,0.00,100.00,97.82,37.86,8.84,0.00
2013-01-08,0.00,100.00,97.82,37.78,8.68,0.00
2013-01-01,0.00,100.00,97.91,37.78,8.68,0.00
2012-12-25,0.00,100.00,97.91,37.78,8.50,0.00
2012-12-18,0.00,100.00,97.91,37.78,8.50,0.00
2012-12-11,0.00,100.00,98.62,41.48,8.50,0.00
2012-12-04,0.00,100.00,98.62,41.43,8.50,0.00
2012-11-27,0.00,100.00,98.66,41.43,8.14,0.00
2012-11-20,0.00,100.00,98.66,34.10,5.67,0.00
2012-11-13,0.00,100.00,98.66,34.10,5.67,0.00
2012-11-06,0.00,100.00,98.66,35.51,5.67,0.00
2012-10-30,0.00,100.00,98.66,34.89,5.67,0.00
2012-10-23,0.00,100.00,98.66,31.28,5.67,0.00
2012-10-16,0.00,100.00,98.66,31.28,5.67,0.00
2012-10-09,0.00,100.00,100.00,31.42,5.67,0.00
2012-10-02,0.00,100.00,100.00,31.42,5.67,0.00
2012-09-25,0.00,100.00,100.00,31.93,5.67,0.00
2012-09-18,0.00,100.00,100.00,31.93,5.67,0.00
2012-09-11,0.00,100.00,100.00,32.65,6.89,0.00
2012-09-04,0.00,100.00,100.00,41.70,6.89,0.00
2012-08-28,0.00,100.00,100.00,41.68,7.46,0.00
2012-08-21,0.00,100.00,100.00,71.29,13.00,0.00
2012-08-14,0.00,100.00,100.00,93.97,24.95,0.00
2012-08-07,0.00,100.00,100.00,93.97,24.91,0.00
2012-07-31,0.00,100.00,100.00,94.07,25.07,0.00
2012-07-24,0.00,100.00,100.00,94.07,25.07,0.00
2012-07-17,0.00,100.00,100.00,94.07,26.33,0.00
2012-07-10,0.00,100.00,100.00,94.07,26.33,0.00
2012-07-03,0.00,100.00,100.00,93.78,25.07,0.00
2012-06-26,0.00,100.00,100.00,93.72,25.07,0.00
2012-06-19,0.00,100.00,100.00,93.72,24.60,0.00
2012-06-12,0.00,100.00,96.08,83.21,16.29,0.00
2012-06-05,0.00,100.00,96.08,82.74,16.29,0.00
2012-05-29,0.00,100.00,96.08,82.74,16.29,0.00
2012-05-22,0.00,100.00,96.08,82.74,16.29,0.00
2012-05-15,0.00,100.00,96.08,69.31,16.29,0.00
2012-05-08,0.00,100.00,96.08,67.19,16.29,0.00
2012-05-01,0.00,100.00,96.10,67.19,16.29,0.00
2012-04-24,0.00,100.00,95.98,67.19,16.29,0.00
2012-04-17,0.00,100.00,95.88,64.96,12.61,0.00
2012-04-10,0.00,100.00,93.82,62.21,12.61,0.00
2012-04-03,0.00,100.00,93.82,61.86,12.61,0.00
2012-03-27,0.39,99.61,93.25,60.47,12.61,0.00
2012-03-20,0.47,99.53,93.25,60.47,8.54,0.00
2012-03-13,0.47,99.53,92.82,62.25,8.52,0.00
2012-03-06,0.47,99.53,91.72,46.23,0.00,0.00
2012-02-28,0.47,99.53,91.72,40.36,0.00,0.00
2012-02-21,1.98,98.02,86.92,33.32,0.00,0.00
2012-02-14,1.98,98.02,80.56,33.32,0.00,0.00
2012-02-07,1.39,98.61,81.05,36.56,2.78,0.00
2012-01-31,6.39,93.61,73.48,36.56,2.78,0.00
2012-01-24,7.23,92.77,60.34,36.56,2.78,0.00
2012-01-17,7.36,92.64,60.34,36.56,2.78,0.00
2012-01-10,16.70,83.30,60.34,36.56,2.78,0.00
2012-01-03,16.70,83.30,60.34,36.56,2.78,0.00
2011-12-27,16.70,83.30,60.34,36.56,2.78,0.00
2011-12-20,16.70,83.30,60.34,36.56,2.78,0.00
2011-12-13,1.53,98.47,71.18,48.80,29.06,0.00
2011-12-06,1.53,98.47,71.18,48.80,29.99,0.38
2011-11-29,1.53,98.47,72.24,48.80,29.99,0.38
2011-11-22,1.53,98.47,72.24,48.80,29.99,1.24
2011-11-15,1.53,98.47,72.24,48.80,29.99,1.24
2011-11-08,1.50,98.50,72.03,48.37,29.86,1.24
2011-11-01,1.50,98.50,72.03,48.37,29.83,1.24
2011-10-25,1.43,98.57,68.57,42.81,15.12,1.24
2011-10-18,1.43,98.57,68.57,42.81,15.12,1.24
2011-10-11,0.89,99.11,69.11,42.81,15.12,1.24
2011-10-04,0.02,99.98,69.76,42.81,15.34,1.67
2011-09-27,0.02,99.98,69.76,42.81,15.34,1.67
2011-09-20,0.02,99.98,69.76,42.81,15.34,1.67
2011-09-13,0.01,99.99,71.50,45.86,19.15,1.67
2011-09-06,0.01,99.99,70.40,39.34,19.15,1.67
2011-08-30,2.41,97.59,70.17,39.12,18.99,1.35
2011-08-23,2.41,97.59,61.56,33.69,12.93,2.08
2011-08-16,2.41,97.59,61.56,36.79,11.52,2.08
2011-08-09,11.15,88.85,60.35,37.15,14.02,4.83
2011-08-02,11.15,88.85,60.35,37.15,14.02,4.83
2011-07-26,11.15,88.85,60.35,37.15,14.02,4.83
2011-07-19,11.15,88.85,60.35,37.15,14.28,4.83
2011-07-12,12.78,87.22,60.35,38.20,15.02,4.83
2011-07-05,2.46,97.54,61.64,40.02,18.27,5.62
2011-06-28,2.46,97.54,61.64,40.02,18.27,5.62
2011-06-21,22.60,77.40,56.26,28.69,18.27,5.62
2011-06-14,22.51,77.49,56.26,28.69,18.27,5.62
2011-06-07,22.51,77.49,56.26,28.69,18.34,0.96
2011-05-31,22.51,77.49,56.26,28.69,15.59,0.00
2011-05-24,22.51,77.49,56.26,28.69,15.59,0.00
2011-05-17,13.83,86.17,58.25,31.54,15.59,0.00
2011-05-10,13.83,86.17,57.90,31.54,15.59,0.00
2011-05-03,13.93,86.07,57.89,31.54,15.59,0.00
2011-04-26,13.93,86.07,57.89,22.16,11.73,0.00
2011-04-19,25.62,74.38,49.30,22.16,11.73,0.00
2011-04-12,25.62,74.38,49.30,22.16,11.73,0.00
2011-04-05,25.66,74.34,49.27,22.05,11.84,0.00
2011-03-29,24.84,75.16,47.39,21.37,10.96,0.00
2011-03-22,28.64,71.36,40.91,13.72,5.96,0.00
2011-03-15,28.64,71.36,40.88,12.59,5.96,0.00
2011-03-08,29.07,70.93,40.88,12.59,5.60,0.00
2011-03-01,29.07,70.93,40.88,12.59,0.00,0.00
2011-02-22,29.07,70.93,40.88,12.59,0.00,0.00
2011-02-15,29.07,70.93,40.88,12.59,0.00,0.00
2011-02-08,29.04,70.96,40.88,12.59,0.00,0.00
2011-02-01,30.61,69.39,32.00,12.50,0.00,0.00
2011-01-25,40.46,59.54,32.00,3.94,0.00,0.00
2011-01-18,40.46,59.54,32.00,0.00,0.00,0.00
2011-01-11,40.34,59.66,31.93,0.00,0.00,0.00
2011-01-04,37.05,62.95,32.38,0.00,0.00,0.00
2010-12-28,31.40,68.60,32.45,0.00,0.00,0.00
2010-12-21,5.65,94.35,36.28,0.00,0.00,0.00
2010-12-14,5.65,94.35,26.15,0.00,0.00,0.00
2010-12-07,0.13,99.88,6.76,0.00,0.00,0.00
2010-11-30,50.48,49.52,6.76,0.00,0.00,0.00
2010-11-23,51.18,48.82,6.76,0.00,0.00,0.00
2010-11-16,51.18,48.82,6.76,0.00,0.00,0.00
2010-11-09,51.45,48.55,3.26,0.00,0.00,0.00
2010-11-02,51.45,48.55,3.26,0.00,0.00,0.00
2010-10-26,51.45,48.55,3.26,0.00,0.00,0.00
2010-10-19,39.75,60.25,8.75,3.23,0.00,0.00
2010-10-12,39.75,60.25,8.75,3.23,0.00,0.00
2010-10-05,40.00,60.00,18.58,3.23,0.00,0.00
2010-09-28,40.00,60.00,18.58,3.23,0.00,0.00
2010-09-21,40.00,60.00,18.58,3.23,0.00,0.00
2010-09-14,40.00,60.00,18.58,3.23,0.00,0.00
2010-09-07,40.00,60.00,12.49,3.23,0.00,0.00
2010-08-31,40.00,60.00,12.49,3.17,0.00,0.00
2010-08-24,40.00,60.00,12.49,3.17,0.00,0.00
2010-08-17,40.00,60.00,12.35,2.67,0.00,0.00
2010-08-10,40.00,60.00,13.38,2.67,0.00,0.00
2010-08-03,40.00,60.00,21.92,3.56,0.00,0.00
2010-07-27,28.79,71.21,28.56,5.05,0.00,0.00
2010-07-20,26.29,73.71,21.52,4.21,0.00,0.00
2010-07-13,41.94,58.06,16.04,4.21,0.00,0.00
2010-07-06,41.94,58.06,16.04,4.21,0.00,0.00
2010-06-29,58.07,41.93,14.64,2.66,0.00,0.00
2010-06-22,59.75,40.25,14.64,2.66,0.00,0.00
2010-06-15,63.84,36.16,14.64,2.66,0.00,0.00
2010-06-08,63.87,36.13,14.43,2.66,0.00,0.00
2010-06-01,63.43,36.57,14.43,2.66,0.00,0.00
2010-05-25,63.43,36.57,14.43,2.66,0.00,0.00
2010-05-18,63.43,36.57,14.43,2.66,0.00,0.00
2010-05-11,43.04,56.96,14.43,2.66,0.00,0.00
2010-05-04,43.08,56.92,14.43,2.66,0.00,0.00
2010-04-27,43.08,56.92,14.43,2.66,0.00,0.00
2010-04-20,43.08,56.92,14.43,2.66,0.00,0.00
2010-04-13,39.37,60.63,14.43,2.66,0.00,0.00
2010-04-06,32.96,67.04,14.43,2.66,0.00,0.00
2010-03-30,32.96,67.04,14.43,2.66,0.00,0.00
2010-03-23,32.96,67.04,23.97,6.41,0.00,0.00
2010-03-16,28.53,71.47,27.56,9.01,0.00,0.00
2010-03-09,23.75,76.25,30.29,9.17,0.00,0.00
2010-03-02,23.75,76.25,48.32,14.48,0.00,0.00
2010-02-23,15.26,84.74,53.30,14.48,0.00,0.00
2010-02-16,15.26,84.74,53.37,14.48,0.00,0.00
2010-02-09,15.16,84.84,53.37,14.48,0.00,0.00
2010-02-02,10.53,89.47,55.91,14.48,0.00,0.00
2010-01-26,7.79,92.21,68.52,15.75,3.47,0.00
2010-01-19,0.00,100.00,97.34,87.97,9.61,0.00
2010-01-12,0.00,100.00,97.34,87.97,9.61,0.00
2010-01-05,0.00,100.00,97.23,71.10,5.06,0.00
2009-12-29,0.00,100.00,97.23,71.18,5.06,0.00
2009-12-22,0.00,100.00,97.23,71.18,5.06,0.00
2009-12-15,0.00,100.00,97.23,71.18,5.06,0.00
2009-12-08,0.00,100.00,97.23,75.55,5.70,0.00
