Week,Nothing,D0,D1,D2,D3,D4
2013-07-16,0.00,100.00,98.23,93.96,0.00,0.00
2013-07-09,0.00,100.00,98.23,92.70,0.00,0.00
2013-07-02,0.00,100.00,98.23,92.70,0.00,0.00
2013-06-25,0.00,100.00,98.21,92.61,0.00,0.00
2013-06-18,0.00,100.00,98.21,67.07,0.00,0.00
2013-06-11,0.00,100.00,98.16,53.54,0.00,0.00
2013-06-04,0.00,100.00,98.16,53.64,0.00,0.00
2013-05-28,0.00,100.00,98.16,46.25,0.00,0.00
2013-05-21,0.00,100.00,98.16,46.25,0.00,0.00
2013-05-14,0.00,100.00,98.16,46.25,0.00,0.00
2013-05-07,0.00,100.00,98.16,46.25,0.00,0.00
2013-04-30,0.00,100.00,64.30,32.82,0.00,0.00
2013-04-23,2.84,97.16,63.42,30.00,0.00,0.00
2013-04-16,2.84,97.16,48.39,23.22,0.00,0.00
2013-04-09,2.84,97.16,48.39,23.22,0.00,0.00
2013-04-02,0.00,100.00,48.38,24.22,0.00,0.00
2013-03-26,0.00,100.00,48.38,24.22,0.00,0.00
2013-03-19,12.85,87.15,48.38,24.19,0.00,0.00
2013-03-12,15.63,84.37,46.23,24.19,0.00,0.00
2013-03-05,0.03,99.97,47.37,26.96,0.00,0.00
2013-02-26,0.02,99.98,47.13,26.96,0.00,0.00
2013-02-19,15.45,84.55,47.18,23.72,0.00,0.00
2013-02-12,34.53,65.47,47.18,23.72,0.00,0.00
2013-02-05,34.20,65.80,47.18,21.57,0.00,0.00
2013-01-29,34.20,65.80,47.18,21.57,0.00,0.00
2013-01-22,34.20,65.80,53.58,21.57,0.00,0.00
2013-01-15,34.20,65.80,53.58,21.57,0.00,0.00
2013-01-08,32.42,67.58,55.02,21.37,0.00,0.00
2013-01-01,31.75,68.25,55.32,22.50,0.00,0.00
2012-12-25,30.94,69.06,56.19,25.22,0.05,0.00
2012-12-18,30.94,69.06,56.19,26.15,0.05,0.00
2012-12-11,30.94,69.06,57.94,26.59,0.05,0.00
2012-12-04,23.15,76.85,59.36,26.59,0.05,0.00
2012-11-27,6.77,93.23,70.47,28.16,1.14,0.00
2012-11-20,4.82,95.18,67.67,21.61,1.14,0.00
2012-11-13,7.19,92.81,66.37,19.10,1.14,0.00
2012-11-06,7.19,92.81,67.75,19.10,1.14,0.00
2012-10-30,6.73,93.27,68.48,19.10,1.14,0.00
2012-10-23,6.75,93.25,68.48,19.10,1.14,0.00
2012-10-16,6.64,93.36,68.48,19.10,1.14,0.00
2012-10-09,6.64,93.36,69.57,21.98,1.14,0.00
2012-10-02,11.94,88.06,69.41,21.98,1.14,0.00
2012-09-25,11.95,88.05,69.41,22.27,1.14,0.00
2012-09-18,11.95,88.05,69.09,22.27,1.14,0.00
2012-09-11,11.74,88.26,69.13,22.31,1.14,0.00
2012-09-04,11.74,88.26,69.28,22.76,1.14,0.00
2012-08-28,11.74,88.26,69.44,23.05,1.14,0.00
2012-08-21,11.30,88.70,69.20,23.30,0.29,0.00
2012-08-14,11.30,88.70,63.84,23.31,0.29,0.00
2012-08-07,11.64,88.36,63.80,23.31,0.29,0.00
2012-07-31,11.64,88.36,63.80,23.60,0.29,0.00
2012-07-24,11.64,88.36,63.80,26.85,0.29,0.00
2012-07-17,15.88,84.12,59.74,22.92,0.00,0.00
2012-07-10,15.88,84.12,59.74,22.92,0.00,0.00
2012-07-03,15.88,84.12,59.77,22.92,0.00,0.00
2012-06-26,15.89,84.11,59.51,22.76,0.00,0.00
2012-06-19,15.89,84.11,59.51,22.60,0.00,0.00
2012-06-12,15.89,84.11,58.89,22.60,0.00,0.00
2012-06-05,15.89,84.11,58.89,22.60,0.00,0.00
2012-05-29,15.89,84.11,58.89,22.60,0.00,0.00
2012-05-22,15.89,84.11,58.89,22.60,0.00,0.00
2012-05-15,15.89,84.11,58.89,22.60,0.00,0.00
2012-05-08,15.89,84.11,58.89,21.14,0.00,0.00
2012-05-01,15.84,84.16,58.97,21.14,0.00,0.00
2012-04-24,15.84,84.16,60.23,22.87,0.00,0.00
2012-04-17,15.84,84.16,60.23,26.35,0.00,0.00
2012-04-10,4.89,95.11,81.47,49.00,0.00,0.00
2012-04-03,3.54,96.46,82.01,46.25,0.00,0.00
2012-03-27,2.22,97.78,89.61,46.25,0.00,0.00
2012-03-20,2.22,97.78,89.61,40.14,0.00,0.00
2012-03-13,0.11,99.89,90.14,45.73,0.00,0.00
2012-03-06,4.39,95.61,75.24,16.02,0.00,0.00
2012-02-28,4.39,95.61,72.09,16.02,0.00,0.00
2012-02-21,4.77,95.23,67.76,5.06,0.00,0.00
2012-02-14,10.37,89.63,59.06,0.00,0.00,0.00
2012-02-07,10.37,89.63,59.06,0.00,0.00,0.00
2012-01-31,11.09,88.91,57.33,0.00,0.00,0.00
2012-01-24,19.12,80.88,41.23,0.00,0.00,0.00
2012-01-17,18.74,81.26,46.34,3.10,0.00,0.00
2012-01-10,19.10,80.90,46.34,3.10,0.00,0.00
2012-01-03,29.91,70.09,46.34,0.00,0.00,0.00
2011-12-27,33.91,66.09,5.41,0.00,0.00,0.00
2011-12-20,71.58,28.42,0.00,0.00,0.00,0.00
2011-12-13,74.32,25.68,0.00,0.00,0.00,0.00
2011-12-06,82.53,17.47,0.00,0.00,0.00,0.00
2011-11-29,88.32,11.68,0.00,0.00,0.00,0.00
2011-11-22,88.42,11.58,0.00,0.00,0.00,0.00
2011-11-15,88.42,11.58,0.00,0.00,0.00,0.00
2011-11-08,88.51,11.49,0.00,0.00,0.00,0.00
2011-11-01,89.22,10.78,0.00,0.00,0.00,0.00
2011-10-25,89.25,10.75,0.00,0.00,0.00,0.00
2011-10-18,89.25,10.75,0.00,0.00,0.00,0.00
2011-10-11,89.25,10.75,0.00,0.00,0.00,0.00
2011-10-04,89.25,10.75,0.00,0.00,0.00,0.00
2011-09-27,89.14,10.86,0.00,0.00,0.00,0.00
2011-09-20,89.14,10.86,0.00,0.00,0.00,0.00
2011-09-13,87.36,12.64,0.00,0.00,0.00,0.00
2011-09-06,87.55,12.45,0.00,0.00,0.00,0.00
2011-08-30,92.14,7.86,0.00,0.00,0.00,0.00
2011-08-23,92.12,7.88,0.00,0.00,0.00,0.00
2011-08-16,92.12,7.88,0.00,0.00,0.00,0.00
2011-08-09,85.34,14.66,0.00,0.00,0.00,0.00
2011-08-02,85.34,14.66,0.00,0.00,0.00,0.00
2011-07-26,85.34,14.66,0.00,0.00,0.00,0.00
2011-07-19,85.34,14.66,0.00,0.00,0.00,0.00
2011-07-12,87.87,12.13,0.00,0.00,0.00,0.00
2011-07-05,87.71,12.29,0.00,0.00,0.00,0.00
2011-06-28,87.71,12.29,0.00,0.00,0.00,0.00
2011-06-21,99.99,0.01,0.00,0.00,0.00,0.00
2011-06-14,99.99,0.01,0.00,0.00,0.00,0.00
2011-06-07,99.99,0.01,0.00,0.00,0.00,0.00
2011-05-31,99.99,0.01,0.00,0.00,0.00,0.00
2011-05-24,99.99,0.01,0.00,0.00,0.00,0.00
2011-05-17,99.99,0.01,0.00,0.00,0.00,0.00
2011-05-10,99.99,0.01,0.00,0.00,0.00,0.00
2011-05-03,99.99,0.01,0.00,0.00,0.00,0.00
2011-04-26,99.99,0.01,0.00,0.00,0.00,0.00
2011-04-19,99.99,0.01,0.00,0.00,0.00,0.00
2011-04-12,99.99,0.01,0.00,0.00,0.00,0.00
2011-04-05,99.99,0.01,0.00,0.00,0.00,0.00
2011-03-29,99.94,0.06,0.00,0.00,0.00,0.00
2011-03-22,96.87,3.13,0.00,0.00,0.00,0.00
2011-03-15,94.20,5.80,0.00,0.00,0.00,0.00
2011-03-08,94.20,5.80,0.00,0.00,0.00,0.00
2011-03-01,99.94,0.06,0.00,0.00,0.00,0.00
2011-02-22,99.94,0.06,0.00,0.00,0.00,0.00
2011-02-15,77.34,22.66,0.00,0.00,0.00,0.00
2011-02-08,77.34,22.66,0.00,0.00,0.00,0.00
2011-02-01,99.94,0.06,0.00,0.00,0.00,0.00
2011-01-25,99.94,0.06,0.00,0.00,0.00,0.00
2011-01-18,99.94,0.06,0.00,0.00,0.00,0.00
2011-01-11,99.93,0.07,0.00,0.00,0.00,0.00
2011-01-04,98.62,1.38,0.00,0.00,0.00,0.00
2010-12-28,98.62,1.38,0.00,0.00,0.00,0.00
2010-12-21,94.86,5.14,0.00,0.00,0.00,0.00
2010-12-14,79.56,20.44,1.25,0.00,0.00,0.00
2010-12-07,78.93,21.07,2.14,0.00,0.00,0.00
2010-11-30,81.67,18.33,2.41,0.00,0.00,0.00
2010-11-23,90.14,9.86,2.41,0.00,0.00,0.00
2010-11-16,90.14,9.86,4.62,0.19,0.00,0.00
2010-11-09,90.14,9.86,4.62,0.19,0.00,0.00
2010-11-02,90.14,9.86,4.62,0.19,0.00,0.00
2010-10-26,90.14,9.86,4.62,0.19,0.00,0.00
2010-10-19,88.08,11.92,6.07,0.24,0.00,0.00
2010-10-12,88.08,11.92,6.07,0.24,0.00,0.00
2010-10-05,85.44,14.56,8.08,0.24,0.00,0.00
2010-09-28,85.44,14.56,8.08,0.24,0.00,0.00
2010-09-21,85.44,14.56,8.08,0.24,0.00,0.00
2010-09-14,85.44,14.56,8.08,0.24,0.00,0.00
2010-09-07,85.44,14.56,8.08,0.24,0.00,0.00
