Week,Nothing,D0,D1,D2,D3,D4
2013-07-16,0.00,100.00,98.12,83.12,33.91,16.72
2013-07-09,0.00,100.00,100.00,83.12,39.20,17.54
2013-07-02,0.00,100.00,100.00,83.12,39.20,17.54
2013-06-25,0.00,100.00,100.00,79.46,39.21,17.54
2013-06-18,0.00,100.00,100.00,75.28,35.50,17.54
2013-06-11,0.00,100.00,93.18,72.19,26.51,15.91
2013-06-04,0.00,100.00,93.18,72.32,26.51,15.84
2013-05-28,0.00,100.00,93.18,71.71,23.85,15.84
2013-05-21,0.00,100.00,93.18,71.71,23.84,15.84
2013-05-14,0.00,100.00,93.18,71.71,24.53,15.84
2013-05-07,0.00,100.00,95.49,75.99,26.97,17.93
2013-04-30,0.00,100.00,100.00,78.08,26.98,17.51
2013-04-23,0.00,100.00,100.00,78.08,32.19,16.24
2013-04-16,0.00,100.00,100.00,84.78,38.37,13.63
2013-04-09,0.00,100.00,100.00,88.97,45.92,13.63
2013-04-02,0.00,100.00,100.00,88.97,45.98,13.83
2013-03-26,0.00,100.00,100.00,88.97,45.98,13.83
2013-03-19,0.00,100.00,100.00,88.97,48.06,21.22
2013-03-12,0.00,100.00,100.00,88.97,48.06,21.22
2013-03-05,0.00,100.00,100.00,88.99,48.04,21.22
2013-02-26,0.00,100.00,100.00,91.30,51.14,24.92
2013-02-19,0.00,100.00,100.00,91.30,51.14,24.92
2013-02-12,0.00,100.00,100.00,91.30,50.99,24.92
2013-02-05,0.00,100.00,100.00,100.00,54.29,24.92
2013-01-29,0.00,100.00,100.00,100.00,58.58,13.50
2013-01-22,0.00,100.00,100.00,100.00,58.64,13.50
2013-01-15,0.00,100.00,100.00,100.00,58.64,13.50
2013-01-08,0.00,100.00,100.00,95.06,53.47,13.48
2013-01-01,0.00,100.00,100.00,95.06,53.47,13.48
2012-12-25,0.00,100.00,100.00,95.06,53.47,13.48
2012-12-18,0.00,100.00,100.00,95.06,53.47,13.48
2012-12-11,0.00,100.00,100.00,95.06,53.43,13.48
2012-12-04,0.00,100.00,100.00,95.06,53.43,13.48
2012-11-27,0.00,100.00,100.00,93.27,51.05,12.56
2012-11-20,0.00,100.00,100.00,91.52,48.56,12.56
2012-11-13,0.00,100.00,100.00,91.52,48.56,12.50
2012-11-06,0.00,100.00,100.00,91.33,48.56,13.69
2012-10-30,0.00,100.00,100.00,91.33,51.05,14.01
2012-10-23,0.00,100.00,100.00,91.36,51.05,14.01
2012-10-16,0.00,100.00,100.00,91.36,51.05,14.01
2012-10-09,0.00,100.00,100.00,91.93,53.07,14.02
2012-10-02,0.00,100.00,100.00,97.91,55.48,16.40
2012-09-25,0.00,100.00,100.00,100.00,61.75,16.89
2012-09-18,0.00,100.00,100.00,100.00,61.75,16.89
2012-09-11,0.00,100.00,100.00,100.00,61.95,16.13
2012-09-04,0.00,100.00,100.00,100.00,64.08,13.76
2012-08-28,0.00,100.00,100.00,99.96,67.31,12.30
2012-08-21,0.00,100.00,100.00,99.96,68.38,9.64
2012-08-14,0.00,100.00,100.00,99.96,68.37,9.19
2012-08-07,0.00,100.00,100.00,99.96,65.46,5.67
2012-07-31,0.00,100.00,100.00,99.70,65.35,3.27
2012-07-24,0.00,100.00,100.00,99.70,73.67,2.82
2012-07-17,0.00,100.00,100.00,100.00,70.46,1.77
2012-07-10,0.00,100.00,100.00,99.98,70.46,5.52
2012-07-03,0.00,100.00,100.00,100.00,70.69,5.52
2012-06-26,0.00,100.00,100.00,97.72,45.83,0.00
2012-06-19,0.00,100.00,97.71,60.96,26.63,0.00
2012-06-12,0.00,100.00,90.92,43.07,20.24,0.00
2012-06-05,0.00,100.00,75.98,35.29,11.02,0.00
2012-05-29,0.00,100.00,75.98,34.43,9.89,0.00
2012-05-22,4.44,95.56,68.59,29.60,7.27,0.00
2012-05-15,5.15,94.85,64.57,28.49,0.00,0.00
2012-05-08,5.13,94.87,61.81,29.40,0.00,0.00
