Week,Nothing,D0,D1,D2,D3,D4
2013-07-16,100.00,0.00,0.00,0.00,0.00,0.00
2013-07-09,100.00,0.00,0.00,0.00,0.00,0.00
2013-07-02,100.00,0.00,0.00,0.00,0.00,0.00
2013-06-25,100.00,0.00,0.00,0.00,0.00,0.00
2013-06-18,100.00,0.00,0.00,0.00,0.00,0.00
2013-06-11,100.00,0.00,0.00,0.00,0.00,0.00
2013-06-04,19.79,80.21,22.01,0.00,0.00,0.00
2013-05-28,1.46,98.54,22.01,0.00,0.00,0.00
2013-05-21,0.50,99.50,96.99,0.00,0.00,0.00
2013-05-14,0.50,99.50,96.99,0.00,0.00,0.00
2013-05-07,0.00,100.00,97.13,0.00,0.00,0.00
2013-04-30,0.00,100.00,0.00,0.00,0.00,0.00
2013-04-23,31.43,68.57,0.00,0.00,0.00,0.00
2013-04-16,99.53,0.47,0.00,0.00,0.00,0.00
2013-04-09,99.49,0.51,0.00,0.00,0.00,0.00
2013-04-02,99.49,0.51,0.00,0.00,0.00,0.00
2013-03-26,100.00,0.00,0.00,0.00,0.00,0.00
2013-03-19,100.00,0.00,0.00,0.00,0.00,0.00
2013-03-12,100.00,0.00,0.00,0.00,0.00,0.00
2013-03-05,100.00,0.00,0.00,0.00,0.00,0.00
2013-02-26,100.00,0.00,0.00,0.00,0.00,0.00
2013-02-19,100.00,0.00,0.00,0.00,0.00,0.00
2013-02-12,100.00,0.00,0.00,0.00,0.00,0.00
2013-02-05,100.00,0.00,0.00,0.00,0.00,0.00
2013-01-29,100.00,0.00,0.00,0.00,0.00,0.00
2013-01-22,100.00,0.00,0.00,0.00,0.00,0.00
2013-01-15,100.00,0.00,0.00,0.00,0.00,0.00
2013-01-08,100.00,0.00,0.00,0.00,0.00,0.00
2013-01-01,100.00,0.00,0.00,0.00,0.00,0.00
2012-12-25,100.00,0.00,0.00,0.00,0.00,0.00
2012-12-18,100.00,0.00,0.00,0.00,0.00,0.00
2012-12-11,100.00,0.00,0.00,0.00,0.00,0.00
2012-12-04,100.00,0.00,0.00,0.00,0.00,0.00
2012-11-27,100.00,0.00,0.00,0.00,0.00,0.00
2012-11-20,100.00,0.00,0.00,0.00,0.00,0.00
2012-11-13,100.00,0.00,0.00,0.00,0.00,0.00
2012-11-06,100.00,0.00,0.00,0.00,0.00,0.00
2012-10-30,100.00,0.00,0.00,0.00,0.00,0.00
2012-10-23,100.00,0.00,0.00,0.00,0.00,0.00
2012-10-16,100.00,0.00,0.00,0.00,0.00,0.00
2012-10-09,100.00,0.00,0.00,0.00,0.00,0.00
2012-10-02,100.00,0.00,0.00,0.00,0.00,0.00
2012-09-25,100.00,0.00,0.00,0.00,0.00,0.00
2012-09-18,19.49,80.51,0.00,0.00,0.00,0.00
2012-09-11,19.30,80.70,0.00,0.00,0.00,0.00
2012-09-04,19.30,80.70,0.00,0.00,0.00,0.00
2012-08-28,14.39,85.61,1.75,0.00,0.00,0.00
2012-08-21,16.19,83.81,1.75,0.00,0.00,0.00
2012-08-14,12.39,87.61,9.93,0.00,0.00,0.00
2012-08-07,11.35,88.65,9.93,0.00,0.00,0.00
2012-07-31,11.35,88.65,9.93,0.00,0.00,0.00
2012-07-24,10.93,89.07,9.93,0.00,0.00,0.00
2012-07-17,36.49,63.51,0.00,0.00,0.00,0.00
2012-07-10,37.71,62.29,0.00,0.00,0.00,0.00
2012-07-03,41.55,58.45,0.00,0.00,0.00,0.00
2012-06-26,41.55,58.45,0.00,0.00,0.00,0.00
2012-06-19,41.55,58.45,0.00,0.00,0.00,0.00
2012-06-12,41.55,58.45,0.00,0.00,0.00,0.00
2012-06-05,41.55,58.45,0.00,0.00,0.00,0.00
2012-05-29,0.00,100.00,58.08,0.00,0.00,0.00
2012-05-22,0.00,100.00,58.09,0.00,0.00,0.00
2012-05-15,0.00,100.00,83.77,0.00,0.00,0.00
2012-05-08,0.00,100.00,100.00,49.14,0.00,0.00
2012-05-01,0.00,100.00,100.00,49.14,0.00,0.00
2012-04-24,0.00,100.00,100.00,49.14,0.00,0.00
2012-04-17,0.00,100.00,100.00,83.68,0.00,0.00
2012-04-10,0.00,100.00,100.00,83.68,0.00,0.00
2012-04-03,0.00,100.00,100.00,0.00,0.00,0.00
2012-03-27,0.13,99.87,66.68,0.00,0.00,0.00
2012-03-20,2.17,97.83,26.63,0.00,0.00,0.00
2012-03-13,38.18,61.82,0.00,0.00,0.00,0.00
2012-03-06,100.00,0.00,0.00,0.00,0.00,0.00
2012-02-28,100.00,0.00,0.00,0.00,0.00,0.00
2012-02-21,100.00,0.00,0.00,0.00,0.00,0.00
2012-02-14,100.00,0.00,0.00,0.00,0.00,0.00
2012-02-07,100.00,0.00,0.00,0.00,0.00,0.00
2012-01-31,100.00,0.00,0.00,0.00,0.00,0.00
2012-01-24,100.00,0.00,0.00,0.00,0.00,0.00
2012-01-17,100.00,0.00,0.00,0.00,0.00,0.00
2012-01-10,100.00,0.00,0.00,0.00,0.00,0.00
2012-01-03,100.00,0.00,0.00,0.00,0.00,0.00
2011-12-27,100.00,0.00,0.00,0.00,0.00,0.00
2011-12-20,100.00,0.00,0.00,0.00,0.00,0.00
2011-12-13,100.00,0.00,0.00,0.00,0.00,0.00
2011-12-06,100.00,0.00,0.00,0.00,0.00,0.00
2011-11-29,100.00,0.00,0.00,0.00,0.00,0.00
2011-11-22,100.00,0.00,0.00,0.00,0.00,0.00
2011-11-15,100.00,0.00,0.00,0.00,0.00,0.00
2011-11-08,100.00,0.00,0.00,0.00,0.00,0.00
2011-11-01,100.00,0.00,0.00,0.00,0.00,0.00
2011-10-25,100.00,0.00,0.00,0.00,0.00,0.00
2011-10-18,100.00,0.00,0.00,0.00,0.00,0.00
2011-10-11,100.00,0.00,0.00,0.00,0.00,0.00
2011-10-04,100.00,0.00,0.00,0.00,0.00,0.00
2011-09-27,100.00,0.00,0.00,0.00,0.00,0.00
2011-09-20,100.00,0.00,0.00,0.00,0.00,0.00
2011-09-13,100.00,0.00,0.00,0.00,0.00,0.00
2011-09-06,100.00,0.00,0.00,0.00,0.00,0.00
2011-08-30,100.00,0.00,0.00,0.00,0.00,0.00
2011-08-23,100.00,0.00,0.00,0.00,0.00,0.00
2011-08-16,100.00,0.00,0.00,0.00,0.00,0.00
2011-08-09,100.00,0.00,0.00,0.00,0.00,0.00
2011-08-02,100.00,0.00,0.00,0.00,0.00,0.00
2011-07-26,100.00,0.00,0.00,0.00,0.00,0.00
2011-07-19,100.00,0.00,0.00,0.00,0.00,0.00
2011-07-12,100.00,0.00,0.00,0.00,0.00,0.00
2011-07-05,100.00,0.00,0.00,0.00,0.00,0.00
2011-06-28,100.00,0.00,0.00,0.00,0.00,0.00
2011-06-21,100.00,0.00,0.00,0.00,0.00,0.00
2011-06-14,100.00,0.00,0.00,0.00,0.00,0.00
2011-06-07,100.00,0.00,0.00,0.00,0.00,0.00
2011-05-31,100.00,0.00,0.00,0.00,0.00,0.00
2011-05-24,100.00,0.00,0.00,0.00,0.00,0.00
2011-05-17,100.00,0.00,0.00,0.00,0.00,0.00
2011-05-10,100.00,0.00,0.00,0.00,0.00,0.00
2011-05-03,100.00,0.00,0.00,0.00,0.00,0.00
2011-04-26,100.00,0.00,0.00,0.00,0.00,0.00
2011-04-19,100.00,0.00,0.00,0.00,0.00,0.00
2011-04-12,100.00,0.00,0.00,0.00,0.00,0.00
2011-04-05,100.00,0.00,0.00,0.00,0.00,0.00
2011-03-29,100.00,0.00,0.00,0.00,0.00,0.00
2011-03-22,100.00,0.00,0.00,0.00,0.00,0.00
2011-03-15,100.00,0.00,0.00,0.00,0.00,0.00
2011-03-08,100.00,0.00,0.00,0.00,0.00,0.00
2011-03-01,100.00,0.00,0.00,0.00,0.00,0.00
2011-02-22,100.00,0.00,0.00,0.00,0.00,0.00
2011-02-15,100.00,0.00,0.00,0.00,0.00,0.00
2011-02-08,100.00,0.00,0.00,0.00,0.00,0.00
2011-02-01,100.00,0.00,0.00,0.00,0.00,0.00
2011-01-25,100.00,0.00,0.00,0.00,0.00,0.00
2011-01-18,100.00,0.00,0.00,0.00,0.00,0.00
2011-01-11,100.00,0.00,0.00,0.00,0.00,0.00
2011-01-04,100.00,0.00,0.00,0.00,0.00,0.00
2010-12-28,100.00,0.00,0.00,0.00,0.00,0.00
2010-12-21,100.00,0.00,0.00,0.00,0.00,0.00
2010-12-14,100.00,0.00,0.00,0.00,0.00,0.00
2010-12-07,100.00,0.00,0.00,0.00,0.00,0.00
2010-11-30,100.00,0.00,0.00,0.00,0.00,0.00
2010-11-23,100.00,0.00,0.00,0.00,0.00,0.00
2010-11-16,100.00,0.00,0.00,0.00,0.00,0.00
2010-11-09,100.00,0.00,0.00,0.00,0.00,0.00
2010-11-02,64.39,35.61,0.00,0.00,0.00,0.00
