Week,Nothing,D0,D1,D2,D3,D4
2013-07-16,100.00,0.00,0.00,0.00,0.00,0.00
2013-07-09,100.00,0.00,0.00,0.00,0.00,0.00
2013-07-02,100.00,0.00,0.00,0.00,0.00,0.00
2013-06-25,100.00,0.00,0.00,0.00,0.00,0.00
2013-06-18,100.00,0.00,0.00,0.00,0.00,0.00
2013-06-11,100.00,0.00,0.00,0.00,0.00,0.00
2013-06-04,100.00,0.00,0.00,0.00,0.00,0.00
2013-05-28,100.00,0.00,0.00,0.00,0.00,0.00
2013-05-21,100.00,0.00,0.00,0.00,0.00,0.00
2013-05-14,100.00,0.00,0.00,0.00,0.00,0.00
2013-05-07,100.00,0.00,0.00,0.00,0.00,0.00
2013-04-30,100.00,0.00,0.00,0.00,0.00,0.00
2013-04-23,100.00,0.00,0.00,0.00,0.00,0.00
2013-04-16,100.00,0.00,0.00,0.00,0.00,0.00
2013-04-09,100.00,0.00,0.00,0.00,0.00,0.00
2013-04-02,100.00,0.00,0.00,0.00,0.00,0.00
2013-03-26,100.00,0.00,0.00,0.00,0.00,0.00
2013-03-19,100.00,0.00,0.00,0.00,0.00,0.00
2013-03-12,100.00,0.00,0.00,0.00,0.00,0.00
2013-03-05,100.00,0.00,0.00,0.00,0.00,0.00
2013-02-26,100.00,0.00,0.00,0.00,0.00,0.00
2013-02-19,100.00,0.00,0.00,0.00,0.00,0.00
2013-02-12,100.00,0.00,0.00,0.00,0.00,0.00
2013-02-05,100.00,0.00,0.00,0.00,0.00,0.00
2013-01-29,100.00,0.00,0.00,0.00,0.00,0.00
2013-01-22,100.00,0.00,0.00,0.00,0.00,0.00
2013-01-15,100.00,0.00,0.00,0.00,0.00,0.00
2013-01-08,100.00,0.00,0.00,0.00,0.00,0.00
2013-01-01,100.00,0.00,0.00,0.00,0.00,0.00
2012-12-25,100.00,0.00,0.00,0.00,0.00,0.00
2012-12-18,100.00,0.00,0.00,0.00,0.00,0.00
2012-12-11,100.00,0.00,0.00,0.00,0.00,0.00
2012-12-04,100.00,0.00,0.00,0.00,0.00,0.00
2012-11-27,100.00,0.00,0.00,0.00,0.00,0.00
2012-11-20,100.00,0.00,0.00,0.00,0.00,0.00
2012-11-13,100.00,0.00,0.00,0.00,0.00,0.00
2012-11-06,100.00,0.00,0.00,0.00,0.00,0.00
2012-10-30,100.00,0.00,0.00,0.00,0.00,0.00
2012-10-23,0.00,100.00,98.06,0.00,0.00,0.00
2012-10-16,0.00,100.00,98.06,0.00,0.00,0.00
2012-10-09,0.00,100.00,98.06,0.00,0.00,0.00
2012-10-02,0.00,100.00,100.00,0.00,0.00,0.00
2012-09-25,0.00,100.00,100.00,0.00,0.00,0.00
2012-09-18,0.00,100.00,100.00,0.00,0.00,0.00
2012-09-11,0.00,100.00,100.00,0.00,0.00,0.00
2012-09-04,0.00,100.00,100.00,0.00,0.00,0.00
2012-08-28,0.00,100.00,100.00,0.00,0.00,0.00
2012-08-21,0.00,100.00,100.00,0.00,0.00,0.00
2012-08-14,0.00,100.00,100.00,0.00,0.00,0.00
2012-08-07,0.00,100.00,100.00,0.00,0.00,0.00
2012-07-31,0.00,100.00,100.00,0.00,0.00,0.00
2012-07-24,0.00,100.00,100.00,0.00,0.00,0.00
2012-07-17,0.00,100.00,100.00,0.00,0.00,0.00
2012-07-10,0.00,100.00,100.00,0.00,0.00,0.00
2012-07-03,0.00,100.00,100.00,0.00,0.00,0.00
2012-06-26,0.00,100.00,0.00,0.00,0.00,0.00
2012-06-19,100.00,0.00,0.00,0.00,0.00,0.00
2012-06-12,100.00,0.00,0.00,0.00,0.00,0.00
2012-06-05,100.00,0.00,0.00,0.00,0.00,0.00
2012-05-29,0.00,100.00,0.00,0.00,0.00,0.00
2012-05-22,0.00,100.00,0.00,0.00,0.00,0.00
2012-05-15,0.00,100.00,0.00,0.00,0.00,0.00
2012-05-08,0.00,100.00,39.35,0.00,0.00,0.00
2012-05-01,0.00,100.00,0.00,0.00,0.00,0.00
2012-04-24,0.00,100.00,0.00,0.00,0.00,0.00
2012-04-17,0.00,100.00,0.00,0.00,0.00,0.00
2012-04-10,0.00,100.00,0.00,0.00,0.00,0.00
2012-04-03,0.00,100.00,0.00,0.00,0.00,0.00
2012-03-27,0.00,100.00,0.00,0.00,0.00,0.00
2012-03-20,0.00,100.00,0.00,0.00,0.00,0.00
2012-03-13,100.00,0.00,0.00,0.00,0.00,0.00
2012-03-06,100.00,0.00,0.00,0.00,0.00,0.00
2012-02-28,100.00,0.00,0.00,0.00,0.00,0.00
2012-02-21,100.00,0.00,0.00,0.00,0.00,0.00
2012-02-14,100.00,0.00,0.00,0.00,0.00,0.00
2012-02-07,100.00,0.00,0.00,0.00,0.00,0.00
2012-01-31,100.00,0.00,0.00,0.00,0.00,0.00
2012-01-24,100.00,0.00,0.00,0.00,0.00,0.00
2012-01-17,100.00,0.00,0.00,0.00,0.00,0.00
2012-01-10,100.00,0.00,0.00,0.00,0.00,0.00
2012-01-03,100.00,0.00,0.00,0.00,0.00,0.00
2011-12-27,100.00,0.00,0.00,0.00,0.00,0.00
2011-12-20,100.00,0.00,0.00,0.00,0.00,0.00
2011-12-13,100.00,0.00,0.00,0.00,0.00,0.00
2011-12-06,100.00,0.00,0.00,0.00,0.00,0.00
2011-11-29,100.00,0.00,0.00,0.00,0.00,0.00
2011-11-22,100.00,0.00,0.00,0.00,0.00,0.00
2011-11-15,100.00,0.00,0.00,0.00,0.00,0.00
2011-11-08,100.00,0.00,0.00,0.00,0.00,0.00
2011-11-01,100.00,0.00,0.00,0.00,0.00,0.00
2011-10-25,100.00,0.00,0.00,0.00,0.00,0.00
2011-10-18,100.00,0.00,0.00,0.00,0.00,0.00
2011-10-11,100.00,0.00,0.00,0.00,0.00,0.00
2011-10-04,100.00,0.00,0.00,0.00,0.00,0.00
2011-09-27,100.00,0.00,0.00,0.00,0.00,0.00
2011-09-20,100.00,0.00,0.00,0.00,0.00,0.00
2011-09-13,100.00,0.00,0.00,0.00,0.00,0.00
2011-09-06,100.00,0.00,0.00,0.00,0.00,0.00
2011-08-30,100.00,0.00,0.00,0.00,0.00,0.00
2011-08-23,4.41,95.59,0.00,0.00,0.00,0.00
2011-08-16,0.00,100.00,0.00,0.00,0.00,0.00
2011-08-09,0.00,100.00,100.00,0.00,0.00,0.00
2011-08-02,0.00,100.00,100.00,0.00,0.00,0.00
2011-07-26,0.00,100.00,0.00,0.00,0.00,0.00
2011-07-19,0.00,100.00,0.00,0.00,0.00,0.00
2011-07-12,0.00,100.00,0.00,0.00,0.00,0.00
2011-07-05,0.00,100.00,0.00,0.00,0.00,0.00
2011-06-28,0.00,100.00,0.00,0.00,0.00,0.00
2011-06-21,0.00,100.00,0.00,0.00,0.00,0.00
2011-06-14,0.00,100.00,0.00,0.00,0.00,0.00
2011-06-07,100.00,0.00,0.00,0.00,0.00,0.00
2011-05-31,100.00,0.00,0.00,0.00,0.00,0.00
2011-05-24,100.00,0.00,0.00,0.00,0.00,0.00
2011-05-17,100.00,0.00,0.00,0.00,0.00,0.00
2011-05-10,100.00,0.00,0.00,0.00,0.00,0.00
2011-05-03,100.00,0.00,0.00,0.00,0.00,0.00
2011-04-26,100.00,0.00,0.00,0.00,0.00,0.00
2011-04-19,100.00,0.00,0.00,0.00,0.00,0.00
2011-04-12,100.00,0.00,0.00,0.00,0.00,0.00
2011-04-05,100.00,0.00,0.00,0.00,0.00,0.00
2011-03-29,100.00,0.00,0.00,0.00,0.00,0.00
2011-03-22,100.00,0.00,0.00,0.00,0.00,0.00
2011-03-15,100.00,0.00,0.00,0.00,0.00,0.00
2011-03-08,23.97,76.03,0.00,0.00,0.00,0.00
2011-03-01,23.97,76.03,0.00,0.00,0.00,0.00
2011-02-22,23.97,76.03,0.00,0.00,0.00,0.00
2011-02-15,23.97,76.03,0.00,0.00,0.00,0.00
2011-02-08,23.97,76.03,0.00,0.00,0.00,0.00
2011-02-01,23.97,76.03,0.00,0.00,0.00,0.00
2011-01-25,23.97,76.03,0.00,0.00,0.00,0.00
2011-01-18,23.97,76.03,0.00,0.00,0.00,0.00
2011-01-11,33.73,66.27,0.00,0.00,0.00,0.00
2011-01-04,100.00,0.00,0.00,0.00,0.00,0.00
2010-12-28,100.00,0.00,0.00,0.00,0.00,0.00
2010-12-21,100.00,0.00,0.00,0.00,0.00,0.00
2010-12-14,100.00,0.00,0.00,0.00,0.00,0.00
2010-12-07,100.00,0.00,0.00,0.00,0.00,0.00
2010-11-30,100.00,0.00,0.00,0.00,0.00,0.00
2010-11-23,100.00,0.00,0.00,0.00,0.00,0.00
2010-11-16,100.00,0.00,0.00,0.00,0.00,0.00
2010-11-09,100.00,0.00,0.00,0.00,0.00,0.00
2010-11-02,100.00,0.00,0.00,0.00,0.00,0.00
