Week,Nothing,D0,D1,D2,D3,D4
2013-07-16,100.00,0.00,0.00,0.00,0.00,0.00
2013-07-09,100.00,0.00,0.00,0.00,0.00,0.00
2013-07-02,100.00,0.00,0.00,0.00,0.00,0.00
2013-06-25,100.00,0.00,0.00,0.00,0.00,0.00
2013-06-18,100.00,0.00,0.00,0.00,0.00,0.00
2013-06-11,100.00,0.00,0.00,0.00,0.00,0.00
2013-06-04,100.00,0.00,0.00,0.00,0.00,0.00
2013-05-28,100.00,0.00,0.00,0.00,0.00,0.00
2013-05-21,100.00,0.00,0.00,0.00,0.00,0.00
2013-05-14,100.00,0.00,0.00,0.00,0.00,0.00
2013-05-07,87.52,12.48,0.00,0.00,0.00,0.00
2013-04-30,100.00,0.00,0.00,0.00,0.00,0.00
2013-04-23,100.00,0.00,0.00,0.00,0.00,0.00
2013-04-16,100.00,0.00,0.00,0.00,0.00,0.00
2013-04-09,100.00,0.00,0.00,0.00,0.00,0.00
2013-04-02,100.00,0.00,0.00,0.00,0.00,0.00
2013-03-26,100.00,0.00,0.00,0.00,0.00,0.00
2013-03-19,100.00,0.00,0.00,0.00,0.00,0.00
2013-03-12,100.00,0.00,0.00,0.00,0.00,0.00
2013-03-05,100.00,0.00,0.00,0.00,0.00,0.00
2013-02-26,100.00,0.00,0.00,0.00,0.00,0.00
2013-02-19,100.00,0.00,0.00,0.00,0.00,0.00
2013-02-12,100.00,0.00,0.00,0.00,0.00,0.00
2013-02-05,100.00,0.00,0.00,0.00,0.00,0.00
2013-01-29,100.00,0.00,0.00,0.00,0.00,0.00
2013-01-22,100.00,0.00,0.00,0.00,0.00,0.00
2013-01-15,100.00,0.00,0.00,0.00,0.00,0.00
2013-01-08,100.00,0.00,0.00,0.00,0.00,0.00
2013-01-01,100.00,0.00,0.00,0.00,0.00,0.00
2012-12-25,100.00,0.00,0.00,0.00,0.00,0.00
2012-12-18,100.00,0.00,0.00,0.00,0.00,0.00
2012-12-11,100.00,0.00,0.00,0.00,0.00,0.00
2012-12-04,100.00,0.00,0.00,0.00,0.00,0.00
2012-11-27,100.00,0.00,0.00,0.00,0.00,0.00
2012-11-20,100.00,0.00,0.00,0.00,0.00,0.00
2012-11-13,100.00,0.00,0.00,0.00,0.00,0.00
2012-11-06,100.00,0.00,0.00,0.00,0.00,0.00
2012-10-30,100.00,0.00,0.00,0.00,0.00,0.00
2012-10-23,24.30,75.70,65.02,43.81,0.00,0.00
2012-10-16,23.93,76.07,65.16,43.81,0.00,0.00
2012-10-09,23.93,76.07,65.16,43.81,0.00,0.00
2012-10-02,23.93,76.07,65.16,43.81,0.00,0.00
2012-09-25,23.93,76.07,65.06,43.81,0.00,0.00
2012-09-18,23.93,76.07,65.06,43.81,0.00,0.00
2012-09-11,23.93,76.07,65.06,43.81,0.00,0.00
2012-09-04,16.27,83.73,78.16,50.75,0.00,0.00
2012-08-28,16.00,84.00,78.16,50.75,0.00,0.00
2012-08-21,15.63,84.37,78.21,64.02,0.00,0.00
2012-08-14,15.10,84.90,78.21,64.04,0.00,0.00
2012-08-07,13.55,86.45,78.21,64.04,0.00,0.00
2012-07-31,13.55,86.45,78.21,64.04,0.00,0.00
2012-07-24,18.13,81.87,78.21,59.54,0.00,0.00
2012-07-17,18.13,81.87,78.21,32.30,0.00,0.00
2012-07-10,18.13,81.87,78.15,32.30,0.00,0.00
2012-07-03,17.94,82.06,78.15,18.89,0.00,0.00
2012-06-26,16.78,83.22,73.91,18.89,0.00,0.00
2012-06-19,16.76,83.24,73.91,18.89,0.00,0.00
2012-06-12,0.00,100.00,74.17,18.89,0.00,0.00
2012-06-05,0.00,100.00,74.17,18.89,0.00,0.00
2012-05-29,0.00,100.00,79.93,23.77,0.00,0.00
2012-05-22,0.00,100.00,79.93,23.77,0.00,0.00
2012-05-15,0.00,100.00,100.00,23.77,0.00,0.00
2012-05-08,0.00,100.00,100.00,40.55,0.00,0.00
2012-05-01,0.00,100.00,100.00,40.55,0.00,0.00
2012-04-24,0.00,100.00,100.00,51.85,0.00,0.00
2012-04-17,0.00,100.00,100.00,78.55,0.00,0.00
2012-04-10,0.00,100.00,100.00,78.55,0.00,0.00
2012-04-03,0.00,100.00,78.71,0.00,0.00,0.00
2012-03-27,0.00,100.00,16.05,0.00,0.00,0.00
2012-03-20,0.00,100.00,16.05,0.00,0.00,0.00
2012-03-13,55.07,44.93,16.05,0.00,0.00,0.00
2012-03-06,55.07,44.93,16.05,0.00,0.00,0.00
2012-02-28,55.07,44.93,16.05,0.00,0.00,0.00
2012-02-21,55.07,44.93,16.05,0.00,0.00,0.00
2012-02-14,55.07,44.93,16.05,0.00,0.00,0.00
2012-02-07,55.07,44.93,16.05,0.00,0.00,0.00
2012-01-31,55.07,44.93,16.05,0.00,0.00,0.00
2012-01-24,64.90,35.10,0.00,0.00,0.00,0.00
2012-01-17,64.90,35.10,0.00,0.00,0.00,0.00
2012-01-10,64.90,35.10,0.00,0.00,0.00,0.00
2012-01-03,100.00,0.00,0.00,0.00,0.00,0.00
2011-12-27,100.00,0.00,0.00,0.00,0.00,0.00
2011-12-20,100.00,0.00,0.00,0.00,0.00,0.00
2011-12-13,100.00,0.00,0.00,0.00,0.00,0.00
2011-12-06,100.00,0.00,0.00,0.00,0.00,0.00
2011-11-29,100.00,0.00,0.00,0.00,0.00,0.00
2011-11-22,100.00,0.00,0.00,0.00,0.00,0.00
2011-11-15,100.00,0.00,0.00,0.00,0.00,0.00
2011-11-08,100.00,0.00,0.00,0.00,0.00,0.00
2011-11-01,100.00,0.00,0.00,0.00,0.00,0.00
2011-10-25,100.00,0.00,0.00,0.00,0.00,0.00
2011-10-18,100.00,0.00,0.00,0.00,0.00,0.00
2011-10-11,100.00,0.00,0.00,0.00,0.00,0.00
2011-10-04,100.00,0.00,0.00,0.00,0.00,0.00
2011-09-27,100.00,0.00,0.00,0.00,0.00,0.00
2011-09-20,100.00,0.00,0.00,0.00,0.00,0.00
2011-09-13,100.00,0.00,0.00,0.00,0.00,0.00
2011-09-06,100.00,0.00,0.00,0.00,0.00,0.00
2011-08-30,100.00,0.00,0.00,0.00,0.00,0.00
2011-08-23,41.87,58.13,33.46,0.00,0.00,0.00
2011-08-16,25.81,74.19,47.49,0.00,0.00,0.00
2011-08-09,0.29,99.71,67.08,11.24,0.00,0.00
2011-08-02,0.29,99.71,67.08,11.24,0.00,0.00
2011-07-26,1.39,98.61,57.78,11.24,0.00,0.00
2011-07-19,1.39,98.61,57.78,11.24,0.00,0.00
2011-07-12,3.63,96.37,28.47,0.00,0.00,0.00
2011-07-05,0.00,100.00,50.95,0.00,0.00,0.00
2011-06-28,0.00,100.00,50.95,0.00,0.00,0.00
2011-06-21,13.07,86.93,50.95,0.00,0.00,0.00
2011-06-14,12.93,87.07,50.89,0.00,0.00,0.00
2011-06-07,13.82,86.18,49.11,0.00,0.00,0.00
2011-05-31,46.07,53.93,31.36,0.00,0.00,0.00
2011-05-24,46.07,53.93,0.87,0.00,0.00,0.00
2011-05-17,31.85,68.15,0.00,0.00,0.00,0.00
2011-05-10,100.00,0.00,0.00,0.00,0.00,0.00
2011-05-03,100.00,0.00,0.00,0.00,0.00,0.00
2011-04-26,100.00,0.00,0.00,0.00,0.00,0.00
2011-04-19,100.00,0.00,0.00,0.00,0.00,0.00
2011-04-12,100.00,0.00,0.00,0.00,0.00,0.00
2011-04-05,100.00,0.00,0.00,0.00,0.00,0.00
2011-03-29,100.00,0.00,0.00,0.00,0.00,0.00
2011-03-22,100.00,0.00,0.00,0.00,0.00,0.00
2011-03-15,82.11,17.89,0.00,0.00,0.00,0.00
2011-03-08,82.11,17.89,0.00,0.00,0.00,0.00
2011-03-01,0.00,100.00,0.00,0.00,0.00,0.00
2011-02-22,0.00,100.00,0.00,0.00,0.00,0.00
2011-02-15,0.00,100.00,0.00,0.00,0.00,0.00
2011-02-08,29.11,70.89,0.00,0.00,0.00,0.00
2011-02-01,29.11,70.89,0.00,0.00,0.00,0.00
2011-01-25,29.11,70.89,0.00,0.00,0.00,0.00
2011-01-18,29.11,70.89,0.00,0.00,0.00,0.00
2011-01-11,29.39,70.61,0.00,0.00,0.00,0.00
2011-01-04,100.00,0.00,0.00,0.00,0.00,0.00
2010-12-28,100.00,0.00,0.00,0.00,0.00,0.00
2010-12-21,100.00,0.00,0.00,0.00,0.00,0.00
2010-12-14,100.00,0.00,0.00,0.00,0.00,0.00
2010-12-07,100.00,0.00,0.00,0.00,0.00,0.00
2010-11-30,100.00,0.00,0.00,0.00,0.00,0.00
2010-11-23,100.00,0.00,0.00,0.00,0.00,0.00
2010-11-16,100.00,0.00,0.00,0.00,0.00,0.00
2010-11-09,100.00,0.00,0.00,0.00,0.00,0.00
2010-11-02,100.00,0.00,0.00,0.00,0.00,0.00
