Week,Nothing,D0,D1,D2,D3,D4
2013-07-16,100.00,0.00,0.00,0.00,0.00,0.00
2013-07-09,100.00,0.00,0.00,0.00,0.00,0.00
2013-07-02,97.67,2.33,0.00,0.00,0.00,0.00
2013-06-25,83.19,16.81,0.00,0.00,0.00,0.00
2013-06-18,83.95,16.05,0.00,0.00,0.00,0.00
2013-06-11,83.59,16.41,0.00,0.00,0.00,0.00
2013-06-04,77.31,22.69,5.43,0.00,0.00,0.00
2013-05-28,65.41,34.59,11.91,3.35,0.00,0.00
2013-05-21,71.14,28.86,10.38,3.35,0.00,0.00
2013-05-14,73.08,26.92,10.38,3.35,0.00,0.00
2013-05-07,72.18,27.82,10.38,3.33,0.00,0.00
2013-04-30,49.80,50.20,29.41,9.11,0.00,0.00
2013-04-23,42.91,57.09,29.41,9.11,0.00,0.00
2013-04-16,33.99,66.01,36.21,4.88,0.00,0.00
2013-04-09,28.51,71.49,44.55,6.23,0.00,0.00
2013-04-02,27.13,72.87,58.23,6.23,0.00,0.00
2013-03-26,27.10,72.90,48.61,6.23,0.00,0.00
2013-03-19,24.06,75.94,52.07,11.18,0.00,0.00
2013-03-12,23.67,76.33,49.96,11.18,0.00,0.00
2013-03-05,23.67,76.33,44.62,10.36,0.00,0.00
2013-02-26,26.18,73.82,46.61,7.51,0.00,0.00
2013-02-19,8.63,91.37,71.86,12.65,2.82,0.00
2013-02-12,8.63,91.37,36.48,5.46,0.00,0.00
2013-02-05,8.63,91.37,33.67,5.62,0.00,0.00
2013-01-29,9.75,90.25,30.98,5.62,0.00,0.00
2013-01-22,32.47,67.53,9.03,0.01,0.00,0.00
2013-01-15,39.17,60.83,9.03,0.01,0.00,0.00
2013-01-08,53.45,46.55,3.13,0.00,0.00,0.00
2013-01-01,56.86,43.14,3.13,0.00,0.00,0.00
2012-12-25,56.86,43.14,3.13,0.00,0.00,0.00
2012-12-18,63.89,36.11,3.13,0.00,0.00,0.00
2012-12-11,63.89,36.11,3.13,0.00,0.00,0.00
2012-12-04,52.72,47.28,3.13,0.00,0.00,0.00
2012-11-27,70.70,29.30,3.16,0.00,0.00,0.00
2012-11-20,90.00,10.00,0.65,0.00,0.00,0.00
2012-11-13,96.28,3.72,0.06,0.00,0.00,0.00
2012-11-06,98.90,1.10,0.00,0.00,0.00,0.00
2012-10-30,100.00,0.00,0.00,0.00,0.00,0.00
2012-10-23,100.00,0.00,0.00,0.00,0.00,0.00
2012-10-16,100.00,0.00,0.00,0.00,0.00,0.00
2012-10-09,100.00,0.00,0.00,0.00,0.00,0.00
2012-10-02,100.00,0.00,0.00,0.00,0.00,0.00
2012-09-25,100.00,0.00,0.00,0.00,0.00,0.00
2012-09-18,100.00,0.00,0.00,0.00,0.00,0.00
2012-09-11,100.00,0.00,0.00,0.00,0.00,0.00
2012-09-04,100.00,0.00,0.00,0.00,0.00,0.00
2012-08-28,100.00,0.00,0.00,0.00,0.00,0.00
2012-08-21,85.27,14.73,0.00,0.00,0.00,0.00
2012-08-14,85.27,14.73,0.00,0.00,0.00,0.00
2012-08-07,88.09,11.91,0.00,0.00,0.00,0.00
2012-07-31,79.16,20.84,6.92,0.00,0.00,0.00
2012-07-24,78.18,21.82,6.92,0.00,0.00,0.00
2012-07-17,81.88,18.12,6.00,0.00,0.00,0.00
2012-07-10,84.99,15.01,0.03,0.00,0.00,0.00
2012-07-03,83.50,16.50,0.03,0.00,0.00,0.00
2012-06-26,85.45,14.55,0.04,0.00,0.00,0.00
2012-06-19,23.06,76.94,53.77,17.65,1.75,0.00
2012-06-12,26.50,73.50,54.55,21.81,1.75,0.00
2012-06-05,15.18,84.82,77.31,62.21,17.36,0.00
2012-05-29,15.18,84.82,77.31,65.50,27.93,0.00
2012-05-22,10.16,89.84,83.57,65.75,44.49,12.43
2012-05-15,7.09,92.91,89.47,82.09,40.61,12.57
2012-05-08,7.09,92.91,89.47,82.09,40.61,12.57
2012-05-01,7.09,92.91,89.47,82.63,41.42,11.79
2012-04-24,0.00,100.00,97.42,72.90,34.86,11.79
2012-04-17,0.00,100.00,99.96,77.55,36.00,11.79
2012-04-10,0.00,100.00,99.96,68.25,32.66,11.79
2012-04-03,0.00,100.00,97.81,56.44,20.31,7.42
2012-03-27,0.00,100.00,97.81,52.28,15.18,0.00
2012-03-20,0.00,100.00,97.81,52.28,15.18,0.00
2012-03-13,0.00,100.00,97.68,39.93,15.18,0.00
2012-03-06,0.00,100.00,97.68,39.93,15.18,0.00
2012-02-28,0.00,100.00,92.18,49.44,23.46,0.00
2012-02-21,0.00,100.00,92.18,57.64,23.86,0.00
2012-02-14,0.00,100.00,88.60,57.29,35.33,5.57
2012-02-07,0.00,100.00,90.50,52.79,25.08,0.00
2012-01-31,0.00,100.00,90.50,45.06,9.22,0.00
2012-01-24,0.00,100.00,85.28,33.03,9.22,0.00
2012-01-17,0.00,100.00,66.32,25.01,10.67,0.00
2012-01-10,7.97,92.03,46.90,12.84,2.61,0.00
2012-01-03,8.91,91.09,27.41,12.84,2.61,0.00
2011-12-27,38.81,61.19,27.41,12.84,2.61,0.00
2011-12-20,46.66,53.34,27.41,17.16,6.33,0.00
2011-12-13,53.81,46.19,27.20,17.16,6.33,0.00
2011-12-06,53.81,46.19,30.25,20.60,9.32,0.00
2011-11-29,63.01,36.99,26.19,18.79,8.62,0.00
2011-11-22,63.01,36.99,26.19,19.98,8.71,0.00
2011-11-15,63.01,36.99,26.19,19.98,8.71,0.00
2011-11-08,62.98,37.02,26.16,19.88,8.12,0.00
2011-11-01,62.98,37.02,26.16,18.36,7.98,0.00
2011-10-25,63.01,36.99,24.61,15.06,7.98,0.00
2011-10-18,58.53,41.47,25.82,17.88,9.95,0.00
2011-10-11,50.46,49.54,25.56,18.43,9.30,0.00
2011-10-04,43.22,56.78,29.30,19.17,9.49,0.00
2011-09-27,43.12,56.88,28.83,16.85,7.85,0.00
2011-09-20,46.08,53.92,28.83,16.85,7.85,0.00
2011-09-13,46.18,53.82,28.81,16.85,7.95,0.00
2011-09-06,37.55,62.45,38.38,15.70,7.95,0.00
2011-08-30,30.79,69.21,48.67,27.73,9.28,0.00
2011-08-23,32.87,67.13,48.94,22.83,2.79,0.00
2011-08-16,22.59,77.41,53.47,25.38,2.78,0.00
2011-08-09,11.34,88.66,65.92,47.37,9.96,0.00
2011-08-02,11.34,88.66,65.92,47.37,17.72,0.00
2011-07-26,11.34,88.66,65.92,47.37,20.91,0.00
2011-07-19,10.14,89.86,66.82,48.87,22.12,0.00
2011-07-12,9.88,90.12,70.21,54.35,31.17,11.72
2011-07-05,6.53,93.47,82.27,66.02,44.11,17.15
2011-06-28,6.53,93.47,82.96,66.48,47.59,20.65
2011-06-21,6.53,93.47,86.30,70.27,50.41,22.46
2011-06-14,6.47,93.53,86.30,64.57,39.83,9.93
2011-06-07,7.11,92.89,81.58,59.37,32.45,7.08
2011-05-31,9.79,90.21,76.31,56.50,31.10,2.32
2011-05-24,9.79,90.21,75.03,53.73,28.65,0.00
2011-05-17,9.79,90.21,74.93,51.83,25.30,0.00
2011-05-10,8.72,91.28,75.91,53.40,17.15,0.00
2011-05-03,8.72,91.28,76.21,41.19,15.63,0.00
2011-04-26,8.72,91.28,76.21,41.19,15.63,0.00
2011-04-19,8.72,91.28,71.22,41.19,15.63,0.00
2011-04-12,8.72,91.28,71.22,41.19,16.15,0.00
2011-04-05,8.84,91.16,71.42,40.13,15.32,0.00
2011-03-29,0.04,99.96,82.72,54.43,20.42,0.00
2011-03-22,0.73,99.27,91.34,56.12,21.13,0.00
2011-03-15,0.87,99.13,91.30,56.10,14.99,0.00
2011-03-08,0.87,99.13,91.30,56.10,14.99,0.00
2011-03-01,0.87,99.13,91.30,53.50,13.06,0.00
2011-02-22,0.87,99.13,84.98,48.42,10.64,0.00
2011-02-15,0.87,99.13,84.98,47.58,10.58,0.00
2011-02-08,0.87,99.13,84.98,47.58,10.58,0.00
2011-02-01,0.87,99.13,84.98,50.76,13.71,0.00
2011-01-25,0.17,99.83,87.73,54.25,20.96,0.00
2011-01-18,0.17,99.83,89.15,60.27,26.45,0.00
2011-01-11,0.18,99.82,89.05,60.27,26.45,0.00
2011-01-04,0.18,99.82,87.19,54.19,21.61,0.00
2010-12-28,0.18,99.82,86.04,50.84,20.21,0.00
2010-12-21,0.18,99.82,83.75,47.25,20.12,0.00
2010-12-14,0.18,99.82,82.76,40.73,17.61,0.00
2010-12-07,0.95,99.05,73.56,34.69,13.88,0.00
2010-11-30,4.08,95.92,69.13,30.22,7.91,0.00
2010-11-23,8.48,91.52,49.46,26.32,1.97,0.00
2010-11-16,9.77,90.23,47.79,24.64,1.97,0.00
2010-11-09,11.60,88.40,48.73,30.14,4.28,0.00
2010-11-02,11.60,88.40,50.87,29.62,4.30,0.00
