Week,Nothing,D0,D1,D2,D3,D4
2013-07-16,100.00,0.00,0.00,0.00,0.00,0.00
2013-07-09,100.00,0.00,0.00,0.00,0.00,0.00
2013-07-02,100.00,0.00,0.00,0.00,0.00,0.00
2013-06-25,93.74,6.26,0.00,0.00,0.00,0.00
2013-06-18,96.58,3.42,0.00,0.00,0.00,0.00
2013-06-11,98.57,1.43,0.00,0.00,0.00,0.00
2013-06-04,94.90,5.10,0.00,0.00,0.00,0.00
2013-05-28,97.17,2.83,0.00,0.00,0.00,0.00
2013-05-21,99.25,0.75,0.00,0.00,0.00,0.00
2013-05-14,99.25,0.75,0.00,0.00,0.00,0.00
2013-05-07,99.25,0.75,0.00,0.00,0.00,0.00
2013-04-30,95.58,4.42,1.38,0.00,0.00,0.00
2013-04-23,92.24,7.76,1.91,0.00,0.00,0.00
2013-04-16,90.49,9.51,2.06,0.00,0.00,0.00
2013-04-09,80.76,19.24,3.78,0.00,0.00,0.00
2013-04-02,68.19,31.81,16.42,0.00,0.00,0.00
2013-03-26,68.19,31.81,16.42,0.00,0.00,0.00
2013-03-19,20.72,79.28,32.59,16.43,0.00,0.00
2013-03-12,19.54,80.46,36.41,17.64,0.00,0.00
2013-03-05,17.36,82.64,40.37,18.29,0.00,0.00
2013-02-26,16.91,83.09,54.17,25.60,0.00,0.00
2013-02-19,14.05,85.95,81.24,58.69,27.18,0.00
2013-02-12,13.71,86.29,81.85,70.01,32.07,0.00
2013-02-05,13.03,86.97,82.89,79.05,46.85,11.99
2013-01-29,8.30,91.70,86.57,82.44,43.58,11.99
2013-01-22,8.12,91.88,87.51,61.29,34.57,10.64
2013-01-15,6.19,93.81,91.24,62.53,35.38,10.64
2013-01-08,2.36,97.64,87.21,63.68,36.61,10.25
2013-01-01,1.63,98.37,89.49,64.87,36.96,10.25
2012-12-25,0.69,99.31,90.61,68.55,37.41,13.53
2012-12-18,3.24,96.76,88.18,69.78,38.48,13.53
2012-12-11,3.24,96.76,88.18,69.31,38.48,13.53
2012-12-04,3.25,96.75,88.10,68.41,37.90,13.53
2012-11-27,3.92,96.08,86.93,64.73,34.15,13.53
2012-11-20,6.93,93.07,71.79,53.10,31.81,13.53
2012-11-13,9.02,90.98,59.92,49.22,27.24,13.53
2012-11-06,11.09,88.91,55.17,42.56,26.70,13.98
2012-10-30,19.23,80.77,53.00,40.78,23.25,10.03
2012-10-23,39.60,60.40,47.11,40.12,23.25,10.03
2012-10-16,40.73,59.27,46.56,39.53,22.69,9.93
2012-10-09,44.69,55.31,45.58,37.07,21.78,9.03
2012-10-02,42.42,57.58,47.77,38.67,21.78,9.03
2012-09-25,37.30,62.70,52.44,42.66,34.04,17.18
2012-09-18,37.30,62.70,52.44,42.66,33.74,16.14
2012-09-11,37.30,62.70,52.44,42.66,33.74,16.88
2012-09-04,38.07,61.93,52.44,42.66,33.74,16.88
2012-08-28,37.76,62.24,52.85,44.03,34.36,16.88
2012-08-21,31.03,68.97,57.36,45.36,37.67,16.98
2012-08-14,30.90,69.10,57.36,45.36,37.67,16.98
2012-08-07,21.82,78.18,66.64,54.41,40.24,24.23
2012-07-31,18.57,81.43,71.38,56.47,40.95,24.57
2012-07-24,18.45,81.55,71.38,56.47,40.95,23.43
2012-07-17,17.09,82.91,71.46,55.40,37.90,21.19
2012-07-10,12.29,87.71,75.71,59.14,38.44,21.73
2012-07-03,13.82,86.18,74.86,59.14,37.24,19.98
2012-06-26,13.91,86.09,67.20,54.97,31.72,19.98
2012-06-19,15.67,84.33,70.19,56.76,26.75,13.82
2012-06-12,11.48,88.52,78.80,65.41,26.37,13.21
2012-06-05,10.49,89.51,82.65,68.45,49.97,26.43
2012-05-29,7.54,92.46,83.61,75.12,58.37,26.92
2012-05-22,7.54,92.46,86.05,79.30,67.95,28.31
2012-05-15,7.54,92.46,86.05,80.85,69.35,28.44
2012-05-08,3.51,96.49,88.24,83.05,70.89,25.81
2012-05-01,3.50,96.50,88.56,84.28,70.94,25.85
2012-04-24,7.11,92.89,84.28,79.01,66.35,20.15
2012-04-17,4.39,95.61,84.94,79.01,66.35,20.15
2012-04-10,4.52,95.48,84.22,77.66,63.07,11.32
2012-04-03,8.30,91.70,83.12,77.59,57.19,5.61
2012-03-27,8.30,91.70,83.12,77.59,57.16,5.57
2012-03-20,9.28,90.72,83.12,77.59,57.16,5.57
2012-03-13,12.49,87.51,83.12,77.48,57.16,5.57
2012-03-06,12.49,87.51,83.12,77.48,57.16,5.57
2012-02-28,12.49,87.51,83.12,77.55,69.01,30.35
2012-02-21,12.83,87.17,83.12,77.55,69.01,30.35
2012-02-14,13.88,86.12,83.12,77.55,69.01,34.06
2012-02-07,14.41,85.59,83.07,77.55,68.97,29.54
2012-01-31,14.41,85.59,83.07,77.34,67.38,16.52
2012-01-24,14.41,85.59,83.07,77.34,67.38,4.34
2012-01-17,12.21,87.79,85.28,82.55,74.99,4.48
2012-01-10,12.07,87.93,85.36,81.00,63.92,0.00
2012-01-03,12.07,87.93,85.36,81.00,63.92,0.00
2011-12-27,12.07,87.93,85.36,81.00,63.92,0.00
2011-12-20,11.91,88.09,85.36,81.69,65.61,0.00
2011-12-13,11.91,88.09,85.10,77.98,56.46,0.00
2011-12-06,8.79,91.21,86.78,80.32,58.76,0.00
2011-11-29,8.79,91.21,86.78,80.30,57.90,0.00
2011-11-22,4.77,95.23,91.50,83.66,64.26,0.00
2011-11-15,4.77,95.23,91.50,85.16,64.61,0.00
2011-11-08,5.25,94.75,89.95,82.88,61.22,0.00
2011-11-01,5.25,94.75,89.95,82.88,60.89,0.00
2011-10-25,5.22,94.78,89.95,82.88,60.89,0.00
2011-10-18,4.54,95.46,90.70,83.33,64.50,0.00
2011-10-11,4.17,95.83,90.93,86.32,73.27,0.00
2011-10-04,5.59,94.41,90.93,87.59,77.63,0.00
2011-09-27,5.62,94.38,90.72,85.56,78.76,0.00
2011-09-20,5.35,94.65,91.22,86.43,79.48,0.00
2011-09-13,5.35,94.65,91.22,86.43,80.42,0.00
2011-09-06,5.35,94.65,91.23,86.43,80.42,0.00
2011-08-30,0.00,100.00,99.99,90.82,79.64,0.00
2011-08-23,0.00,100.00,92.73,81.31,52.11,0.00
2011-08-16,0.07,99.93,88.01,79.91,51.32,0.00
2011-08-09,0.07,99.93,88.01,80.01,66.29,4.34
2011-08-02,0.07,99.93,88.01,80.01,68.38,4.42
2011-07-26,4.53,95.47,87.18,78.16,68.38,8.74
2011-07-19,5.17,94.83,82.96,75.00,68.38,8.74
2011-07-12,3.27,96.73,85.37,75.00,68.79,35.52
2011-07-05,2.58,97.42,85.51,74.91,68.91,40.45
2011-06-28,2.58,97.42,85.51,74.91,68.91,41.18
2011-06-21,0.00,100.00,87.48,74.91,68.91,41.18
2011-06-14,0.00,100.00,81.28,71.88,57.33,15.98
2011-06-07,0.62,99.38,81.28,71.81,54.91,5.77
2011-05-31,8.95,91.05,81.25,71.79,54.85,0.00
2011-05-24,8.95,91.05,76.99,65.86,13.28,0.00
2011-05-17,12.06,87.94,77.09,64.91,10.22,0.00
2011-05-10,16.44,83.56,70.01,40.45,8.39,0.00
2011-05-03,23.24,76.76,69.87,18.79,0.00,0.00
2011-04-26,23.24,76.76,72.35,18.79,0.00,0.00
2011-04-19,23.24,76.76,72.35,18.79,0.00,0.00
2011-04-12,22.47,77.53,73.04,18.79,6.94,0.00
2011-04-05,23.01,76.99,72.91,18.75,6.94,0.00
2011-03-29,20.85,79.15,71.91,24.62,9.55,0.00
2011-03-22,8.66,91.34,78.94,21.91,6.18,0.00
2011-03-15,8.66,91.34,70.51,21.91,6.18,0.00
2011-03-08,2.93,97.07,77.30,22.09,6.18,0.00
2011-03-01,0.00,100.00,77.30,22.09,6.18,0.00
2011-02-22,0.00,100.00,76.22,21.87,6.18,0.00
2011-02-15,0.00,100.00,76.22,21.87,6.18,0.00
2011-02-08,3.05,96.95,74.89,21.87,6.18,0.00
2011-02-01,0.00,100.00,85.28,40.63,6.18,0.00
2011-01-25,0.00,100.00,85.28,40.63,6.49,0.00
2011-01-18,0.00,100.00,85.28,40.63,6.49,0.00
2011-01-11,2.40,97.60,85.33,40.63,6.49,0.00
2011-01-04,2.40,97.60,85.33,40.34,6.49,0.00
2010-12-28,2.42,97.58,85.37,40.34,6.49,0.00
2010-12-21,2.42,97.58,85.37,41.42,7.65,0.00
2010-12-14,1.90,98.10,85.37,41.42,8.08,0.00
2010-12-07,1.90,98.10,88.32,39.21,6.31,0.00
2010-11-30,0.00,100.00,90.11,39.22,0.00,0.00
2010-11-23,0.00,100.00,86.28,38.01,0.00,0.00
2010-11-16,5.15,94.85,45.00,19.23,0.00,0.00
2010-11-09,5.15,94.85,45.62,19.85,0.00,0.00
2010-11-02,5.15,94.85,41.35,19.85,0.00,0.00
