Week,Nothing,D0,D1,D2,D3,D4
2013-07-16,16.96,83.04,33.10,12.56,2.51,0.00
2013-07-09,22.91,77.09,33.10,12.56,2.51,0.00
2013-07-02,53.64,46.36,33.65,8.50,2.00,0.00
2013-06-25,53.65,46.35,33.65,8.50,2.00,0.00
2013-06-18,53.27,46.73,33.65,8.40,1.62,0.00
2013-06-11,53.45,46.55,32.97,8.00,0.65,0.00
2013-06-04,55.72,44.28,32.68,7.76,0.65,0.00
2013-05-28,24.47,75.53,36.65,18.78,3.23,0.00
2013-05-21,24.47,75.53,36.65,18.78,3.23,0.00
2013-05-14,24.47,75.53,36.65,18.78,3.23,0.00
2013-05-07,20.44,79.56,40.03,20.21,4.82,0.00
2013-04-30,16.97,83.03,40.42,19.52,4.00,0.00
2013-04-23,16.97,83.03,40.42,19.52,4.00,0.00
2013-04-16,16.92,83.08,43.20,19.52,4.00,0.00
2013-04-09,16.92,83.08,43.20,19.52,4.00,0.00
2013-04-02,34.46,65.54,43.20,19.52,4.00,0.00
2013-03-26,34.46,65.54,45.55,28.11,5.10,0.00
2013-03-19,34.46,65.54,45.55,28.11,5.10,0.00
2013-03-12,34.46,65.54,45.55,28.11,5.10,0.00
2013-03-05,34.46,65.54,45.60,28.21,5.89,0.00
2013-02-26,41.73,58.27,45.30,27.54,5.89,0.00
2013-02-19,40.10,59.90,45.60,27.54,5.89,0.00
2013-02-12,40.10,59.90,45.60,27.54,5.89,0.00
2013-02-05,40.10,59.90,45.60,27.54,5.89,0.00
2013-01-29,28.88,71.12,58.27,33.30,10.48,0.00
2013-01-22,28.88,71.12,58.27,33.30,10.48,0.00
2013-01-15,28.13,71.87,58.27,33.30,11.80,0.00
2013-01-08,26.22,73.78,58.63,26.20,11.80,0.00
2013-01-01,17.25,82.75,63.34,25.55,10.36,0.00
2012-12-25,17.25,82.75,63.34,25.55,10.36,0.00
2012-12-18,12.30,87.70,66.13,25.55,10.36,0.00
2012-12-11,3.73,96.27,71.07,25.55,10.36,0.00
2012-12-04,0.00,100.00,73.23,27.90,10.60,0.00
2012-11-27,0.00,100.00,53.89,27.90,10.76,0.00
2012-11-20,0.00,100.00,53.89,27.90,10.76,0.00
2012-11-13,0.00,100.00,53.89,27.90,10.76,0.00
2012-11-06,0.00,100.00,53.89,27.90,10.76,0.00
2012-10-30,22.09,77.91,52.34,26.11,11.01,0.00
2012-10-23,22.09,77.91,52.34,26.11,11.01,0.00
2012-10-16,22.09,77.91,52.34,26.11,11.01,0.00
2012-10-09,26.75,73.25,50.64,26.01,10.77,0.00
2012-10-02,26.75,73.25,50.64,26.01,10.77,0.00
2012-09-25,22.16,77.84,55.86,27.35,10.77,0.00
2012-09-18,22.16,77.84,55.86,27.35,10.77,0.00
2012-09-11,19.43,80.57,55.86,26.62,9.42,0.00
2012-09-04,19.43,80.57,55.86,26.62,9.42,0.00
2012-08-28,19.43,80.57,54.10,25.30,9.42,0.00
2012-08-21,19.43,80.57,54.10,25.30,9.42,0.00
2012-08-14,19.43,80.57,54.10,25.30,8.87,0.00
2012-08-07,19.43,80.57,54.10,25.30,8.87,0.00
2012-07-31,19.43,80.57,54.10,25.30,8.87,0.00
