Week,Nothing,D0,D1,D2,D3,D4
2013-07-16,4.49,95.51,87.97,43.09,0.00,0.00
2013-07-09,4.49,95.51,84.46,17.51,0.00,0.00
2013-07-02,4.51,95.49,84.46,17.51,0.00,0.00
2013-06-25,4.51,95.49,84.41,17.25,0.00,0.00
2013-06-18,3.17,96.83,85.41,17.25,0.00,0.00
2013-06-11,4.35,95.65,80.46,10.57,0.00,0.00
2013-06-04,15.79,84.21,49.84,8.22,0.00,0.00
2013-05-28,18.94,81.06,22.39,0.09,0.00,0.00
2013-05-21,18.91,81.09,22.39,0.09,0.00,0.00
2013-05-14,18.91,81.09,22.19,0.09,0.00,0.00
2013-05-07,18.91,81.09,22.64,0.00,0.00,0.00
2013-04-30,47.86,52.14,22.64,0.00,0.00,0.00
2013-04-23,47.86,52.14,22.64,0.00,0.00,0.00
2013-04-16,47.97,52.03,22.62,0.00,0.00,0.00
2013-04-09,47.97,52.03,22.62,0.00,0.00,0.00
2013-04-02,47.55,52.45,22.61,0.00,0.00,0.00
2013-03-26,48.18,51.82,22.61,0.00,0.00,0.00
2013-03-19,49.87,50.13,22.63,0.00,0.00,0.00
2013-03-12,49.96,50.04,22.63,0.00,0.00,0.00
2013-03-05,49.96,50.04,22.60,0.00,0.00,0.00
2013-02-26,50.05,49.95,29.08,0.00,0.00,0.00
2013-02-19,50.05,49.95,29.07,0.00,0.00,0.00
2013-02-12,50.05,49.95,29.07,0.00,0.00,0.00
2013-02-05,39.63,60.37,36.69,0.52,0.00,0.00
2013-01-29,38.79,61.21,36.69,0.52,0.00,0.00
2013-01-22,36.77,63.23,36.69,0.52,0.00,0.00
2013-01-15,45.20,54.80,36.69,0.52,0.00,0.00
2013-01-08,45.19,54.81,36.69,0.52,0.00,0.00
2013-01-01,45.29,54.71,47.63,0.52,0.00,0.00
2012-12-25,45.29,54.71,47.63,0.52,0.00,0.00
2012-12-18,45.29,54.71,47.63,0.52,0.00,0.00
2012-12-11,45.29,54.71,47.63,0.52,0.00,0.00
2012-12-04,38.58,61.42,49.62,0.52,0.00,0.00
2012-11-27,26.83,73.17,58.56,0.54,0.00,0.00
2012-11-20,26.83,73.17,58.56,0.54,0.00,0.00
2012-11-13,26.83,73.17,58.56,0.54,0.00,0.00
2012-11-06,24.28,75.72,58.57,0.91,0.00,0.00
2012-10-30,21.01,78.99,65.64,0.91,0.00,0.00
2012-10-23,20.99,79.01,65.64,0.91,0.00,0.00
2012-10-16,15.47,84.53,65.67,0.92,0.00,0.00
2012-10-09,15.74,84.26,65.65,0.95,0.00,0.00
2012-10-02,15.61,84.39,66.47,0.95,0.00,0.00
2012-09-25,15.61,84.39,66.47,1.27,0.00,0.00
2012-09-18,15.76,84.24,66.42,1.23,0.00,0.00
2012-09-11,15.72,84.28,66.18,1.21,0.00,0.00
2012-09-04,15.72,84.28,66.17,1.33,0.00,0.00
2012-08-28,15.69,84.31,66.10,1.20,0.00,0.00
