Week,Nothing,D0,D1,D2,D3,D4
2013-07-16,100.00,0.00,0.00,0.00,0.00,0.00
2013-07-09,100.00,0.00,0.00,0.00,0.00,0.00
2013-07-02,100.00,0.00,0.00,0.00,0.00,0.00
2013-06-25,100.00,0.00,0.00,0.00,0.00,0.00
2013-06-18,100.00,0.00,0.00,0.00,0.00,0.00
2013-06-11,100.00,0.00,0.00,0.00,0.00,0.00
2013-06-04,100.00,0.00,0.00,0.00,0.00,0.00
2013-05-28,100.00,0.00,0.00,0.00,0.00,0.00
2013-05-21,100.00,0.00,0.00,0.00,0.00,0.00
2013-05-14,100.00,0.00,0.00,0.00,0.00,0.00
2013-05-07,100.00,0.00,0.00,0.00,0.00,0.00
2013-04-30,100.00,0.00,0.00,0.00,0.00,0.00
2013-04-23,100.00,0.00,0.00,0.00,0.00,0.00
2013-04-16,100.00,0.00,0.00,0.00,0.00,0.00
2013-04-09,100.00,0.00,0.00,0.00,0.00,0.00
2013-04-02,84.22,15.78,0.00,0.00,0.00,0.00
2013-03-26,84.01,15.99,0.00,0.00,0.00,0.00
2013-03-19,82.49,17.51,0.00,0.00,0.00,0.00
2013-03-12,82.38,17.62,7.69,0.00,0.00,0.00
2013-03-05,65.29,34.71,16.60,0.00,0.00,0.00
2013-02-26,60.76,39.24,16.73,0.00,0.00,0.00
2013-02-19,60.30,39.70,16.64,0.00,0.00,0.00
2013-02-12,63.25,36.75,16.64,0.00,0.00,0.00
2013-02-05,63.20,36.80,16.64,0.00,0.00,0.00
2013-01-29,33.50,66.50,36.40,8.90,0.00,0.00
2013-01-22,33.50,66.50,36.40,8.90,0.00,0.00
2013-01-15,27.62,72.38,36.40,8.90,0.00,0.00
2013-01-08,22.36,77.64,40.22,8.90,0.00,0.00
2013-01-01,22.36,77.64,40.01,8.90,0.00,0.00
2012-12-25,22.36,77.64,40.01,9.29,0.00,0.00
2012-12-18,22.36,77.64,40.01,11.26,0.00,0.00
2012-12-11,22.36,77.64,40.01,11.26,0.00,0.00
2012-12-04,22.03,77.97,42.06,11.26,0.00,0.00
2012-11-27,22.03,77.97,35.62,11.26,0.00,0.00
2012-11-20,22.03,77.97,32.34,11.26,0.00,0.00
2012-11-13,22.03,77.97,32.34,11.26,0.00,0.00
2012-11-06,15.91,84.09,42.25,15.22,0.00,0.00
2012-10-30,15.44,84.56,42.25,15.22,0.00,0.00
2012-10-23,8.29,91.71,60.59,27.25,3.75,0.00
2012-10-16,6.75,93.25,62.83,29.33,7.16,0.00
2012-10-09,6.66,93.34,62.57,30.08,6.65,0.00
2012-10-02,3.11,96.89,66.62,31.58,6.65,0.00
2012-09-25,0.00,100.00,82.37,40.06,6.67,0.00
2012-09-18,0.00,100.00,92.66,41.27,6.67,0.00
2012-09-11,0.00,100.00,94.06,46.79,6.66,0.00
2012-09-04,0.00,100.00,93.95,56.33,6.96,0.00
2012-08-28,0.00,100.00,98.80,94.11,69.56,7.82
2012-08-21,0.00,100.00,99.99,94.01,76.72,7.94
2012-08-14,0.00,100.00,99.99,93.93,79.54,8.20
2012-08-07,0.00,100.00,100.00,94.10,81.18,8.38
2012-07-31,0.00,100.00,100.00,93.93,71.29,8.39
2012-07-24,0.00,100.00,100.00,95.07,70.80,7.10
2012-07-17,0.00,100.00,100.00,95.07,8.28,1.45
2012-07-10,0.00,100.00,100.00,66.28,8.13,0.68
2012-07-03,0.00,100.00,92.05,40.00,8.13,0.00
2012-06-26,0.00,100.00,89.10,30.22,8.13,0.00
2012-06-19,0.00,100.00,69.80,27.84,7.78,0.00
2012-06-12,0.00,100.00,31.36,7.76,0.00,0.00
2012-06-05,13.87,86.13,16.49,6.30,0.00,0.00
2012-05-29,45.71,54.29,8.09,1.93,0.00,0.00
2012-05-22,54.83,45.17,5.70,1.93,0.00,0.00
2012-05-15,81.98,18.02,5.47,0.12,0.00,0.00
2012-05-08,81.77,18.23,0.99,0.00,0.00,0.00
2012-05-01,52.54,47.46,9.52,0.00,0.00,0.00
2012-04-24,57.77,42.23,5.55,0.00,0.00,0.00
2012-04-17,64.41,35.59,5.44,0.00,0.00,0.00
2012-04-10,68.53,31.47,5.29,0.00,0.00,0.00
2012-04-03,67.92,32.08,0.00,0.00,0.00,0.00
2012-03-27,70.13,29.87,0.00,0.00,0.00,0.00
2012-03-20,100.00,0.00,0.00,0.00,0.00,0.00
2012-03-13,100.00,0.00,0.00,0.00,0.00,0.00
2012-03-06,100.00,0.00,0.00,0.00,0.00,0.00
2012-02-28,100.00,0.00,0.00,0.00,0.00,0.00
2012-02-21,100.00,0.00,0.00,0.00,0.00,0.00
2012-02-14,100.00,0.00,0.00,0.00,0.00,0.00
2012-02-07,100.00,0.00,0.00,0.00,0.00,0.00
2012-01-31,100.00,0.00,0.00,0.00,0.00,0.00
2012-01-24,100.00,0.00,0.00,0.00,0.00,0.00
2012-01-17,100.00,0.00,0.00,0.00,0.00,0.00
2012-01-10,100.00,0.00,0.00,0.00,0.00,0.00
2012-01-03,100.00,0.00,0.00,0.00,0.00,0.00
2011-12-27,100.00,0.00,0.00,0.00,0.00,0.00
2011-12-20,100.00,0.00,0.00,0.00,0.00,0.00
2011-12-13,100.00,0.00,0.00,0.00,0.00,0.00
2011-12-06,100.00,0.00,0.00,0.00,0.00,0.00
2011-11-29,100.00,0.00,0.00,0.00,0.00,0.00
2011-11-22,85.88,14.12,0.00,0.00,0.00,0.00
2011-11-15,85.87,14.13,0.00,0.00,0.00,0.00
2011-11-08,74.59,25.41,19.75,0.00,0.00,0.00
2011-11-01,74.59,25.41,19.75,9.38,0.00,0.00
2011-10-25,75.33,24.67,18.71,9.38,0.00,0.00
2011-10-18,68.29,31.71,16.55,9.34,0.00,0.00
2011-10-11,56.28,43.72,30.59,14.68,0.00,0.00
2011-10-04,56.28,43.72,30.59,14.68,0.00,0.00
2011-09-27,45.76,54.24,30.76,14.68,0.00,0.00
2011-09-20,20.57,79.43,41.15,27.72,0.00,0.00
2011-09-13,20.57,79.43,54.51,27.72,0.00,0.00
2011-09-06,20.95,79.05,45.48,21.25,0.00,0.00
2011-08-30,20.51,79.49,45.59,21.25,0.00,0.00
2011-08-23,20.22,79.78,32.98,0.00,0.00,0.00
2011-08-16,23.45,76.55,32.62,0.00,0.00,0.00
2011-08-09,39.45,60.55,30.12,0.00,0.00,0.00
2011-08-02,45.77,54.23,0.00,0.00,0.00,0.00
2011-07-26,94.82,5.18,0.00,0.00,0.00,0.00
2011-07-19,76.77,23.23,0.00,0.00,0.00,0.00
2011-07-12,100.00,0.00,0.00,0.00,0.00,0.00
2011-07-05,100.00,0.00,0.00,0.00,0.00,0.00
2011-06-28,100.00,0.00,0.00,0.00,0.00,0.00
2011-06-21,100.00,0.00,0.00,0.00,0.00,0.00
2011-06-14,100.00,0.00,0.00,0.00,0.00,0.00
2011-06-07,100.00,0.00,0.00,0.00,0.00,0.00
2011-05-31,100.00,0.00,0.00,0.00,0.00,0.00
2011-05-24,100.00,0.00,0.00,0.00,0.00,0.00
2011-05-17,100.00,0.00,0.00,0.00,0.00,0.00
2011-05-10,100.00,0.00,0.00,0.00,0.00,0.00
2011-05-03,100.00,0.00,0.00,0.00,0.00,0.00
2011-04-26,100.00,0.00,0.00,0.00,0.00,0.00
2011-04-19,99.97,0.03,0.00,0.00,0.00,0.00
2011-04-12,99.97,0.03,0.00,0.00,0.00,0.00
2011-04-05,99.98,0.02,0.00,0.00,0.00,0.00
2011-03-29,99.98,0.02,0.00,0.00,0.00,0.00
2011-03-22,99.98,0.02,0.00,0.00,0.00,0.00
2011-03-15,99.98,0.02,0.00,0.00,0.00,0.00
2011-03-08,99.98,0.02,0.00,0.00,0.00,0.00
2011-03-01,99.91,0.09,0.00,0.00,0.00,0.00
2011-02-22,81.23,18.77,0.05,0.00,0.00,0.00
2011-02-15,78.51,21.49,0.05,0.00,0.00,0.00
2011-02-08,78.51,21.49,0.05,0.00,0.00,0.00
2011-02-01,78.51,21.49,0.05,0.00,0.00,0.00
2011-01-25,78.51,21.49,0.05,0.00,0.00,0.00
2011-01-18,78.51,21.49,0.05,0.00,0.00,0.00
2011-01-11,93.09,6.91,0.04,0.00,0.00,0.00
2011-01-04,93.09,6.91,0.04,0.00,0.00,0.00
2010-12-28,87.39,12.61,0.04,0.00,0.00,0.00
2010-12-21,79.40,20.60,0.04,0.00,0.00,0.00
2010-12-14,79.40,20.60,0.04,0.00,0.00,0.00
2010-12-07,65.37,34.63,1.26,0.00,0.00,0.00
2010-11-30,65.37,34.63,1.26,0.00,0.00,0.00
2010-11-23,39.86,60.14,20.45,1.69,0.00,0.00
2010-11-16,39.86,60.14,20.45,1.69,0.00,0.00
2010-11-09,64.82,35.18,15.95,1.69,0.00,0.00
2010-11-02,64.83,35.17,15.99,1.64,0.00,0.00
