Week,Nothing,D0,D1,D2,D3,D4
2013-07-16,100.00,0.00,0.00,0.00,0.00,0.00
2013-07-09,100.00,0.00,0.00,0.00,0.00,0.00
2013-07-02,100.00,0.00,0.00,0.00,0.00,0.00
2013-06-25,100.00,0.00,0.00,0.00,0.00,0.00
2013-06-18,100.00,0.00,0.00,0.00,0.00,0.00
2013-06-11,100.00,0.00,0.00,0.00,0.00,0.00
2013-06-04,100.00,0.00,0.00,0.00,0.00,0.00
2013-05-28,100.00,0.00,0.00,0.00,0.00,0.00
2013-05-21,100.00,0.00,0.00,0.00,0.00,0.00
2013-05-14,100.00,0.00,0.00,0.00,0.00,0.00
2013-05-07,100.00,0.00,0.00,0.00,0.00,0.00
2013-04-30,100.00,0.00,0.00,0.00,0.00,0.00
2013-04-23,100.00,0.00,0.00,0.00,0.00,0.00
2013-04-16,100.00,0.00,0.00,0.00,0.00,0.00
2013-04-09,94.65,5.35,0.00,0.00,0.00,0.00
2013-04-02,97.34,2.66,0.00,0.00,0.00,0.00
2013-03-26,97.22,2.78,0.00,0.00,0.00,0.00
2013-03-19,97.22,2.78,0.00,0.00,0.00,0.00
2013-03-12,97.22,2.78,0.00,0.00,0.00,0.00
2013-03-05,93.10,6.90,0.00,0.00,0.00,0.00
2013-02-26,88.22,11.78,0.00,0.00,0.00,0.00
2013-02-19,88.22,11.78,0.00,0.00,0.00,0.00
2013-02-12,88.22,11.78,0.00,0.00,0.00,0.00
2013-02-05,88.13,11.87,0.00,0.00,0.00,0.00
2013-01-29,80.52,19.48,5.72,0.00,0.00,0.00
2013-01-22,80.52,19.48,5.72,0.00,0.00,0.00
2013-01-15,61.49,38.51,15.80,0.00,0.00,0.00
2013-01-08,57.82,42.18,15.80,0.00,0.00,0.00
2013-01-01,59.11,40.89,16.01,0.00,0.00,0.00
2012-12-25,59.11,40.89,16.01,0.00,0.00,0.00
2012-12-18,59.11,40.89,16.01,0.00,0.00,0.00
2012-12-11,59.11,40.89,16.01,0.00,0.00,0.00
2012-12-04,49.15,50.85,16.01,0.00,0.00,0.00
2012-11-27,49.15,50.85,15.85,0.00,0.00,0.00
2012-11-20,56.52,43.48,6.15,0.00,0.00,0.00
2012-11-13,57.03,42.97,6.15,0.00,0.00,0.00
2012-11-06,56.37,43.63,7.22,0.00,0.00,0.00
2012-10-30,58.01,41.99,7.40,0.00,0.00,0.00
2012-10-23,26.36,73.64,7.40,0.00,0.00,0.00
2012-10-16,6.54,93.46,25.35,0.00,0.00,0.00
2012-10-09,6.22,93.78,40.05,0.00,0.00,0.00
2012-10-02,0.17,99.83,77.19,14.67,0.00,0.00
2012-09-25,0.00,100.00,87.81,25.47,0.00,0.00
2012-09-18,0.00,100.00,88.38,25.61,0.00,0.00
2012-09-11,0.00,100.00,88.32,26.83,0.00,0.00
2012-09-04,0.00,100.00,88.38,54.67,0.00,0.00
2012-08-28,0.00,100.00,96.94,64.07,39.22,10.80
2012-08-21,0.00,100.00,98.14,81.48,37.09,10.77
2012-08-14,0.00,100.00,98.16,81.43,46.30,16.63
2012-08-07,0.00,100.00,100.00,89.75,68.56,25.00
2012-07-31,0.00,100.00,99.59,84.85,59.05,24.26
2012-07-24,0.00,100.00,99.59,87.23,57.75,18.67
2012-07-17,0.00,100.00,99.40,87.04,53.61,0.49
2012-07-10,0.00,100.00,99.40,80.15,29.77,0.40
2012-07-03,0.00,100.00,89.02,68.84,23.46,0.00
2012-06-26,0.14,99.86,87.03,68.58,23.46,0.00
2012-06-19,0.14,99.86,78.24,36.31,5.20,0.00
2012-06-12,11.60,88.40,39.44,5.16,0.00,0.00
2012-06-05,50.05,49.95,18.49,1.40,0.00,0.00
2012-05-29,50.05,49.95,15.21,0.00,0.00,0.00
2012-05-22,59.34,40.66,0.73,0.00,0.00,0.00
2012-05-15,78.86,21.14,0.31,0.00,0.00,0.00
2012-05-08,88.34,11.66,0.00,0.00,0.00,0.00
2012-05-01,59.94,40.06,0.00,0.00,0.00,0.00
2012-04-24,76.01,23.99,0.00,0.00,0.00,0.00
2012-04-17,91.53,8.47,0.00,0.00,0.00,0.00
2012-04-10,90.54,9.46,0.00,0.00,0.00,0.00
2012-04-03,88.91,11.09,0.00,0.00,0.00,0.00
2012-03-27,100.00,0.00,0.00,0.00,0.00,0.00
2012-03-20,100.00,0.00,0.00,0.00,0.00,0.00
2012-03-13,100.00,0.00,0.00,0.00,0.00,0.00
2012-03-06,100.00,0.00,0.00,0.00,0.00,0.00
2012-02-28,100.00,0.00,0.00,0.00,0.00,0.00
2012-02-21,100.00,0.00,0.00,0.00,0.00,0.00
2012-02-14,100.00,0.00,0.00,0.00,0.00,0.00
2012-02-07,100.00,0.00,0.00,0.00,0.00,0.00
2012-01-31,100.00,0.00,0.00,0.00,0.00,0.00
2012-01-24,100.00,0.00,0.00,0.00,0.00,0.00
2012-01-17,100.00,0.00,0.00,0.00,0.00,0.00
2012-01-10,100.00,0.00,0.00,0.00,0.00,0.00
2012-01-03,100.00,0.00,0.00,0.00,0.00,0.00
2011-12-27,100.00,0.00,0.00,0.00,0.00,0.00
2011-12-20,100.00,0.00,0.00,0.00,0.00,0.00
2011-12-13,100.00,0.00,0.00,0.00,0.00,0.00
2011-12-06,100.00,0.00,0.00,0.00,0.00,0.00
2011-11-29,100.00,0.00,0.00,0.00,0.00,0.00
2011-11-22,100.00,0.00,0.00,0.00,0.00,0.00
2011-11-15,100.00,0.00,0.00,0.00,0.00,0.00
2011-11-08,100.00,0.00,0.00,0.00,0.00,0.00
2011-11-01,100.00,0.00,0.00,0.00,0.00,0.00
2011-10-25,100.00,0.00,0.00,0.00,0.00,0.00
2011-10-18,99.70,0.30,0.00,0.00,0.00,0.00
2011-10-11,88.74,11.26,1.73,0.00,0.00,0.00
2011-10-04,88.74,11.26,1.73,0.00,0.00,0.00
2011-09-27,55.11,44.89,6.08,0.00,0.00,0.00
2011-09-20,17.01,82.99,40.65,7.18,0.00,0.00
2011-09-13,17.01,82.99,53.20,12.48,0.00,0.00
2011-09-06,17.04,82.96,44.19,2.75,0.00,0.00
2011-08-30,16.91,83.09,44.15,2.75,0.00,0.00
2011-08-23,19.33,80.67,21.69,0.00,0.00,0.00
2011-08-16,19.35,80.65,14.57,0.00,0.00,0.00
2011-08-09,26.94,73.06,30.35,0.00,0.00,0.00
2011-08-02,27.95,72.05,18.74,0.00,0.00,0.00
2011-07-26,66.52,33.48,0.00,0.00,0.00,0.00
2011-07-19,81.91,18.09,0.00,0.00,0.00,0.00
2011-07-12,100.00,0.00,0.00,0.00,0.00,0.00
2011-07-05,100.00,0.00,0.00,0.00,0.00,0.00
2011-06-28,100.00,0.00,0.00,0.00,0.00,0.00
2011-06-21,100.00,0.00,0.00,0.00,0.00,0.00
2011-06-14,100.00,0.00,0.00,0.00,0.00,0.00
2011-06-07,100.00,0.00,0.00,0.00,0.00,0.00
2011-05-31,100.00,0.00,0.00,0.00,0.00,0.00
2011-05-24,100.00,0.00,0.00,0.00,0.00,0.00
2011-05-17,100.00,0.00,0.00,0.00,0.00,0.00
2011-05-10,100.00,0.00,0.00,0.00,0.00,0.00
2011-05-03,100.00,0.00,0.00,0.00,0.00,0.00
2011-04-26,100.00,0.00,0.00,0.00,0.00,0.00
2011-04-19,66.48,33.52,0.00,0.00,0.00,0.00
2011-04-12,66.48,33.52,0.00,0.00,0.00,0.00
2011-04-05,66.72,33.28,0.00,0.00,0.00,0.00
2011-03-29,66.72,33.28,0.00,0.00,0.00,0.00
2011-03-22,66.72,33.28,0.00,0.00,0.00,0.00
2011-03-15,58.99,41.01,3.91,0.00,0.00,0.00
2011-03-08,58.99,41.01,3.91,0.00,0.00,0.00
2011-03-01,56.38,43.62,3.91,0.00,0.00,0.00
2011-02-22,31.09,68.91,10.93,0.00,0.00,0.00
2011-02-15,7.54,92.46,13.59,0.00,0.00,0.00
2011-02-08,7.54,92.46,13.59,0.00,0.00,0.00
2011-02-01,7.54,92.46,13.59,0.00,0.00,0.00
2011-01-25,7.54,92.46,13.59,0.00,0.00,0.00
2011-01-18,7.54,92.46,13.59,0.00,0.00,0.00
2011-01-11,7.45,92.55,13.55,0.00,0.00,0.00
2011-01-04,7.45,92.55,13.55,0.00,0.00,0.00
2010-12-28,7.11,92.89,13.57,0.00,0.00,0.00
2010-12-21,8.09,91.91,13.57,0.00,0.00,0.00
2010-12-14,8.09,91.91,13.57,0.00,0.00,0.00
2010-12-07,4.58,95.42,18.94,0.42,0.00,0.00
2010-11-30,4.58,95.42,29.87,0.92,0.00,0.00
2010-11-23,0.00,100.00,96.22,51.49,14.37,0.00
2010-11-16,0.00,100.00,96.22,51.49,14.37,0.00
2010-11-09,1.39,98.61,95.19,51.49,14.37,0.00
2010-11-02,1.39,98.61,95.00,51.49,14.37,0.00
