Week,Nothing,D0,D1,D2,D3,D4
2013-07-16,4.33,95.67,78.47,61.33,47.09,24.11
2013-07-09,9.82,90.18,75.73,61.33,47.09,24.11
2013-07-02,14.29,85.71,74.56,58.64,44.74,24.11
2013-06-25,13.19,86.81,74.49,58.44,44.66,24.11
2013-06-18,11.78,88.22,74.49,58.44,44.66,24.11
2013-06-11,11.78,88.22,74.56,63.89,44.66,24.28
2013-06-04,9.23,90.77,75.53,64.87,44.97,22.86
2013-05-28,5.25,94.75,80.65,69.25,48.20,22.07
2013-05-21,2.55,97.45,84.58,69.28,46.47,21.47
2013-05-14,2.55,97.45,87.28,69.84,47.94,21.50
2013-05-07,2.55,97.45,90.39,70.51,51.37,22.53
2013-04-30,0.94,99.06,96.37,80.30,56.58,19.57
2013-04-23,0.00,100.00,97.68,81.70,56.64,16.94
2013-04-16,0.00,100.00,99.61,89.07,61.66,16.87
2013-04-09,0.00,100.00,99.96,90.84,64.28,16.87
2013-04-02,0.00,100.00,100.00,94.50,64.28,17.04
2013-03-26,0.00,100.00,100.00,95.10,64.28,17.04
2013-03-19,0.00,100.00,100.00,96.41,64.28,21.41
2013-03-12,0.00,100.00,100.00,96.41,64.62,21.41
2013-03-05,0.00,100.00,100.00,100.00,69.75,21.43
2013-02-26,0.00,100.00,100.00,100.00,69.75,21.58
2013-02-19,0.00,100.00,100.00,100.00,75.19,36.13
2013-02-12,0.00,100.00,100.00,100.00,75.36,36.16
2013-02-05,0.00,100.00,100.00,100.00,79.54,36.16
2013-01-29,0.00,100.00,100.00,100.00,79.53,36.14
2013-01-22,0.00,100.00,100.00,100.00,79.53,36.14
2013-01-15,0.00,100.00,100.00,100.00,79.34,34.87
2013-01-08,0.00,100.00,100.00,100.00,79.36,35.97
2013-01-01,0.00,100.00,100.00,100.00,79.36,35.97
2012-12-25,0.00,100.00,100.00,100.00,79.36,35.97
2012-12-18,0.00,100.00,100.00,100.00,77.67,35.97
2012-12-11,0.00,100.00,100.00,100.00,77.73,35.97
2012-12-04,0.00,100.00,100.00,99.34,77.73,35.97
2012-11-27,0.00,100.00,100.00,98.78,77.61,35.97
2012-11-20,0.00,100.00,100.00,97.45,77.53,34.46
2012-11-13,0.00,100.00,100.00,97.45,77.53,30.98
2012-11-06,0.00,100.00,100.00,99.45,83.78,38.87
2012-10-30,0.00,100.00,100.00,99.79,77.80,39.68
2012-10-23,0.00,100.00,100.00,99.79,77.80,39.68
2012-10-16,0.00,100.00,100.00,99.79,77.80,39.68
2012-10-09,0.00,100.00,100.00,100.00,95.70,44.63
2012-10-02,0.00,100.00,100.00,100.00,93.25,44.73
2012-09-25,0.00,100.00,100.00,100.00,88.34,51.04
2012-09-18,0.00,100.00,100.00,100.00,88.34,51.04
2012-09-11,0.00,100.00,100.00,100.00,88.34,60.61
2012-09-04,0.00,100.00,100.00,100.00,88.34,60.61
2012-08-28,0.00,100.00,100.00,100.00,90.14,55.18
2012-08-21,0.00,100.00,100.00,100.00,96.43,66.93
2012-08-14,0.00,100.00,100.00,100.00,89.84,63.30
2012-08-07,0.00,100.00,100.00,100.00,89.74,38.58
2012-07-31,0.00,100.00,100.00,100.00,88.27,17.45
2012-07-24,0.00,100.00,100.00,100.00,72.65,9.31
2012-07-17,0.00,100.00,100.00,94.75,63.78,6.14
2012-07-10,0.00,100.00,100.00,80.18,27.95,0.00
2012-07-03,0.00,100.00,97.77,79.88,28.25,0.00
2012-06-26,0.00,100.00,94.42,76.50,17.66,0.00
2012-06-19,0.03,99.97,89.78,33.90,0.89,0.00
2012-06-12,9.09,90.91,71.46,23.22,0.15,0.00
2012-06-05,13.24,86.76,57.99,8.77,0.03,0.00
2012-05-29,14.16,85.84,31.95,2.63,0.03,0.00
2012-05-22,15.30,84.70,13.27,2.36,0.03,0.00
2012-05-15,76.41,23.59,9.95,2.36,0.03,0.00
2012-05-08,79.62,20.38,9.95,2.36,0.03,0.00
2012-05-01,78.86,21.14,10.12,2.36,0.03,0.00
2012-04-24,78.32,21.68,10.12,2.36,0.03,0.00
2012-04-17,78.32,21.68,10.12,2.36,0.03,0.00
2012-04-10,78.30,21.70,11.15,2.42,0.03,0.00
2012-04-03,56.31,43.69,21.11,11.36,0.35,0.00
2012-03-27,55.02,44.98,21.19,11.36,0.39,0.00
2012-03-20,27.53,72.47,37.32,16.56,8.64,0.22
2012-03-13,25.68,74.32,52.67,18.76,9.36,0.22
2012-03-06,33.92,66.08,48.75,19.36,9.36,0.22
2012-02-28,38.89,61.11,47.07,19.36,9.36,0.22
2012-02-21,38.89,61.11,47.07,19.36,9.36,0.22
2012-02-14,38.89,61.11,47.07,19.36,9.36,0.22
2012-02-07,38.89,61.11,47.07,19.25,9.36,0.22
2012-01-31,38.25,61.75,47.15,23.20,13.50,0.22
2012-01-24,38.25,61.75,47.15,23.20,13.50,0.22
2012-01-17,38.25,61.75,47.15,23.20,13.50,0.22
2012-01-10,42.30,57.70,47.15,23.20,12.79,0.22
2012-01-03,42.48,57.52,47.15,23.20,12.79,0.22
2011-12-27,42.48,57.52,47.15,23.21,12.79,0.22
2011-12-20,33.56,66.44,49.05,25.53,12.79,1.59
2011-12-13,26.32,73.68,50.09,30.70,14.34,1.47
2011-12-06,26.32,73.68,50.09,30.70,14.34,1.47
2011-11-29,15.33,84.67,73.42,42.16,17.61,2.78
2011-11-22,14.25,85.75,76.21,57.22,36.47,15.46
2011-11-15,14.39,85.61,76.21,57.21,36.47,15.39
2011-11-08,14.39,85.61,77.39,57.56,36.00,15.31
2011-11-01,14.39,85.61,77.39,58.19,36.82,15.16
2011-10-25,20.45,79.55,66.24,54.87,34.06,15.16
2011-10-18,21.88,78.12,65.51,50.55,32.50,15.16
2011-10-11,20.75,79.25,65.80,49.58,25.96,15.16
2011-10-04,7.42,92.58,75.02,53.96,32.83,17.69
2011-09-27,16.39,83.61,66.03,48.78,28.54,17.63
2011-09-20,16.39,83.61,64.95,47.87,27.24,17.63
2011-09-13,19.89,80.11,63.29,49.90,32.26,17.63
2011-09-06,28.64,71.36,62.33,49.90,31.86,17.46
2011-08-30,27.92,72.08,62.31,49.78,31.86,17.46
2011-08-23,28.77,71.23,62.24,49.07,23.54,14.55
2011-08-16,26.90,73.10,64.14,44.28,23.60,14.55
2011-08-09,26.90,73.10,64.14,44.81,22.66,14.55
2011-08-02,24.54,75.46,66.43,44.81,22.66,14.55
2011-07-26,29.49,70.51,53.03,40.48,17.64,11.57
2011-07-19,33.86,66.14,48.63,34.36,17.08,8.66
2011-07-12,33.86,66.14,48.63,34.36,17.08,8.66
2011-07-05,14.53,85.47,52.41,33.87,13.75,1.95
2011-06-28,23.68,76.32,52.29,33.87,13.75,1.95
2011-06-21,27.96,72.04,50.70,33.48,13.75,1.95
2011-06-14,23.44,76.56,57.35,35.82,12.71,1.05
