Week,Nothing,D0,D1,D2,D3,D4
2013-07-16,100.00,0.00,0.00,0.00,0.00,0.00
2013-07-09,100.00,0.00,0.00,0.00,0.00,0.00
2013-07-02,100.00,0.00,0.00,0.00,0.00,0.00
2013-06-25,100.00,0.00,0.00,0.00,0.00,0.00
2013-06-18,100.00,0.00,0.00,0.00,0.00,0.00
2013-06-11,100.00,0.00,0.00,0.00,0.00,0.00
2013-06-04,100.00,0.00,0.00,0.00,0.00,0.00
2013-05-28,100.00,0.00,0.00,0.00,0.00,0.00
2013-05-21,100.00,0.00,0.00,0.00,0.00,0.00
2013-05-14,100.00,0.00,0.00,0.00,0.00,0.00
2013-05-07,100.00,0.00,0.00,0.00,0.00,0.00
2013-04-30,100.00,0.00,0.00,0.00,0.00,0.00
2013-04-23,100.00,0.00,0.00,0.00,0.00,0.00
2013-04-16,100.00,0.00,0.00,0.00,0.00,0.00
2013-04-09,100.00,0.00,0.00,0.00,0.00,0.00
2013-04-02,100.00,0.00,0.00,0.00,0.00,0.00
2013-03-26,100.00,0.00,0.00,0.00,0.00,0.00
2013-03-19,100.00,0.00,0.00,0.00,0.00,0.00
2013-03-12,100.00,0.00,0.00,0.00,0.00,0.00
2013-03-05,100.00,0.00,0.00,0.00,0.00,0.00
2013-02-26,100.00,0.00,0.00,0.00,0.00,0.00
2013-02-19,100.00,0.00,0.00,0.00,0.00,0.00
2013-02-12,100.00,0.00,0.00,0.00,0.00,0.00
2013-02-05,100.00,0.00,0.00,0.00,0.00,0.00
2013-01-29,93.41,6.59,0.00,0.00,0.00,0.00
2013-01-22,93.41,6.59,0.00,0.00,0.00,0.00
2013-01-15,91.55,8.45,0.00,0.00,0.00,0.00
2013-01-08,73.29,26.71,5.75,0.00,0.00,0.00
2013-01-01,73.25,26.75,5.68,0.00,0.00,0.00
2012-12-25,73.08,26.92,5.68,0.00,0.00,0.00
2012-12-18,73.08,26.92,5.68,0.00,0.00,0.00
2012-12-11,70.81,29.19,5.68,0.00,0.00,0.00
2012-12-04,31.86,68.14,12.62,4.35,0.00,0.00
2012-11-27,31.86,68.14,12.61,4.35,0.00,0.00
2012-11-20,39.72,60.28,8.17,4.35,0.00,0.00
2012-11-13,53.64,46.36,8.17,4.35,0.00,0.00
2012-11-06,51.37,48.63,14.41,6.49,0.00,0.00
2012-10-30,61.65,38.35,14.46,5.87,0.00,0.00
2012-10-23,61.76,38.24,14.46,5.87,0.47,0.00
2012-10-16,61.48,38.52,16.04,5.87,0.47,0.00
2012-10-09,60.61,39.39,16.28,8.02,2.96,0.00
2012-10-02,48.35,51.65,24.49,14.21,2.96,0.00
2012-09-25,40.18,59.82,26.60,15.35,2.96,0.00
2012-09-18,39.92,60.08,26.41,15.35,2.96,0.00
2012-09-11,18.66,81.34,26.67,15.69,2.96,0.00
2012-09-04,31.78,68.22,35.17,24.84,7.55,2.95
2012-08-28,25.33,74.67,47.48,25.49,17.93,6.12
2012-08-21,34.13,65.87,41.75,25.28,17.88,6.16
2012-08-14,32.02,67.98,41.34,27.63,21.41,13.33
2012-08-07,31.19,68.81,42.38,28.72,21.49,13.33
2012-07-31,21.38,78.62,55.28,32.31,22.34,13.37
2012-07-24,14.03,85.97,64.94,38.31,20.32,12.93
2012-07-17,3.52,96.48,74.68,43.92,20.32,7.81
2012-07-10,0.00,100.00,86.84,46.86,20.32,2.49
2012-07-03,0.00,100.00,81.92,47.89,20.34,0.00
2012-06-26,3.41,96.59,77.93,24.56,16.96,0.00
2012-06-19,3.89,96.11,33.66,17.89,13.66,0.00
2012-06-12,63.10,36.90,17.12,13.55,0.00,0.00
2012-06-05,68.53,31.47,17.06,11.07,0.00,0.00
2012-05-29,73.27,26.73,17.11,10.47,0.00,0.00
2012-05-22,73.27,26.73,16.44,10.47,0.00,0.00
2012-05-15,75.52,24.48,16.12,6.78,0.00,0.00
2012-05-08,73.32,26.68,12.10,1.67,0.00,0.00
2012-05-01,71.62,28.38,7.55,0.00,0.00,0.00
2012-04-24,55.92,44.08,9.57,0.00,0.00,0.00
2012-04-17,61.71,38.29,8.16,0.00,0.00,0.00
2012-04-10,64.31,35.69,0.00,0.00,0.00,0.00
2012-04-03,65.58,34.42,0.00,0.00,0.00,0.00
2012-03-27,100.00,0.00,0.00,0.00,0.00,0.00
2012-03-20,100.00,0.00,0.00,0.00,0.00,0.00
2012-03-13,100.00,0.00,0.00,0.00,0.00,0.00
2012-03-06,100.00,0.00,0.00,0.00,0.00,0.00
2012-02-28,100.00,0.00,0.00,0.00,0.00,0.00
2012-02-21,100.00,0.00,0.00,0.00,0.00,0.00
2012-02-14,100.00,0.00,0.00,0.00,0.00,0.00
2012-02-07,100.00,0.00,0.00,0.00,0.00,0.00
2012-01-31,100.00,0.00,0.00,0.00,0.00,0.00
2012-01-24,100.00,0.00,0.00,0.00,0.00,0.00
2012-01-17,100.00,0.00,0.00,0.00,0.00,0.00
2012-01-10,100.00,0.00,0.00,0.00,0.00,0.00
2012-01-03,100.00,0.00,0.00,0.00,0.00,0.00
2011-12-27,100.00,0.00,0.00,0.00,0.00,0.00
2011-12-20,100.00,0.00,0.00,0.00,0.00,0.00
2011-12-13,100.00,0.00,0.00,0.00,0.00,0.00
2011-12-06,100.00,0.00,0.00,0.00,0.00,0.00
2011-11-29,100.00,0.00,0.00,0.00,0.00,0.00
2011-11-22,99.88,0.12,0.00,0.00,0.00,0.00
2011-11-15,90.59,9.41,0.00,0.00,0.00,0.00
2011-11-08,90.59,9.41,1.40,0.00,0.00,0.00
2011-11-01,90.59,9.41,1.40,0.00,0.00,0.00
2011-10-25,87.22,12.78,1.40,0.00,0.00,0.00
2011-10-18,82.50,17.50,3.63,0.00,0.00,0.00
2011-10-11,80.10,19.90,3.45,0.00,0.00,0.00
2011-10-04,87.17,12.83,1.22,0.00,0.00,0.00
2011-09-27,86.72,13.28,0.04,0.00,0.00,0.00
2011-09-20,50.30,49.70,10.65,0.00,0.00,0.00
2011-09-13,50.30,49.70,16.14,0.00,0.00,0.00
2011-09-06,52.21,47.79,16.55,0.00,0.00,0.00
2011-08-30,28.83,71.17,31.02,4.27,0.00,0.00
2011-08-23,39.89,60.11,11.60,0.00,0.00,0.00
2011-08-16,45.08,54.92,5.77,0.00,0.00,0.00
2011-08-09,83.18,16.82,0.00,0.00,0.00,0.00
2011-08-02,83.18,16.82,0.00,0.00,0.00,0.00
2011-07-26,92.86,7.14,0.00,0.00,0.00,0.00
2011-07-19,100.00,0.00,0.00,0.00,0.00,0.00
2011-07-12,100.00,0.00,0.00,0.00,0.00,0.00
2011-07-05,100.00,0.00,0.00,0.00,0.00,0.00
2011-06-28,100.00,0.00,0.00,0.00,0.00,0.00
2011-06-21,100.00,0.00,0.00,0.00,0.00,0.00
2011-06-14,100.00,0.00,0.00,0.00,0.00,0.00
2011-06-07,100.00,0.00,0.00,0.00,0.00,0.00
2011-05-31,100.00,0.00,0.00,0.00,0.00,0.00
2011-05-24,100.00,0.00,0.00,0.00,0.00,0.00
2011-05-17,100.00,0.00,0.00,0.00,0.00,0.00
2011-05-10,100.00,0.00,0.00,0.00,0.00,0.00
2011-05-03,100.00,0.00,0.00,0.00,0.00,0.00
2011-04-26,100.00,0.00,0.00,0.00,0.00,0.00
2011-04-19,100.00,0.00,0.00,0.00,0.00,0.00
2011-04-12,100.00,0.00,0.00,0.00,0.00,0.00
2011-04-05,100.00,0.00,0.00,0.00,0.00,0.00
2011-03-29,100.00,0.00,0.00,0.00,0.00,0.00
2011-03-22,100.00,0.00,0.00,0.00,0.00,0.00
2011-03-15,100.00,0.00,0.00,0.00,0.00,0.00
2011-03-08,90.50,9.50,0.00,0.00,0.00,0.00
2011-03-01,68.84,31.16,7.81,0.00,0.00,0.00
2011-02-22,58.98,41.02,26.95,7.50,0.00,0.00
2011-02-15,57.66,42.34,26.95,7.50,0.00,0.00
2011-02-08,57.66,42.34,26.95,7.50,0.00,0.00
2011-02-01,38.43,61.57,26.95,7.49,0.00,0.00
2011-01-25,38.43,61.57,26.95,7.49,0.00,0.00
2011-01-18,38.43,61.57,26.95,7.49,0.00,0.00
2011-01-11,38.80,61.20,27.01,7.49,0.00,0.00
2011-01-04,38.80,61.20,27.01,7.82,0.00,0.00
2010-12-28,38.97,61.03,26.96,7.82,0.00,0.00
2010-12-21,41.76,58.24,26.96,7.75,0.00,0.00
2010-12-14,41.76,58.24,26.96,7.75,0.00,0.00
2010-12-07,33.87,66.14,30.82,17.14,0.90,0.00
2010-11-30,15.48,84.52,53.16,19.97,0.37,0.00
2010-11-23,15.37,84.63,58.57,45.33,5.61,0.00
2010-11-16,15.37,84.63,58.57,45.33,5.61,0.00
2010-11-09,15.37,84.63,58.37,45.33,5.61,0.00
2010-11-02,15.37,84.63,58.79,45.16,5.49,0.00
