Week,Nothing,D0,D1,D2,D3,D4
2013-07-16,68.92,31.08,0.36,0.00,0.00,0.00
2013-07-09,89.33,10.67,0.26,0.00,0.00,0.00
2013-07-02,91.32,8.68,0.00,0.00,0.00,0.00
2013-06-25,97.24,2.76,0.00,0.00,0.00,0.00
2013-06-18,91.22,8.78,2.11,0.00,0.00,0.00
2013-06-11,91.22,8.78,2.11,0.00,0.00,0.00
2013-06-04,87.87,12.13,2.64,0.00,0.00,0.00
2013-05-28,87.78,12.22,2.64,0.00,0.00,0.00
2013-05-21,87.78,12.22,2.48,0.00,0.00,0.00
2013-05-14,87.77,12.23,2.48,0.00,0.00,0.00
2013-05-07,93.41,6.59,0.00,0.00,0.00,0.00
2013-04-30,93.41,6.59,0.00,0.00,0.00,0.00
2013-04-23,93.41,6.59,0.00,0.00,0.00,0.00
2013-04-16,89.00,11.00,0.02,0.00,0.00,0.00
2013-04-09,72.82,27.18,0.19,0.00,0.00,0.00
2013-04-02,69.45,30.55,0.19,0.00,0.00,0.00
2013-03-26,71.61,28.39,0.25,0.00,0.00,0.00
2013-03-19,84.35,15.65,0.25,0.00,0.00,0.00
2013-03-12,97.83,2.17,0.00,0.00,0.00,0.00
2013-03-05,97.83,2.17,0.00,0.00,0.00,0.00
2013-02-26,94.75,5.25,0.00,0.00,0.00,0.00
2013-02-19,95.20,4.80,0.00,0.00,0.00,0.00
2013-02-12,94.87,5.13,0.00,0.00,0.00,0.00
2013-02-05,94.43,5.57,0.01,0.00,0.00,0.00
2013-01-29,83.09,16.91,0.01,0.00,0.00,0.00
2013-01-22,83.09,16.91,0.01,0.00,0.00,0.00
2013-01-15,83.09,16.91,0.01,0.00,0.00,0.00
2013-01-08,81.70,18.30,0.01,0.00,0.00,0.00
2013-01-01,56.27,43.73,1.20,0.00,0.00,0.00
2012-12-25,46.74,53.26,14.37,0.00,0.00,0.00
2012-12-18,46.74,53.26,14.37,0.00,0.00,0.00
2012-12-11,31.60,68.40,20.11,7.56,0.00,0.00
2012-12-04,14.38,85.62,23.34,6.80,0.00,0.00
2012-11-27,45.54,54.46,12.28,1.85,0.00,0.00
2012-11-20,55.80,44.20,11.89,1.85,0.00,0.00
2012-11-13,75.27,24.73,3.60,0.00,0.00,0.00
2012-11-06,81.63,18.37,2.58,0.00,0.00,0.00
2012-10-30,93.73,6.27,0.43,0.00,0.00,0.00
