Week,Nothing,D0,D1,D2,D3,D4
2013-07-16,100.00,0.00,0.00,0.00,0.00,0.00
2013-07-09,100.00,0.00,0.00,0.00,0.00,0.00
2013-07-02,100.00,0.00,0.00,0.00,0.00,0.00
2013-06-25,94.80,5.20,0.00,0.00,0.00,0.00
2013-06-18,94.80,5.20,0.00,0.00,0.00,0.00
2013-06-11,94.80,5.20,0.00,0.00,0.00,0.00
2013-06-04,93.12,6.88,0.00,0.00,0.00,0.00
2013-05-28,93.12,6.88,0.00,0.00,0.00,0.00
2013-05-21,56.19,43.81,0.00,0.00,0.00,0.00
2013-05-14,55.63,44.37,0.00,0.00,0.00,0.00
2013-05-07,41.97,58.03,0.00,0.00,0.00,0.00
2013-04-30,87.00,13.00,0.00,0.00,0.00,0.00
2013-04-23,99.31,0.69,0.00,0.00,0.00,0.00
2013-04-16,99.31,0.69,0.00,0.00,0.00,0.00
2013-04-09,99.31,0.69,0.00,0.00,0.00,0.00
2013-04-02,99.94,0.06,0.00,0.00,0.00,0.00
2013-03-26,99.94,0.06,0.00,0.00,0.00,0.00
2013-03-19,99.94,0.06,0.00,0.00,0.00,0.00
2013-03-12,99.94,0.06,0.00,0.00,0.00,0.00
2013-03-05,99.94,0.06,0.00,0.00,0.00,0.00
2013-02-26,99.94,0.06,0.00,0.00,0.00,0.00
2013-02-19,99.94,0.06,0.00,0.00,0.00,0.00
2013-02-12,99.94,0.06,0.00,0.00,0.00,0.00
2013-02-05,99.94,0.06,0.00,0.00,0.00,0.00
2013-01-29,99.94,0.06,0.00,0.00,0.00,0.00
2013-01-22,99.94,0.06,0.00,0.00,0.00,0.00
2013-01-15,99.94,0.06,0.00,0.00,0.00,0.00
2013-01-08,99.94,0.06,0.00,0.00,0.00,0.00
2013-01-01,99.94,0.06,0.00,0.00,0.00,0.00
2012-12-25,99.94,0.06,0.00,0.00,0.00,0.00
2012-12-18,99.94,0.06,0.00,0.00,0.00,0.00
2012-12-11,99.94,0.06,0.00,0.00,0.00,0.00
2012-12-04,99.94,0.06,0.00,0.00,0.00,0.00
2012-11-27,99.94,0.06,0.00,0.00,0.00,0.00
2012-11-20,100.00,0.00,0.00,0.00,0.00,0.00
2012-11-13,100.00,0.00,0.00,0.00,0.00,0.00
2012-11-06,100.00,0.00,0.00,0.00,0.00,0.00
2012-10-30,100.00,0.00,0.00,0.00,0.00,0.00
2012-10-23,100.00,0.00,0.00,0.00,0.00,0.00
2012-10-16,100.00,0.00,0.00,0.00,0.00,0.00
2012-10-09,100.00,0.00,0.00,0.00,0.00,0.00
2012-10-02,100.00,0.00,0.00,0.00,0.00,0.00
2012-09-25,100.00,0.00,0.00,0.00,0.00,0.00
2012-09-18,99.96,0.04,0.00,0.00,0.00,0.00
2012-09-11,99.97,0.03,0.00,0.00,0.00,0.00
2012-09-04,79.38,20.62,0.00,0.00,0.00,0.00
2012-08-28,79.37,20.63,0.00,0.00,0.00,0.00
2012-08-21,79.38,20.62,0.00,0.00,0.00,0.00
2012-08-14,27.23,72.77,0.00,0.00,0.00,0.00
2012-08-07,24.36,75.64,0.00,0.00,0.00,0.00
2012-07-31,24.36,75.64,0.00,0.00,0.00,0.00
2012-07-24,99.58,0.42,0.00,0.00,0.00,0.00
2012-07-17,100.00,0.00,0.00,0.00,0.00,0.00
2012-07-10,100.00,0.00,0.00,0.00,0.00,0.00
2012-07-03,100.00,0.00,0.00,0.00,0.00,0.00
2012-06-26,100.00,0.00,0.00,0.00,0.00,0.00
2012-06-19,100.00,0.00,0.00,0.00,0.00,0.00
2012-06-12,100.00,0.00,0.00,0.00,0.00,0.00
2012-06-05,100.00,0.00,0.00,0.00,0.00,0.00
2012-05-29,81.24,18.76,0.00,0.00,0.00,0.00
2012-05-22,81.24,18.76,0.00,0.00,0.00,0.00
2012-05-15,79.66,20.34,0.00,0.00,0.00,0.00
2012-05-08,49.55,50.45,17.56,0.00,0.00,0.00
2012-05-01,49.55,50.45,17.56,0.00,0.00,0.00
2012-04-24,22.38,77.62,17.56,0.00,0.00,0.00
2012-04-17,0.00,100.00,22.80,0.00,0.00,0.00
2012-04-10,0.00,100.00,22.80,0.00,0.00,0.00
2012-04-03,0.00,100.00,0.00,0.00,0.00,0.00
2012-03-27,42.73,57.27,0.00,0.00,0.00,0.00
2012-03-20,50.36,49.64,0.00,0.00,0.00,0.00
2012-03-13,50.36,49.64,0.00,0.00,0.00,0.00
2012-03-06,50.36,49.64,0.00,0.00,0.00,0.00
2012-02-28,44.19,55.81,0.00,0.00,0.00,0.00
2012-02-21,44.19,55.81,0.00,0.00,0.00,0.00
2012-02-14,44.19,55.81,0.00,0.00,0.00,0.00
2012-02-07,44.19,55.81,0.00,0.00,0.00,0.00
2012-01-31,48.85,51.15,0.00,0.00,0.00,0.00
2012-01-24,33.87,66.13,0.00,0.00,0.00,0.00
2012-01-17,33.87,66.13,0.00,0.00,0.00,0.00
2012-01-10,100.00,0.00,0.00,0.00,0.00,0.00
2012-01-03,100.00,0.00,0.00,0.00,0.00,0.00
2011-12-27,100.00,0.00,0.00,0.00,0.00,0.00
2011-12-20,100.00,0.00,0.00,0.00,0.00,0.00
2011-12-13,100.00,0.00,0.00,0.00,0.00,0.00
2011-12-06,100.00,0.00,0.00,0.00,0.00,0.00
2011-11-29,100.00,0.00,0.00,0.00,0.00,0.00
2011-11-22,100.00,0.00,0.00,0.00,0.00,0.00
2011-11-15,100.00,0.00,0.00,0.00,0.00,0.00
2011-11-08,100.00,0.00,0.00,0.00,0.00,0.00
2011-11-01,100.00,0.00,0.00,0.00,0.00,0.00
2011-10-25,100.00,0.00,0.00,0.00,0.00,0.00
2011-10-18,100.00,0.00,0.00,0.00,0.00,0.00
2011-10-11,100.00,0.00,0.00,0.00,0.00,0.00
2011-10-04,100.00,0.00,0.00,0.00,0.00,0.00
2011-09-27,100.00,0.00,0.00,0.00,0.00,0.00
2011-09-20,100.00,0.00,0.00,0.00,0.00,0.00
2011-09-13,100.00,0.00,0.00,0.00,0.00,0.00
2011-09-06,100.00,0.00,0.00,0.00,0.00,0.00
2011-08-30,100.00,0.00,0.00,0.00,0.00,0.00
2011-08-23,89.75,10.25,0.00,0.00,0.00,0.00
2011-08-16,89.75,10.25,0.00,0.00,0.00,0.00
2011-08-09,79.54,20.46,0.00,0.00,0.00,0.00
2011-08-02,79.54,20.46,0.00,0.00,0.00,0.00
2011-07-26,72.76,27.24,0.00,0.00,0.00,0.00
2011-07-19,100.00,0.00,0.00,0.00,0.00,0.00
2011-07-12,100.00,0.00,0.00,0.00,0.00,0.00
2011-07-05,100.00,0.00,0.00,0.00,0.00,0.00
2011-06-28,100.00,0.00,0.00,0.00,0.00,0.00
2011-06-21,100.00,0.00,0.00,0.00,0.00,0.00
2011-06-14,100.00,0.00,0.00,0.00,0.00,0.00
2011-06-07,100.00,0.00,0.00,0.00,0.00,0.00
2011-05-31,100.00,0.00,0.00,0.00,0.00,0.00
2011-05-24,100.00,0.00,0.00,0.00,0.00,0.00
2011-05-17,100.00,0.00,0.00,0.00,0.00,0.00
2011-05-10,100.00,0.00,0.00,0.00,0.00,0.00
2011-05-03,100.00,0.00,0.00,0.00,0.00,0.00
2011-04-26,100.00,0.00,0.00,0.00,0.00,0.00
2011-04-19,100.00,0.00,0.00,0.00,0.00,0.00
2011-04-12,100.00,0.00,0.00,0.00,0.00,0.00
2011-04-05,100.00,0.00,0.00,0.00,0.00,0.00
2011-03-29,100.00,0.00,0.00,0.00,0.00,0.00
2011-03-22,100.00,0.00,0.00,0.00,0.00,0.00
2011-03-15,100.00,0.00,0.00,0.00,0.00,0.00
2011-03-08,100.00,0.00,0.00,0.00,0.00,0.00
2011-03-01,100.00,0.00,0.00,0.00,0.00,0.00
2011-02-22,100.00,0.00,0.00,0.00,0.00,0.00
2011-02-15,100.00,0.00,0.00,0.00,0.00,0.00
2011-02-08,100.00,0.00,0.00,0.00,0.00,0.00
2011-02-01,100.00,0.00,0.00,0.00,0.00,0.00
2011-01-25,100.00,0.00,0.00,0.00,0.00,0.00
2011-01-18,100.00,0.00,0.00,0.00,0.00,0.00
2011-01-11,100.00,0.00,0.00,0.00,0.00,0.00
2011-01-04,100.00,0.00,0.00,0.00,0.00,0.00
2010-12-28,100.00,0.00,0.00,0.00,0.00,0.00
2010-12-21,100.00,0.00,0.00,0.00,0.00,0.00
2010-12-14,100.00,0.00,0.00,0.00,0.00,0.00
2010-12-07,100.00,0.00,0.00,0.00,0.00,0.00
2010-11-30,100.00,0.00,0.00,0.00,0.00,0.00
2010-11-23,100.00,0.00,0.00,0.00,0.00,0.00
2010-11-16,100.00,0.00,0.00,0.00,0.00,0.00
2010-11-09,100.00,0.00,0.00,0.00,0.00,0.00
2010-11-02,100.00,0.00,0.00,0.00,0.00,0.00
