Week,Nothing,D0,D1,D2,D3,D4
2013-07-16,100.00,0.00,0.00,0.00,0.00,0.00
2013-07-09,100.00,0.00,0.00,0.00,0.00,0.00
2013-07-02,100.00,0.00,0.00,0.00,0.00,0.00
2013-06-25,100.00,0.00,0.00,0.00,0.00,0.00
2013-06-18,100.00,0.00,0.00,0.00,0.00,0.00
2013-06-11,100.00,0.00,0.00,0.00,0.00,0.00
2013-06-04,100.00,0.00,0.00,0.00,0.00,0.00
2013-05-28,100.00,0.00,0.00,0.00,0.00,0.00
2013-05-21,100.00,0.00,0.00,0.00,0.00,0.00
2013-05-14,100.00,0.00,0.00,0.00,0.00,0.00
2013-05-07,100.00,0.00,0.00,0.00,0.00,0.00
2013-04-30,99.34,0.66,0.00,0.00,0.00,0.00
2013-04-23,99.34,0.66,0.00,0.00,0.00,0.00
2013-04-16,98.76,1.24,0.00,0.00,0.00,0.00
2013-04-09,94.53,5.47,1.24,0.00,0.00,0.00
2013-04-02,85.06,14.94,1.24,0.00,0.00,0.00
2013-03-26,85.06,14.94,1.24,0.00,0.00,0.00
2013-03-19,85.06,14.94,1.24,0.00,0.00,0.00
2013-03-12,85.06,14.94,1.24,0.00,0.00,0.00
2013-03-05,80.93,19.07,1.19,0.00,0.00,0.00
2013-02-26,59.99,40.01,1.29,0.00,0.00,0.00
2013-02-19,59.99,40.01,1.28,0.00,0.00,0.00
2013-02-12,59.99,40.01,1.28,0.00,0.00,0.00
2013-02-05,60.11,39.89,1.28,0.00,0.00,0.00
2013-01-29,60.11,39.89,2.43,0.00,0.00,0.00
2013-01-22,60.11,39.89,2.43,0.00,0.00,0.00
2013-01-15,60.11,39.89,3.61,0.00,0.00,0.00
2013-01-08,60.07,39.93,3.61,0.00,0.00,0.00
2013-01-01,60.32,39.68,3.42,0.00,0.00,0.00
2012-12-25,60.32,39.68,3.42,0.00,0.00,0.00
2012-12-18,60.32,39.68,3.42,0.00,0.00,0.00
2012-12-11,60.32,39.68,3.42,0.00,0.00,0.00
2012-12-04,60.56,39.44,3.42,0.00,0.00,0.00
2012-11-27,60.56,39.44,3.54,0.00,0.00,0.00
2012-11-20,70.48,29.52,0.09,0.00,0.00,0.00
2012-11-13,70.48,29.52,0.09,0.00,0.00,0.00
2012-11-06,70.48,29.52,0.09,0.00,0.00,0.00
2012-10-30,62.43,37.57,2.11,0.00,0.00,0.00
2012-10-23,56.28,43.72,3.84,0.00,0.00,0.00
2012-10-16,50.79,49.21,4.08,0.00,0.00,0.00
2012-10-09,10.59,89.41,11.02,0.00,0.00,0.00
2012-10-02,23.46,76.54,7.70,0.00,0.00,0.00
2012-09-25,23.46,76.54,7.70,0.00,0.00,0.00
2012-09-18,8.38,91.62,8.88,0.00,0.00,0.00
2012-09-11,8.46,91.54,8.66,0.00,0.00,0.00
2012-09-04,8.47,91.53,8.67,0.00,0.00,0.00
2012-08-28,13.83,86.17,14.36,0.00,0.00,0.00
2012-08-21,13.84,86.16,29.93,4.22,0.00,0.00
2012-08-14,8.78,91.22,29.93,4.22,0.00,0.00
2012-08-07,8.84,91.16,43.02,23.47,1.24,0.00
2012-07-31,8.84,91.16,43.02,23.57,1.34,0.00
2012-07-24,8.84,91.16,43.02,24.51,1.13,0.00
2012-07-17,17.98,82.02,38.31,21.31,1.13,0.00
2012-07-10,20.80,79.20,24.17,2.04,0.00,0.00
2012-07-03,51.61,48.39,8.36,0.07,0.00,0.00
2012-06-26,51.83,48.17,8.27,0.07,0.00,0.00
2012-06-19,43.41,56.59,17.06,0.07,0.00,0.00
2012-06-12,59.80,40.20,12.34,0.00,0.00,0.00
2012-06-05,67.07,32.93,12.23,0.00,0.00,0.00
2012-05-29,66.54,33.46,16.62,0.00,0.00,0.00
2012-05-22,72.58,27.42,5.90,0.00,0.00,0.00
2012-05-15,72.58,27.42,5.90,0.00,0.00,0.00
2012-05-08,72.58,27.42,5.90,0.00,0.00,0.00
2012-05-01,77.58,22.42,8.24,0.00,0.00,0.00
2012-04-24,77.58,22.42,2.80,0.00,0.00,0.00
2012-04-17,77.58,22.42,2.80,0.00,0.00,0.00
2012-04-10,77.58,22.42,2.80,0.00,0.00,0.00
2012-04-03,85.64,14.36,2.80,0.00,0.00,0.00
2012-03-27,85.64,14.36,2.80,0.00,0.00,0.00
2012-03-20,85.64,14.36,2.80,0.00,0.00,0.00
2012-03-13,85.64,14.36,2.80,0.00,0.00,0.00
2012-03-06,85.64,14.36,2.80,0.00,0.00,0.00
2012-02-28,85.64,14.36,2.80,0.00,0.00,0.00
2012-02-21,85.64,14.36,2.80,0.00,0.00,0.00
2012-02-14,85.64,14.36,2.80,0.00,0.00,0.00
2012-02-07,85.64,14.36,2.80,0.00,0.00,0.00
2012-01-31,85.64,14.36,2.80,0.00,0.00,0.00
2012-01-24,85.64,14.36,2.80,0.00,0.00,0.00
2012-01-17,85.64,14.36,2.80,0.00,0.00,0.00
2012-01-10,85.64,14.36,2.80,0.00,0.00,0.00
2012-01-03,85.64,14.36,2.80,0.00,0.00,0.00
2011-12-27,85.65,14.35,2.42,0.00,0.00,0.00
2011-12-20,85.65,14.35,2.42,0.00,0.00,0.00
2011-12-13,85.65,14.35,2.42,0.00,0.00,0.00
2011-12-06,86.69,13.31,2.42,0.00,0.00,0.00
2011-11-29,86.69,13.31,2.42,0.00,0.00,0.00
2011-11-22,86.69,13.31,2.42,0.00,0.00,0.00
2011-11-15,86.69,13.31,2.42,0.00,0.00,0.00
2011-11-08,86.69,13.31,2.42,0.00,0.00,0.00
2011-11-01,86.69,13.31,2.42,0.00,0.00,0.00
2011-10-25,86.69,13.31,2.42,0.00,0.00,0.00
2011-10-18,86.69,13.31,2.42,0.00,0.00,0.00
2011-10-11,78.59,21.41,3.35,0.49,0.00,0.00
2011-10-04,78.96,21.04,3.35,0.49,0.00,0.00
2011-09-27,67.13,32.87,6.55,2.27,0.00,0.00
2011-09-20,64.10,35.90,6.55,2.27,0.00,0.00
2011-09-13,64.10,35.90,6.55,1.55,0.00,0.00
2011-09-06,67.86,32.14,3.80,0.00,0.00,0.00
2011-08-30,67.57,32.43,3.80,0.00,0.00,0.00
2011-08-23,72.05,27.95,2.72,0.00,0.00,0.00
2011-08-16,72.05,27.95,2.72,0.00,0.00,0.00
2011-08-09,67.07,32.93,0.00,0.00,0.00,0.00
2011-08-02,67.07,32.93,0.00,0.00,0.00,0.00
2011-07-26,48.88,51.12,0.00,0.00,0.00,0.00
2011-07-19,92.38,7.62,0.00,0.00,0.00,0.00
2011-07-12,100.00,0.00,0.00,0.00,0.00,0.00
2011-07-05,99.12,0.88,0.00,0.00,0.00,0.00
2011-06-28,99.12,0.88,0.00,0.00,0.00,0.00
2011-06-21,97.04,2.96,0.00,0.00,0.00,0.00
2011-06-14,97.04,2.96,0.00,0.00,0.00,0.00
2011-06-07,97.04,2.96,0.00,0.00,0.00,0.00
2011-05-31,97.04,2.96,0.00,0.00,0.00,0.00
2011-05-24,97.04,2.96,0.00,0.00,0.00,0.00
2011-05-17,97.04,2.96,0.00,0.00,0.00,0.00
2011-05-10,62.68,37.32,0.00,0.00,0.00,0.00
2011-05-03,62.68,37.32,0.00,0.00,0.00,0.00
2011-04-26,62.68,37.32,21.29,0.00,0.00,0.00
2011-04-19,60.11,39.89,21.29,0.00,0.00,0.00
2011-04-12,58.99,41.01,21.69,0.00,0.00,0.00
2011-04-05,59.06,40.94,21.37,0.00,0.00,0.00
2011-03-29,59.06,40.94,21.37,0.00,0.00,0.00
2011-03-22,59.06,40.94,0.00,0.00,0.00,0.00
2011-03-15,58.82,41.18,0.00,0.00,0.00,0.00
2011-03-08,58.82,41.18,0.00,0.00,0.00,0.00
2011-03-01,58.82,41.18,0.00,0.00,0.00,0.00
2011-02-22,75.74,24.26,0.00,0.00,0.00,0.00
2011-02-15,73.39,26.61,0.18,0.00,0.00,0.00
2011-02-08,73.39,26.61,0.18,0.00,0.00,0.00
2011-02-01,73.39,26.61,0.18,0.00,0.00,0.00
2011-01-25,94.62,5.38,0.18,0.00,0.00,0.00
2011-01-18,94.62,5.38,0.18,0.00,0.00,0.00
2011-01-11,94.61,5.39,0.18,0.00,0.00,0.00
2011-01-04,94.61,5.39,0.18,0.00,0.00,0.00
2010-12-28,94.60,5.40,0.18,0.00,0.00,0.00
2010-12-21,94.81,5.19,0.18,0.00,0.00,0.00
2010-12-14,94.81,5.19,0.18,0.00,0.00,0.00
2010-12-07,75.50,24.50,0.97,0.00,0.00,0.00
2010-11-30,75.50,24.50,0.97,0.00,0.00,0.00
2010-11-23,75.50,24.50,7.51,0.00,0.00,0.00
2010-11-16,75.50,24.50,7.51,0.00,0.00,0.00
2010-11-09,75.51,24.49,7.75,0.00,0.00,0.00
2010-11-02,75.51,24.49,7.13,0.00,0.00,0.00
