Week,Nothing,D0,D1,D2,D3,D4
2013-07-16,93.48,6.52,1.71,0.00,0.00,0.00
2013-07-09,91.03,8.97,2.60,0.00,0.00,0.00
2013-07-02,90.84,9.16,4.04,0.00,0.00,0.00
2013-06-25,89.55,10.45,5.38,0.00,0.00,0.00
2013-06-18,67.36,32.64,11.25,0.00,0.00,0.00
2013-06-11,66.28,33.72,12.59,0.87,0.00,0.00
2013-06-04,60.62,39.38,19.72,3.15,0.00,0.00
2013-05-28,59.82,40.18,19.72,3.15,0.00,0.00
2013-05-21,19.96,80.04,23.00,6.53,0.00,0.00
2013-05-14,14.64,85.36,44.52,12.89,0.00,0.00
2013-05-07,14.64,85.36,44.52,15.03,0.00,0.00
2013-04-30,9.04,90.96,46.18,15.11,0.00,0.00
2013-04-23,8.33,91.67,51.40,16.36,0.00,0.00
2013-04-16,3.24,96.76,66.90,21.27,0.00,0.00
2013-04-09,0.00,100.00,97.79,66.81,19.77,0.00
2013-04-02,0.00,100.00,97.79,67.26,19.77,0.00
2013-03-26,0.00,100.00,97.79,67.22,19.77,0.00
2013-03-19,0.00,100.00,97.79,67.22,19.77,0.00
2013-03-12,0.00,100.00,97.79,67.22,19.77,0.00
2013-03-05,0.00,100.00,97.68,69.79,25.02,0.00
2013-02-26,0.00,100.00,97.90,69.79,25.02,0.00
2013-02-19,0.00,100.00,97.89,69.79,25.02,0.00
2013-02-12,0.00,100.00,97.89,69.79,25.11,0.00
2013-02-05,0.00,100.00,97.99,83.59,25.11,0.00
2013-01-29,0.00,100.00,97.99,83.59,25.11,0.00
2013-01-22,0.00,100.00,97.99,83.59,25.11,0.00
2013-01-15,0.00,100.00,97.99,83.59,25.11,0.00
2013-01-08,0.00,100.00,97.99,83.44,25.17,0.00
2013-01-01,0.00,100.00,97.84,83.44,25.17,0.00
2012-12-25,0.00,100.00,97.84,83.44,25.17,0.00
2012-12-18,0.00,100.00,97.84,83.44,25.17,0.00
2012-12-11,0.00,100.00,97.84,83.44,25.25,0.00
2012-12-04,0.00,100.00,97.84,83.44,25.25,0.00
2012-11-27,0.00,100.00,97.91,83.44,25.25,0.00
2012-11-20,0.00,100.00,96.38,43.17,25.25,0.00
2012-11-13,0.00,100.00,96.38,43.17,25.25,0.00
2012-11-06,0.00,100.00,96.38,43.13,25.29,0.00
2012-10-30,0.00,100.00,96.38,43.13,25.29,0.00
2012-10-23,0.00,100.00,99.64,44.36,25.44,0.00
2012-10-16,0.00,100.00,99.95,47.75,30.18,0.00
2012-10-09,0.00,100.00,99.95,47.38,19.27,0.00
2012-10-02,0.00,100.00,96.32,44.89,19.84,0.00
2012-09-25,1.92,98.08,77.45,35.36,18.51,0.00
2012-09-18,3.80,96.20,64.11,28.17,4.32,0.00
2012-09-11,16.50,83.50,44.39,28.02,4.22,0.00
2012-09-04,37.20,62.80,39.29,22.67,4.22,0.00
2012-08-28,46.13,53.87,37.98,19.91,0.00,0.00
2012-08-21,47.67,52.33,36.31,17.98,0.24,0.00
2012-08-14,52.57,47.43,34.93,16.31,0.25,0.00
2012-08-07,52.11,47.89,35.02,16.18,0.26,0.00
2012-07-31,52.11,47.89,35.02,16.25,0.18,0.00
2012-07-24,37.88,62.12,37.37,13.05,0.00,0.00
2012-07-17,37.60,62.40,33.96,7.32,0.00,0.00
2012-07-10,51.26,48.74,24.07,0.00,0.00,0.00
2012-07-03,58.16,41.84,14.86,0.00,0.00,0.00
2012-06-26,65.56,34.44,13.67,0.00,0.00,0.00
2012-06-19,61.37,38.63,13.67,0.00,0.00,0.00
2012-06-12,56.98,43.02,13.67,0.00,0.00,0.00
2012-06-05,55.98,44.02,13.63,0.00,0.00,0.00
2012-05-29,53.46,46.54,14.08,0.00,0.00,0.00
2012-05-22,18.52,81.48,32.59,0.29,0.00,0.00
2012-05-15,2.74,97.26,10.05,0.29,0.00,0.00
2012-05-08,2.74,97.26,10.05,0.29,0.00,0.00
2012-05-01,1.78,98.22,60.07,18.65,0.00,0.00
