Week,Nothing,D0,D1,D2,D3,D4
2013-07-16,72.61,27.39,0.00,0.00,0.00,0.00
2013-07-09,92.74,7.26,0.00,0.00,0.00,0.00
2013-07-02,100.00,0.00,0.00,0.00,0.00,0.00
2013-06-25,100.00,0.00,0.00,0.00,0.00,0.00
2013-06-18,99.42,0.58,0.00,0.00,0.00,0.00
2013-06-11,99.42,0.58,0.00,0.00,0.00,0.00
2013-06-04,96.81,3.19,0.00,0.00,0.00,0.00
2013-05-28,96.81,3.19,0.00,0.00,0.00,0.00
2013-05-21,94.31,5.69,2.70,0.00,0.00,0.00
2013-05-14,94.31,5.69,2.91,0.00,0.00,0.00
2013-05-07,94.31,5.69,2.91,0.00,0.00,0.00
2013-04-30,91.35,8.65,5.48,0.00,0.00,0.00
2013-04-23,82.96,17.04,5.48,0.00,0.00,0.00
2013-04-16,74.60,25.40,11.04,4.00,0.00,0.00
2013-04-09,68.83,31.17,16.11,4.81,0.00,0.00
2013-04-02,65.59,34.41,19.66,5.05,0.00,0.00
2013-03-26,65.59,34.41,19.66,6.72,0.00,0.00
2013-03-19,34.67,65.33,19.61,6.85,0.00,0.00
2013-03-12,34.67,65.33,19.58,6.85,0.00,0.00
2013-03-05,23.77,76.23,64.65,15.42,0.00,0.00
2013-02-26,20.48,79.52,70.06,19.44,0.00,0.00
2013-02-19,15.95,84.05,77.23,25.21,0.00,0.00
2013-02-12,16.58,83.42,76.80,26.15,0.00,0.00
2013-02-05,16.56,83.44,76.80,27.15,0.00,0.00
2013-01-29,0.00,100.00,84.49,38.33,0.00,0.00
2013-01-22,0.00,100.00,84.49,38.33,0.00,0.00
2013-01-15,0.00,100.00,88.73,38.29,0.00,0.00
2013-01-08,0.00,100.00,94.71,40.42,0.00,0.00
2013-01-01,0.00,100.00,94.68,40.42,0.00,0.00
2012-12-25,0.00,100.00,94.68,40.42,0.00,0.00
2012-12-18,0.00,100.00,94.68,29.09,0.00,0.00
2012-12-11,0.00,100.00,94.68,29.09,0.00,0.00
2012-12-04,0.00,100.00,97.37,29.54,0.00,0.00
2012-11-27,0.00,100.00,95.97,27.93,0.00,0.00
2012-11-20,0.00,100.00,95.97,24.49,0.00,0.00
2012-11-13,0.00,100.00,95.97,24.49,0.00,0.00
2012-11-06,0.00,100.00,98.35,50.51,9.17,0.00
2012-10-30,0.00,100.00,98.35,49.64,10.19,0.00
2012-10-23,0.00,100.00,99.02,49.67,11.37,0.00
2012-10-16,0.00,100.00,99.32,51.67,11.76,0.00
2012-10-09,0.00,100.00,99.28,72.83,15.09,0.00
2012-10-02,0.00,100.00,100.00,72.87,15.09,0.00
2012-09-25,0.00,100.00,100.00,84.50,16.90,0.00
2012-09-18,0.00,100.00,100.00,84.55,16.90,0.00
2012-09-11,0.00,100.00,100.00,89.68,25.20,0.78
2012-09-04,0.00,100.00,100.00,97.85,31.88,3.01
2012-08-28,0.00,100.00,100.00,100.00,97.44,35.29
2012-08-21,0.00,100.00,100.00,100.00,99.29,35.72
2012-08-14,0.00,100.00,100.00,100.00,94.68,35.51
2012-08-07,0.00,100.00,100.00,100.00,94.56,13.89
2012-07-31,0.00,100.00,100.00,100.00,92.79,8.40
2012-07-24,0.00,100.00,100.00,100.00,68.86,8.09
2012-07-17,0.00,100.00,100.00,93.49,22.83,0.04
2012-07-10,0.00,100.00,95.94,82.54,9.52,0.00
2012-07-03,0.96,99.04,94.23,78.73,9.51,0.00
2012-06-26,1.30,98.70,86.93,33.01,9.19,0.00
2012-06-19,1.30,98.70,86.71,31.82,8.06,0.00
2012-06-12,5.11,94.89,37.29,8.35,0.00,0.00
2012-06-05,5.06,94.94,26.04,4.44,0.00,0.00
2012-05-29,44.73,55.27,19.40,2.52,0.00,0.00
2012-05-22,57.52,42.48,7.32,2.52,0.00,0.00
2012-05-15,83.56,16.44,4.12,0.26,0.00,0.00
2012-05-08,88.05,11.95,2.31,0.00,0.00,0.00
2012-05-01,83.81,16.19,0.00,0.00,0.00,0.00
2012-04-24,94.33,5.67,0.00,0.00,0.00,0.00
2012-04-17,94.63,5.37,0.00,0.00,0.00,0.00
2012-04-10,94.53,5.47,0.00,0.00,0.00,0.00
2012-04-03,94.87,5.13,0.00,0.00,0.00,0.00
2012-03-27,94.87,5.13,0.00,0.00,0.00,0.00
2012-03-20,98.00,2.00,0.00,0.00,0.00,0.00
2012-03-13,95.13,4.87,0.00,0.00,0.00,0.00
2012-03-06,95.13,4.87,0.00,0.00,0.00,0.00
2012-02-28,95.13,4.87,0.00,0.00,0.00,0.00
2012-02-21,95.13,4.87,0.00,0.00,0.00,0.00
2012-02-14,95.13,4.87,0.00,0.00,0.00,0.00
2012-02-07,95.13,4.87,0.00,0.00,0.00,0.00
2012-01-31,95.12,4.88,0.00,0.00,0.00,0.00
2012-01-24,94.94,5.06,0.00,0.00,0.00,0.00
2012-01-17,95.47,4.53,0.00,0.00,0.00,0.00
2012-01-10,95.47,4.53,0.00,0.00,0.00,0.00
2012-01-03,95.48,4.52,0.00,0.00,0.00,0.00
2011-12-27,95.48,4.52,0.00,0.00,0.00,0.00
2011-12-20,94.22,5.78,0.00,0.00,0.00,0.00
2011-12-13,72.39,27.61,1.27,0.00,0.00,0.00
2011-12-06,72.37,27.63,1.27,0.00,0.00,0.00
2011-11-29,49.11,50.89,12.30,0.00,0.00,0.00
2011-11-22,32.81,67.19,47.64,2.47,0.00,0.00
2011-11-15,30.97,69.03,47.83,2.47,0.00,0.00
2011-11-08,30.02,69.98,53.05,4.35,0.00,0.00
