Week,Nothing,D0,D1,D2,D3,D4
2013-07-16,87.65,12.35,0.00,0.00,0.00,0.00
2013-07-09,100.00,0.00,0.00,0.00,0.00,0.00
2013-07-02,100.00,0.00,0.00,0.00,0.00,0.00
2013-06-25,100.00,0.00,0.00,0.00,0.00,0.00
2013-06-18,100.00,0.00,0.00,0.00,0.00,0.00
2013-06-11,100.00,0.00,0.00,0.00,0.00,0.00
2013-06-04,100.00,0.00,0.00,0.00,0.00,0.00
2013-05-28,100.00,0.00,0.00,0.00,0.00,0.00
2013-05-21,100.00,0.00,0.00,0.00,0.00,0.00
2013-05-14,100.00,0.00,0.00,0.00,0.00,0.00
2013-05-07,100.00,0.00,0.00,0.00,0.00,0.00
2013-04-30,99.10,0.90,0.00,0.00,0.00,0.00
2013-04-23,99.10,0.90,0.00,0.00,0.00,0.00
2013-04-16,97.33,2.67,0.00,0.00,0.00,0.00
2013-04-09,96.86,3.14,0.00,0.00,0.00,0.00
2013-04-02,95.58,4.42,0.00,0.00,0.00,0.00
2013-03-26,99.87,0.13,0.00,0.00,0.00,0.00
2013-03-19,99.87,0.13,0.00,0.00,0.00,0.00
2013-03-12,99.98,0.02,0.00,0.00,0.00,0.00
2013-03-05,100.00,0.00,0.00,0.00,0.00,0.00
2013-02-26,99.98,0.02,0.00,0.00,0.00,0.00
2013-02-19,94.29,5.71,2.16,0.00,0.00,0.00
2013-02-12,94.29,5.71,2.16,0.00,0.00,0.00
2013-02-05,91.72,8.28,2.16,0.00,0.00,0.00
2013-01-29,91.61,8.39,0.00,0.00,0.00,0.00
2013-01-22,91.61,8.39,0.00,0.00,0.00,0.00
2013-01-15,90.62,9.38,0.00,0.00,0.00,0.00
2013-01-08,75.64,24.36,0.00,0.00,0.00,0.00
2013-01-01,73.38,26.62,0.00,0.00,0.00,0.00
2012-12-25,62.58,37.42,0.00,0.00,0.00,0.00
2012-12-18,62.58,37.42,0.00,0.00,0.00,0.00
2012-12-11,61.00,39.00,0.00,0.00,0.00,0.00
2012-12-04,60.66,39.34,1.15,0.00,0.00,0.00
2012-11-27,80.50,19.50,1.07,0.00,0.00,0.00
2012-11-20,83.33,16.67,1.07,0.00,0.00,0.00
2012-11-13,86.19,13.81,1.07,0.00,0.00,0.00
2012-11-06,85.60,14.40,3.82,0.37,0.00,0.00
2012-10-30,87.19,12.81,3.35,0.37,0.00,0.00
2012-10-23,87.29,12.71,3.35,0.37,0.00,0.00
2012-10-16,86.01,13.99,3.71,0.37,0.00,0.00
2012-10-09,85.42,14.58,3.62,0.38,0.00,0.00
2012-10-02,82.25,17.75,12.65,7.37,0.00,0.00
2012-09-25,82.25,17.75,12.65,7.08,2.55,0.00
2012-09-18,82.13,17.87,12.65,7.08,2.55,0.00
2012-09-11,82.07,17.93,12.93,7.16,2.55,0.00
2012-09-04,82.07,17.93,12.86,7.55,2.88,0.00
2012-08-28,68.78,31.22,14.24,6.79,1.98,0.00
