Week,Nothing,D0,D1,D2,D3,D4
2013-07-16,65.25,34.75,18.10,6.49,3.13,0.00
2013-07-09,67.68,32.32,15.59,6.34,3.13,0.00
2013-07-02,67.79,32.21,15.72,6.34,3.13,0.00
2013-06-25,67.79,32.21,15.70,6.34,2.48,0.00
2013-06-18,65.53,34.47,15.70,6.34,2.48,0.00
2013-06-11,65.83,34.17,15.70,6.34,2.48,0.00
2013-06-04,70.65,29.35,15.55,6.34,2.48,0.00
2013-05-28,57.31,42.69,31.18,14.51,2.81,0.00
2013-05-21,52.79,47.21,33.52,14.51,2.81,0.00
2013-05-14,51.38,48.62,34.84,15.42,4.77,0.00
2013-05-07,54.35,45.65,32.01,12.34,2.29,0.00
2013-04-30,56.14,43.86,32.01,12.34,2.29,0.00
2013-04-23,56.14,43.86,32.01,12.34,2.29,0.00
2013-04-16,53.88,46.12,31.96,12.24,2.28,0.00
2013-04-09,52.44,47.56,32.09,15.84,3.51,0.00
2013-04-02,52.44,47.56,32.44,19.85,3.66,0.00
2013-03-26,52.44,47.56,32.08,19.71,3.51,0.00
2013-03-19,58.94,41.06,29.17,18.83,3.48,0.00
2013-03-12,58.94,41.06,29.17,18.83,3.48,0.00
2013-03-05,58.95,41.05,28.73,17.59,3.50,0.00
2013-02-26,59.06,40.94,28.91,17.59,3.50,0.00
2013-02-19,59.57,40.43,28.91,17.59,3.50,0.00
2013-02-12,59.57,40.43,28.91,17.59,3.50,0.00
2013-02-05,51.15,48.85,34.09,18.90,6.99,0.00
2013-01-29,50.40,49.60,34.09,18.90,6.99,0.00
2013-01-22,43.85,56.15,34.09,18.90,6.99,0.00
2013-01-15,52.92,47.08,34.09,18.90,6.99,0.00
2013-01-08,52.91,47.09,34.09,18.90,6.91,0.00
2013-01-01,52.56,47.44,33.90,18.90,6.91,0.00
2012-12-25,52.56,47.44,33.90,18.90,6.91,0.00
2012-12-18,52.56,47.44,33.90,18.90,6.91,0.00
2012-12-11,53.57,46.43,32.27,16.06,4.47,0.00
2012-12-04,49.58,50.42,34.49,19.52,4.47,0.00
2012-11-27,45.33,54.67,36.17,20.59,4.47,0.00
2012-11-20,45.33,54.67,36.17,20.59,4.47,0.00
2012-11-13,45.33,54.67,36.17,20.59,4.47,0.00
2012-11-06,32.90,67.10,45.41,27.80,9.31,0.00
2012-10-30,13.31,86.69,60.26,40.05,12.85,0.00
2012-10-23,13.28,86.72,60.26,40.05,12.85,0.00
2012-10-16,13.05,86.95,59.84,30.52,4.18,0.00
2012-10-09,9.21,90.79,61.53,30.45,4.18,0.00
2012-10-02,18.74,81.26,62.51,30.45,4.18,0.00
2012-09-25,18.74,81.26,62.51,29.15,4.18,0.00
2012-09-18,19.76,80.24,60.46,29.07,4.16,0.00
2012-09-11,19.75,80.25,60.24,28.97,4.16,0.00
2012-09-04,19.75,80.25,60.30,29.35,4.16,0.00
2012-08-28,19.70,80.30,41.20,16.76,0.00,0.00
2012-08-21,20.87,79.13,41.09,16.56,0.00,0.00
2012-08-14,22.99,77.01,41.05,17.51,0.00,0.00
2012-08-07,26.28,73.72,38.68,17.51,0.00,0.00
2012-07-31,26.28,73.72,35.45,17.49,0.00,0.00
2012-07-24,39.74,60.26,35.45,17.34,0.00,0.00
2012-07-17,35.27,64.73,35.45,16.84,0.00,0.00
2012-07-10,39.54,60.46,32.12,5.59,0.00,0.00
2012-07-03,46.63,53.37,28.42,4.32,0.00,0.00
2012-06-26,59.49,40.51,18.37,0.00,0.00,0.00
2012-06-19,56.02,43.98,4.36,0.00,0.00,0.00
2012-06-12,82.52,17.48,0.00,0.00,0.00,0.00
2012-06-05,78.22,21.78,0.00,0.00,0.00,0.00
2012-05-29,78.22,21.78,0.00,0.00,0.00,0.00
2012-05-22,79.28,20.72,0.00,0.00,0.00,0.00
2012-05-15,82.48,17.52,0.00,0.00,0.00,0.00
2012-05-08,87.19,12.81,0.00,0.00,0.00,0.00
2012-05-01,87.44,12.56,0.00,0.00,0.00,0.00
2012-04-24,77.81,22.19,0.00,0.00,0.00,0.00
2012-04-17,77.81,22.19,0.00,0.00,0.00,0.00
2012-04-10,77.81,22.19,0.00,0.00,0.00,0.00
2012-04-03,77.81,22.19,0.00,0.00,0.00,0.00
2012-03-27,84.12,15.88,0.00,0.00,0.00,0.00
2012-03-20,92.33,7.67,0.00,0.00,0.00,0.00
2012-03-13,87.29,12.71,0.00,0.00,0.00,0.00
2012-03-06,87.29,12.71,0.00,0.00,0.00,0.00
2012-02-28,87.29,12.71,0.00,0.00,0.00,0.00
2012-02-21,87.29,12.71,0.00,0.00,0.00,0.00
2012-02-14,88.37,11.63,0.00,0.00,0.00,0.00
2012-02-07,88.37,11.63,0.00,0.00,0.00,0.00
2012-01-31,88.37,11.63,0.00,0.00,0.00,0.00
2012-01-24,93.35,6.65,0.00,0.00,0.00,0.00
2012-01-17,92.97,7.03,0.00,0.00,0.00,0.00
2012-01-10,93.41,6.59,0.00,0.00,0.00,0.00
2012-01-03,93.41,6.59,0.00,0.00,0.00,0.00
2011-12-27,93.74,6.26,0.00,0.00,0.00,0.00
2011-12-20,96.81,3.19,0.00,0.00,0.00,0.00
2011-12-13,96.81,3.19,0.00,0.00,0.00,0.00
2011-12-06,96.81,3.19,0.00,0.00,0.00,0.00
2011-11-29,96.81,3.19,0.00,0.00,0.00,0.00
2011-11-22,96.80,3.20,0.00,0.00,0.00,0.00
2011-11-15,96.80,3.20,0.00,0.00,0.00,0.00
2011-11-08,96.84,3.16,0.00,0.00,0.00,0.00
2011-11-01,97.44,2.56,0.00,0.00,0.00,0.00
2011-10-25,97.44,2.56,0.00,0.00,0.00,0.00
2011-10-18,99.30,0.70,0.00,0.00,0.00,0.00
2011-10-11,99.42,0.58,0.00,0.00,0.00,0.00
2011-10-04,51.23,48.77,0.00,0.00,0.00,0.00
2011-09-27,51.78,48.22,0.00,0.00,0.00,0.00
2011-09-20,100.00,0.00,0.00,0.00,0.00,0.00
2011-09-13,100.00,0.00,0.00,0.00,0.00,0.00
2011-09-06,100.00,0.00,0.00,0.00,0.00,0.00
2011-08-30,100.00,0.00,0.00,0.00,0.00,0.00
2011-08-23,100.00,0.00,0.00,0.00,0.00,0.00
2011-08-16,100.00,0.00,0.00,0.00,0.00,0.00
2011-08-09,100.00,0.00,0.00,0.00,0.00,0.00
2011-08-02,100.00,0.00,0.00,0.00,0.00,0.00
2011-07-26,100.00,0.00,0.00,0.00,0.00,0.00
2011-07-19,100.00,0.00,0.00,0.00,0.00,0.00
2011-07-12,100.00,0.00,0.00,0.00,0.00,0.00
2011-07-05,100.00,0.00,0.00,0.00,0.00,0.00
2011-06-28,100.00,0.00,0.00,0.00,0.00,0.00
2011-06-21,100.00,0.00,0.00,0.00,0.00,0.00
2011-06-14,100.00,0.00,0.00,0.00,0.00,0.00
2011-06-07,100.00,0.00,0.00,0.00,0.00,0.00
2011-05-31,100.00,0.00,0.00,0.00,0.00,0.00
2011-05-24,100.00,0.00,0.00,0.00,0.00,0.00
2011-05-17,100.00,0.00,0.00,0.00,0.00,0.00
2011-05-10,100.00,0.00,0.00,0.00,0.00,0.00
2011-05-03,100.00,0.00,0.00,0.00,0.00,0.00
2011-04-26,100.00,0.00,0.00,0.00,0.00,0.00
2011-04-19,100.00,0.00,0.00,0.00,0.00,0.00
2011-04-12,100.00,0.00,0.00,0.00,0.00,0.00
2011-04-05,100.00,0.00,0.00,0.00,0.00,0.00
2011-03-29,100.00,0.00,0.00,0.00,0.00,0.00
2011-03-22,100.00,0.00,0.00,0.00,0.00,0.00
2011-03-15,100.00,0.00,0.00,0.00,0.00,0.00
2011-03-08,100.00,0.00,0.00,0.00,0.00,0.00
2011-03-01,100.00,0.00,0.00,0.00,0.00,0.00
2011-02-22,100.00,0.00,0.00,0.00,0.00,0.00
2011-02-15,100.00,0.00,0.00,0.00,0.00,0.00
2011-02-08,100.00,0.00,0.00,0.00,0.00,0.00
2011-02-01,100.00,0.00,0.00,0.00,0.00,0.00
2011-01-25,100.00,0.00,0.00,0.00,0.00,0.00
