Week,Nothing,D0,D1,D2,D3,D4
2013-07-16,100.00,0.00,0.00,0.00,0.00,0.00
2013-07-09,100.00,0.00,0.00,0.00,0.00,0.00
2013-07-02,100.00,0.00,0.00,0.00,0.00,0.00
2013-06-25,100.00,0.00,0.00,0.00,0.00,0.00
2013-06-18,100.00,0.00,0.00,0.00,0.00,0.00
2013-06-11,100.00,0.00,0.00,0.00,0.00,0.00
2013-06-04,65.56,34.44,0.00,0.00,0.00,0.00
2013-05-28,65.56,34.44,0.00,0.00,0.00,0.00
2013-05-21,65.56,34.44,0.00,0.00,0.00,0.00
2013-05-14,65.08,34.92,0.00,0.00,0.00,0.00
2013-05-07,69.48,30.52,0.00,0.00,0.00,0.00
2013-04-30,55.59,44.41,0.00,0.00,0.00,0.00
2013-04-23,53.94,46.06,6.21,0.00,0.00,0.00
2013-04-16,53.89,46.11,6.28,0.00,0.00,0.00
2013-04-09,59.75,40.25,6.28,0.00,0.00,0.00
2013-04-02,56.71,43.29,6.67,0.00,0.00,0.00
2013-03-26,56.69,43.31,6.77,0.00,0.00,0.00
2013-03-19,67.06,32.94,6.85,0.00,0.00,0.00
2013-03-12,73.10,26.90,6.85,0.00,0.00,0.00
2013-03-05,72.99,27.01,6.85,0.00,0.00,0.00
2013-02-26,73.08,26.92,6.85,0.00,0.00,0.00
2013-02-19,57.68,42.32,13.81,0.00,0.00,0.00
2013-02-12,57.68,42.32,14.08,0.00,0.00,0.00
2013-02-05,22.65,77.35,15.41,0.00,0.00,0.00
2013-01-29,45.63,54.37,15.35,0.00,0.00,0.00
2013-01-22,45.63,54.37,15.14,0.00,0.00,0.00
2013-01-15,39.86,60.14,37.85,1.48,0.00,0.00
2013-01-08,30.99,69.01,38.61,1.45,0.00,0.00
2013-01-01,31.03,68.97,38.63,1.45,0.00,0.00
2012-12-25,19.71,80.29,61.58,5.25,0.00,0.00
2012-12-18,19.71,80.29,61.91,5.25,0.00,0.00
2012-12-11,19.71,80.29,61.91,0.01,0.00,0.00
2012-12-04,19.55,80.45,61.91,0.17,0.00,0.00
2012-11-27,19.97,80.03,50.62,0.00,0.00,0.00
2012-11-20,32.67,67.33,14.71,0.00,0.00,0.00
2012-11-13,31.40,68.60,7.06,0.00,0.00,0.00
2012-11-06,61.97,38.03,7.06,0.00,0.00,0.00
2012-10-30,73.38,26.62,0.00,0.00,0.00,0.00
2012-10-23,72.15,27.85,0.00,0.00,0.00,0.00
2012-10-16,74.31,25.69,0.00,0.00,0.00,0.00
2012-10-09,91.37,8.63,0.00,0.00,0.00,0.00
2012-10-02,91.32,8.68,0.00,0.00,0.00,0.00
2012-09-25,84.72,15.28,0.00,0.00,0.00,0.00
2012-09-18,73.19,26.81,0.00,0.00,0.00,0.00
2012-09-11,73.19,26.81,0.00,0.00,0.00,0.00
2012-09-04,89.26,10.74,0.00,0.00,0.00,0.00
2012-08-28,85.50,14.50,0.00,0.00,0.00,0.00
2012-08-21,84.49,15.51,1.06,0.00,0.00,0.00
2012-08-14,83.69,16.31,1.06,0.00,0.00,0.00
2012-08-07,81.38,18.62,1.09,0.00,0.00,0.00
2012-07-31,80.86,19.14,1.94,0.00,0.00,0.00
2012-07-24,72.38,27.62,1.94,0.00,0.00,0.00
2012-07-17,52.76,47.24,5.42,0.00,0.00,0.00
2012-07-10,52.92,47.08,10.62,0.00,0.00,0.00
2012-07-03,51.89,48.11,10.62,0.00,0.00,0.00
2012-06-26,63.76,36.24,0.00,0.00,0.00,0.00
2012-06-19,74.02,25.98,0.00,0.00,0.00,0.00
2012-06-12,74.03,25.97,0.00,0.00,0.00,0.00
2012-06-05,69.10,30.90,0.00,0.00,0.00,0.00
2012-05-29,40.27,59.73,5.17,0.00,0.00,0.00
2012-05-22,33.37,66.63,5.17,0.00,0.00,0.00
2012-05-15,29.20,70.80,22.69,0.00,0.00,0.00
2012-05-08,16.31,83.69,62.58,0.00,0.00,0.00
2012-05-01,15.52,84.48,62.58,0.00,0.00,0.00
2012-04-24,13.40,86.60,49.40,0.00,0.00,0.00
2012-04-17,13.34,86.66,49.40,0.00,0.00,0.00
2012-04-10,13.34,86.66,49.40,0.00,0.00,0.00
2012-04-03,9.24,90.76,36.61,0.00,0.00,0.00
2012-03-27,9.24,90.76,36.61,0.00,0.00,0.00
2012-03-20,7.04,92.96,66.22,0.00,0.00,0.00
2012-03-13,7.04,92.96,55.55,0.00,0.00,0.00
2012-03-06,12.96,87.04,43.78,0.00,0.00,0.00
2012-02-28,12.96,87.04,48.65,5.69,0.00,0.00
2012-02-21,19.80,80.20,48.65,5.69,0.00,0.00
2012-02-14,20.43,79.57,48.65,5.69,0.00,0.00
2012-02-07,22.29,77.71,43.65,5.69,0.00,0.00
2012-01-31,22.29,77.71,31.27,3.10,0.00,0.00
2012-01-24,35.96,64.04,28.64,1.12,0.00,0.00
2012-01-17,35.96,64.04,28.64,1.12,0.00,0.00
2012-01-10,35.96,64.04,26.85,0.00,0.00,0.00
2012-01-03,52.26,47.74,26.85,0.00,0.00,0.00
2011-12-27,53.82,46.18,13.75,0.00,0.00,0.00
2011-12-20,49.90,50.10,14.02,0.00,0.00,0.00
2011-12-13,49.90,50.10,9.20,0.00,0.00,0.00
2011-12-06,57.07,42.93,9.28,0.00,0.00,0.00
2011-11-29,70.68,29.32,9.28,0.00,0.00,0.00
2011-11-22,59.91,40.09,17.17,0.17,0.00,0.00
2011-11-15,59.91,40.09,17.17,0.24,0.00,0.00
2011-11-08,60.84,39.16,13.70,0.18,0.00,0.00
2011-11-01,58.50,41.50,17.27,0.18,0.00,0.00
2011-10-25,64.72,35.28,17.24,0.18,0.00,0.00
2011-10-18,55.37,44.63,19.52,0.22,0.00,0.00
2011-10-11,46.76,53.24,20.77,0.44,0.00,0.00
2011-10-04,56.52,43.48,14.46,0.40,0.00,0.00
2011-09-27,57.13,42.87,14.37,0.39,0.00,0.00
2011-09-20,45.07,54.93,36.93,2.16,0.00,0.00
2011-09-13,45.07,54.93,30.55,0.73,0.00,0.00
2011-09-06,50.09,49.91,25.46,0.73,0.00,0.00
2011-08-30,40.54,59.46,30.46,0.73,0.00,0.00
2011-08-23,19.06,80.94,46.41,23.15,3.85,0.00
2011-08-16,18.34,81.66,47.22,25.81,3.85,0.00
2011-08-09,14.58,85.42,53.73,29.39,10.56,0.00
2011-08-02,30.72,69.28,54.06,29.39,10.56,0.00
2011-07-26,31.19,68.81,53.69,32.52,10.56,0.00
2011-07-19,28.88,71.12,54.11,32.52,12.35,0.00
2011-07-12,30.06,69.94,49.62,28.64,10.87,0.00
2011-07-05,18.61,81.39,64.52,36.75,13.08,0.00
2011-06-28,19.29,80.71,61.27,34.15,0.00,0.00
2011-06-21,18.90,81.10,61.27,34.15,0.00,0.00
2011-06-14,18.47,81.53,52.49,24.94,0.00,0.00
2011-06-07,19.53,80.47,50.83,14.39,0.00,0.00
2011-05-31,32.20,67.80,36.70,11.76,0.00,0.00
2011-05-24,35.09,64.91,37.16,0.00,0.00,0.00
2011-05-17,34.05,65.95,37.16,0.00,0.00,0.00
2011-05-10,31.97,68.03,27.51,0.00,0.00,0.00
2011-05-03,32.01,67.99,27.51,0.00,0.00,0.00
2011-04-26,33.87,66.13,12.10,0.00,0.00,0.00
2011-04-19,33.63,66.37,12.10,0.00,0.00,0.00
2011-04-12,33.63,66.37,27.48,0.00,0.00,0.00
2011-04-05,28.62,71.38,29.16,0.00,0.00,0.00
2011-03-29,24.89,75.11,38.37,13.93,0.00,0.00
2011-03-22,23.86,76.14,39.36,13.93,0.00,0.00
2011-03-15,23.86,76.14,38.90,13.93,0.00,0.00
2011-03-08,35.79,64.21,38.90,13.93,0.00,0.00
2011-03-01,21.10,78.90,52.41,23.96,0.00,0.00
2011-02-22,21.10,78.90,52.35,23.96,0.00,0.00
2011-02-15,23.20,76.80,48.76,20.59,0.00,0.00
2011-02-08,27.33,72.67,38.03,20.59,0.00,0.00
2011-02-01,17.80,82.20,42.84,22.57,0.00,0.00
2011-01-25,17.80,82.20,42.84,0.00,0.00,0.00
2011-01-18,17.80,82.20,39.62,0.00,0.00,0.00
2011-01-11,31.27,68.73,33.54,0.00,0.00,0.00
2011-01-04,42.48,57.52,15.40,0.00,0.00,0.00
2010-12-28,42.54,57.46,14.89,0.00,0.00,0.00
2010-12-21,37.03,62.97,14.89,0.00,0.00,0.00
2010-12-14,29.80,70.20,14.89,0.00,0.00,0.00
2010-12-07,27.08,72.92,14.82,0.00,0.00,0.00
2010-11-30,21.66,78.34,16.76,0.00,0.00,0.00
2010-11-23,44.07,55.93,16.76,0.00,0.00,0.00
2010-11-16,44.42,55.58,13.45,0.00,0.00,0.00
2010-11-09,51.88,48.12,13.45,0.00,0.00,0.00
2010-11-02,51.88,48.12,13.45,0.00,0.00,0.00
