Week,Nothing,D0,D1,D2,D3,D4
2013-07-16,99.68,0.32,0.00,0.00,0.00,0.00
2013-07-09,99.68,0.32,0.00,0.00,0.00,0.00
2013-07-02,99.68,0.32,0.00,0.00,0.00,0.00
2013-06-25,99.68,0.32,0.00,0.00,0.00,0.00
2013-06-18,90.28,9.72,0.00,0.00,0.00,0.00
2013-06-11,90.28,9.72,0.00,0.00,0.00,0.00
2013-06-04,86.26,13.74,0.00,0.00,0.00,0.00
2013-05-28,83.13,16.87,0.01,0.00,0.00,0.00
2013-05-21,71.11,28.89,2.66,0.00,0.00,0.00
2013-05-14,51.21,48.79,18.67,1.76,0.00,0.00
2013-05-07,54.02,45.98,18.67,1.76,0.00,0.00
2013-04-30,54.02,45.98,18.67,1.76,0.00,0.00
2013-04-23,50.96,49.04,25.10,1.84,0.00,0.00
2013-04-16,51.11,48.89,25.02,1.73,0.00,0.00
2013-04-09,35.71,64.29,48.93,24.92,0.00,0.00
2013-04-02,35.71,64.29,49.00,25.23,0.72,0.00
2013-03-26,33.49,66.51,46.55,24.73,0.00,0.00
2013-03-19,33.49,66.51,46.26,24.40,0.00,0.00
2013-03-12,33.49,66.51,46.26,24.40,0.00,0.00
2013-03-05,33.52,66.48,46.24,23.85,0.00,0.00
2013-02-26,33.59,66.41,46.55,23.85,0.00,0.00
2013-02-19,36.13,63.87,46.60,23.85,0.00,0.00
2013-02-12,36.13,63.87,46.60,23.85,0.00,0.00
2013-02-05,34.53,65.47,48.33,30.55,0.00,0.00
2013-01-29,34.53,65.47,48.33,30.55,0.00,0.00
2013-01-22,34.53,65.47,48.33,30.55,0.00,0.00
2013-01-15,34.53,65.47,48.33,30.55,0.00,0.00
2013-01-08,34.46,65.54,48.33,30.51,0.00,0.00
2013-01-01,11.09,88.91,54.98,30.51,0.00,0.00
2012-12-25,11.09,88.91,54.98,30.51,0.00,0.00
2012-12-18,11.09,88.91,54.98,30.51,0.00,0.00
2012-12-11,11.09,88.91,54.98,30.50,0.00,0.00
2012-12-04,8.66,91.34,55.53,32.64,0.00,0.00
2012-11-27,8.66,91.34,57.62,32.64,0.00,0.00
2012-11-20,8.66,91.34,59.02,29.51,0.00,0.00
2012-11-13,8.66,91.34,59.02,29.51,0.00,0.00
2012-11-06,0.21,99.79,77.61,30.45,0.00,0.00
2012-10-30,0.00,100.00,90.10,29.57,0.00,0.00
2012-10-23,0.00,100.00,95.35,36.71,0.00,0.00
2012-10-16,0.00,100.00,100.00,50.36,4.78,0.00
2012-10-09,0.00,100.00,100.00,50.42,4.78,0.00
2012-10-02,0.00,100.00,100.00,51.00,4.78,0.00
2012-09-25,0.00,100.00,94.90,28.49,4.78,0.00
2012-09-18,0.00,100.00,87.57,28.34,0.00,0.00
2012-09-11,0.00,100.00,80.41,28.34,0.00,0.00
2012-09-04,6.80,93.20,57.65,20.25,0.00,0.00
2012-08-28,8.98,91.02,39.36,17.30,0.00,0.00
2012-08-21,27.45,72.55,35.73,16.04,0.00,0.00
2012-08-14,28.65,71.35,35.66,16.28,0.00,0.00
2012-08-07,13.23,86.77,38.20,16.28,0.00,0.00
2012-07-31,13.23,86.77,38.20,16.28,0.00,0.00
2012-07-24,12.95,87.05,30.46,16.22,0.00,0.00
2012-07-17,21.57,78.43,26.07,16.00,0.00,0.00
2012-07-10,40.44,59.56,26.38,5.18,0.00,0.00
2012-07-03,49.28,50.72,18.69,0.00,0.00,0.00
2012-06-26,63.80,36.20,10.17,0.00,0.00,0.00
