Week,Nothing,D0,D1,D2,D3,D4
2013-07-16,2.17,97.83,88.41,69.84,35.59,3.64
2013-07-09,6.58,93.42,88.41,69.06,34.71,3.64
2013-07-02,8.05,91.95,88.41,69.06,34.71,3.64
2013-06-25,8.05,91.95,88.36,67.88,34.66,3.64
2013-06-18,7.85,92.15,88.36,67.77,34.66,3.64
2013-06-11,6.41,93.59,89.66,67.92,34.66,3.64
2013-06-04,6.37,93.63,89.66,67.86,34.66,3.64
2013-05-28,2.51,97.49,93.34,76.75,39.34,4.02
2013-05-21,0.00,100.00,96.92,89.09,60.08,5.99
2013-05-14,0.00,100.00,96.92,92.83,70.00,7.72
2013-05-07,0.00,100.00,97.21,93.10,71.11,7.72
2013-04-30,0.00,100.00,100.00,96.85,77.28,8.29
2013-04-23,0.00,100.00,100.00,96.85,78.18,8.29
2013-04-16,0.00,100.00,100.00,100.00,91.43,8.29
2013-04-09,0.00,100.00,100.00,100.00,94.02,15.23
2013-04-02,0.00,100.00,100.00,100.00,94.04,75.72
2013-03-26,0.00,100.00,100.00,100.00,96.13,76.16
2013-03-19,0.00,100.00,100.00,100.00,96.13,76.41
2013-03-12,0.00,100.00,100.00,100.00,96.13,76.41
2013-03-05,0.00,100.00,100.00,100.00,96.10,76.76
2013-02-26,0.00,100.00,100.00,100.00,96.10,76.94
2013-02-19,0.00,100.00,100.00,100.00,96.23,77.47
2013-02-12,0.00,100.00,100.00,100.00,96.28,77.47
2013-02-05,0.00,100.00,100.00,100.00,96.28,77.47
2013-01-29,0.00,100.00,100.00,100.00,96.28,77.46
2013-01-22,0.00,100.00,100.00,100.00,96.28,77.46
2013-01-15,0.00,100.00,100.00,100.00,96.28,77.46
2013-01-08,0.00,100.00,100.00,100.00,96.20,77.46
2013-01-01,0.00,100.00,100.00,100.00,96.20,77.46
2012-12-25,0.00,100.00,100.00,100.00,96.20,77.46
2012-12-18,0.00,100.00,100.00,100.00,96.20,77.46
2012-12-11,0.00,100.00,100.00,100.00,96.15,77.46
2012-12-04,0.00,100.00,100.00,100.00,96.15,77.46
