Week,Nothing,D0,D1,D2,D3,D4
2013-07-16,100.00,0.00,0.00,0.00,0.00,0.00
2013-07-09,100.00,0.00,0.00,0.00,0.00,0.00
2013-07-02,100.00,0.00,0.00,0.00,0.00,0.00
2013-06-25,100.00,0.00,0.00,0.00,0.00,0.00
2013-06-18,100.00,0.00,0.00,0.00,0.00,0.00
2013-06-11,100.00,0.00,0.00,0.00,0.00,0.00
2013-06-04,96.90,3.10,0.00,0.00,0.00,0.00
2013-05-28,96.90,3.10,0.00,0.00,0.00,0.00
2013-05-21,96.90,3.10,0.00,0.00,0.00,0.00
2013-05-14,96.92,3.08,0.00,0.00,0.00,0.00
2013-05-07,40.71,59.29,0.00,0.00,0.00,0.00
2013-04-30,95.22,4.78,0.00,0.00,0.00,0.00
2013-04-23,99.14,0.86,0.00,0.00,0.00,0.00
2013-04-16,99.14,0.86,0.00,0.00,0.00,0.00
2013-04-09,81.76,18.24,0.00,0.00,0.00,0.00
2013-04-02,81.76,18.24,0.00,0.00,0.00,0.00
2013-03-26,100.00,0.00,0.00,0.00,0.00,0.00
2013-03-19,100.00,0.00,0.00,0.00,0.00,0.00
2013-03-12,100.00,0.00,0.00,0.00,0.00,0.00
2013-03-05,100.00,0.00,0.00,0.00,0.00,0.00
2013-02-26,100.00,0.00,0.00,0.00,0.00,0.00
2013-02-19,100.00,0.00,0.00,0.00,0.00,0.00
2013-02-12,100.00,0.00,0.00,0.00,0.00,0.00
2013-02-05,100.00,0.00,0.00,0.00,0.00,0.00
2013-01-29,100.00,0.00,0.00,0.00,0.00,0.00
2013-01-22,100.00,0.00,0.00,0.00,0.00,0.00
2013-01-15,100.00,0.00,0.00,0.00,0.00,0.00
2013-01-08,100.00,0.00,0.00,0.00,0.00,0.00
2013-01-01,100.00,0.00,0.00,0.00,0.00,0.00
2012-12-25,100.00,0.00,0.00,0.00,0.00,0.00
2012-12-18,100.00,0.00,0.00,0.00,0.00,0.00
2012-12-11,100.00,0.00,0.00,0.00,0.00,0.00
2012-12-04,100.00,0.00,0.00,0.00,0.00,0.00
2012-11-27,100.00,0.00,0.00,0.00,0.00,0.00
2012-11-20,100.00,0.00,0.00,0.00,0.00,0.00
2012-11-13,100.00,0.00,0.00,0.00,0.00,0.00
2012-11-06,100.00,0.00,0.00,0.00,0.00,0.00
2012-10-30,100.00,0.00,0.00,0.00,0.00,0.00
2012-10-23,99.88,0.12,0.00,0.00,0.00,0.00
2012-10-16,99.88,0.12,0.00,0.00,0.00,0.00
2012-10-09,99.88,0.12,0.00,0.00,0.00,0.00
2012-10-02,99.88,0.12,0.00,0.00,0.00,0.00
2012-09-25,99.88,0.12,0.00,0.00,0.00,0.00
2012-09-18,99.88,0.12,0.00,0.00,0.00,0.00
2012-09-11,99.88,0.12,0.00,0.00,0.00,0.00
2012-09-04,99.86,0.14,0.00,0.00,0.00,0.00
2012-08-28,91.83,8.17,0.00,0.00,0.00,0.00
2012-08-21,91.94,8.06,0.00,0.00,0.00,0.00
2012-08-14,91.99,8.01,0.00,0.00,0.00,0.00
2012-08-07,53.05,46.95,0.00,0.00,0.00,0.00
2012-07-31,53.05,46.95,0.00,0.00,0.00,0.00
2012-07-24,41.42,58.58,0.00,0.00,0.00,0.00
2012-07-17,39.56,60.44,0.00,0.00,0.00,0.00
2012-07-10,72.29,27.71,0.00,0.00,0.00,0.00
2012-07-03,88.30,11.70,0.00,0.00,0.00,0.00
2012-06-26,87.29,12.71,0.00,0.00,0.00,0.00
2012-06-19,87.29,12.71,0.00,0.00,0.00,0.00
2012-06-12,70.29,29.71,5.40,0.00,0.00,0.00
2012-06-05,70.29,29.71,5.40,0.00,0.00,0.00
2012-05-29,0.00,100.00,5.44,0.00,0.00,0.00
2012-05-22,0.00,100.00,5.44,0.00,0.00,0.00
2012-05-15,0.00,100.00,76.32,0.00,0.00,0.00
2012-05-08,0.00,100.00,100.00,0.00,0.00,0.00
2012-05-01,0.00,100.00,100.00,0.00,0.00,0.00
2012-04-24,0.00,100.00,100.00,0.00,0.00,0.00
2012-04-17,0.00,100.00,100.00,0.00,0.00,0.00
2012-04-10,0.00,100.00,100.00,0.00,0.00,0.00
2012-04-03,0.00,100.00,1.55,0.00,0.00,0.00
2012-03-27,0.00,100.00,0.00,0.00,0.00,0.00
2012-03-20,0.00,100.00,0.00,0.00,0.00,0.00
2012-03-13,98.36,1.64,0.00,0.00,0.00,0.00
2012-03-06,98.36,1.64,0.00,0.00,0.00,0.00
2012-02-28,98.36,1.64,0.00,0.00,0.00,0.00
2012-02-21,98.36,1.64,0.00,0.00,0.00,0.00
2012-02-14,98.36,1.64,0.00,0.00,0.00,0.00
2012-02-07,98.36,1.64,0.00,0.00,0.00,0.00
2012-01-31,98.36,1.64,0.00,0.00,0.00,0.00
2012-01-24,100.00,0.00,0.00,0.00,0.00,0.00
2012-01-17,100.00,0.00,0.00,0.00,0.00,0.00
2012-01-10,100.00,0.00,0.00,0.00,0.00,0.00
2012-01-03,100.00,0.00,0.00,0.00,0.00,0.00
2011-12-27,100.00,0.00,0.00,0.00,0.00,0.00
2011-12-20,100.00,0.00,0.00,0.00,0.00,0.00
2011-12-13,100.00,0.00,0.00,0.00,0.00,0.00
2011-12-06,100.00,0.00,0.00,0.00,0.00,0.00
2011-11-29,100.00,0.00,0.00,0.00,0.00,0.00
2011-11-22,100.00,0.00,0.00,0.00,0.00,0.00
2011-11-15,100.00,0.00,0.00,0.00,0.00,0.00
2011-11-08,100.00,0.00,0.00,0.00,0.00,0.00
2011-11-01,100.00,0.00,0.00,0.00,0.00,0.00
2011-10-25,100.00,0.00,0.00,0.00,0.00,0.00
2011-10-18,100.00,0.00,0.00,0.00,0.00,0.00
2011-10-11,100.00,0.00,0.00,0.00,0.00,0.00
2011-10-04,100.00,0.00,0.00,0.00,0.00,0.00
2011-09-27,100.00,0.00,0.00,0.00,0.00,0.00
2011-09-20,100.00,0.00,0.00,0.00,0.00,0.00
2011-09-13,100.00,0.00,0.00,0.00,0.00,0.00
2011-09-06,100.00,0.00,0.00,0.00,0.00,0.00
2011-08-30,100.00,0.00,0.00,0.00,0.00,0.00
2011-08-23,100.00,0.00,0.00,0.00,0.00,0.00
2011-08-16,99.44,0.56,0.00,0.00,0.00,0.00
2011-08-09,97.07,2.93,0.00,0.00,0.00,0.00
2011-08-02,97.07,2.93,0.00,0.00,0.00,0.00
2011-07-26,97.77,2.23,0.00,0.00,0.00,0.00
2011-07-19,98.76,1.24,0.00,0.00,0.00,0.00
2011-07-12,99.76,0.24,0.00,0.00,0.00,0.00
2011-07-05,70.97,29.03,0.00,0.00,0.00,0.00
2011-06-28,70.97,29.03,0.00,0.00,0.00,0.00
2011-06-21,84.12,15.88,0.00,0.00,0.00,0.00
2011-06-14,84.23,15.77,0.00,0.00,0.00,0.00
2011-06-07,84.24,15.76,0.00,0.00,0.00,0.00
2011-05-31,100.00,0.00,0.00,0.00,0.00,0.00
2011-05-24,100.00,0.00,0.00,0.00,0.00,0.00
2011-05-17,100.00,0.00,0.00,0.00,0.00,0.00
2011-05-10,100.00,0.00,0.00,0.00,0.00,0.00
2011-05-03,100.00,0.00,0.00,0.00,0.00,0.00
2011-04-26,100.00,0.00,0.00,0.00,0.00,0.00
2011-04-19,100.00,0.00,0.00,0.00,0.00,0.00
2011-04-12,100.00,0.00,0.00,0.00,0.00,0.00
2011-04-05,100.00,0.00,0.00,0.00,0.00,0.00
2011-03-29,100.00,0.00,0.00,0.00,0.00,0.00
2011-03-22,100.00,0.00,0.00,0.00,0.00,0.00
2011-03-15,100.00,0.00,0.00,0.00,0.00,0.00
2011-03-08,100.00,0.00,0.00,0.00,0.00,0.00
2011-03-01,88.86,11.14,0.00,0.00,0.00,0.00
2011-02-22,88.86,11.14,0.00,0.00,0.00,0.00
2011-02-15,88.86,11.14,0.00,0.00,0.00,0.00
2011-02-08,100.00,0.00,0.00,0.00,0.00,0.00
2011-02-01,100.00,0.00,0.00,0.00,0.00,0.00
2011-01-25,100.00,0.00,0.00,0.00,0.00,0.00
2011-01-18,100.00,0.00,0.00,0.00,0.00,0.00
2011-01-11,100.00,0.00,0.00,0.00,0.00,0.00
2011-01-04,100.00,0.00,0.00,0.00,0.00,0.00
2010-12-28,100.00,0.00,0.00,0.00,0.00,0.00
2010-12-21,100.00,0.00,0.00,0.00,0.00,0.00
2010-12-14,100.00,0.00,0.00,0.00,0.00,0.00
2010-12-07,81.74,18.26,0.00,0.00,0.00,0.00
2010-11-30,81.74,18.26,0.00,0.00,0.00,0.00
2010-11-23,81.74,18.26,0.00,0.00,0.00,0.00
2010-11-16,81.74,18.26,0.00,0.00,0.00,0.00
2010-11-09,81.74,18.26,0.00,0.00,0.00,0.00
2010-11-02,81.74,18.26,0.00,0.00,0.00,0.00
