Week,Nothing,D0,D1,D2,D3,D4
2013-07-16,0.00,100.00,100.00,98.92,86.07,37.98
2013-07-09,0.00,100.00,100.00,98.92,90.91,42.43
2013-07-02,0.00,100.00,100.00,98.92,92.58,42.77
2013-06-25,0.00,100.00,100.00,98.79,93.46,44.79
2013-06-18,0.00,100.00,100.00,98.49,90.18,44.13
2013-06-11,0.00,100.00,100.00,98.72,82.10,44.70
2013-06-04,0.00,100.00,100.00,98.69,82.10,44.77
2013-05-28,0.00,100.00,100.00,98.17,81.79,44.87
2013-05-21,0.00,100.00,100.00,98.17,81.79,44.87
2013-05-14,0.00,100.00,99.04,97.63,81.68,44.14
2013-05-07,0.00,100.00,99.04,97.75,81.82,39.89
2013-04-30,0.00,100.00,99.04,97.75,81.82,24.89
2013-04-23,0.00,100.00,98.80,97.34,77.21,4.36
2013-04-16,0.00,100.00,98.68,93.95,58.73,4.36
2013-04-09,0.00,100.00,98.68,93.30,58.73,4.36
2013-04-02,0.23,99.77,98.49,89.85,49.97,4.36
2013-03-26,0.23,99.77,98.47,89.85,49.97,4.36
2013-03-19,0.23,99.77,98.47,89.85,49.95,4.25
2013-03-12,0.21,99.79,98.49,89.85,49.93,4.25
2013-03-05,0.21,99.79,98.50,89.85,49.88,4.25
2013-02-26,0.20,99.80,98.46,89.78,49.88,4.39
2013-02-19,0.20,99.80,98.45,89.85,49.59,1.22
2013-02-12,0.20,99.80,98.45,89.85,25.36,0.97
2013-02-05,0.20,99.80,98.45,92.60,25.36,0.97
2013-01-29,0.20,99.80,98.45,92.60,25.33,0.97
2013-01-22,0.00,100.00,98.45,92.97,31.76,0.97
2013-01-15,0.00,100.00,98.45,92.97,31.76,0.97
2013-01-08,0.00,100.00,98.81,94.05,31.76,0.97
2013-01-01,0.00,100.00,98.83,94.05,31.88,0.97
2012-12-25,0.00,100.00,98.83,92.35,23.73,0.97
2012-12-18,0.00,100.00,98.83,92.35,23.73,0.97
2012-12-11,0.07,99.93,98.83,92.35,23.70,0.97
2012-12-04,0.07,99.93,98.83,92.35,23.70,0.97
2012-11-27,0.07,99.93,98.80,92.35,23.12,0.97
2012-11-20,0.07,99.93,98.80,79.05,23.02,0.97
2012-11-13,0.07,99.93,98.80,74.51,16.30,0.68
2012-11-06,0.07,99.93,98.80,74.87,16.28,0.68
2012-10-30,0.07,99.93,98.80,71.03,11.45,0.68
2012-10-23,0.07,99.93,98.80,66.52,11.45,0.68
2012-10-16,0.00,100.00,99.63,66.52,11.45,0.68
2012-10-09,0.00,100.00,99.84,62.37,12.28,0.68
2012-10-02,0.00,100.00,99.73,62.37,12.28,0.68
2012-09-25,0.00,100.00,100.00,62.56,12.25,0.66
2012-09-18,0.00,100.00,100.00,62.56,12.25,0.66
2012-09-11,0.00,100.00,100.00,62.40,12.35,0.66
2012-09-04,0.00,100.00,100.00,62.16,12.35,0.66
2012-08-28,0.00,100.00,100.00,62.16,12.86,0.67
2012-08-21,0.00,100.00,100.00,83.17,15.00,0.00
2012-08-14,0.00,100.00,100.00,85.11,25.88,0.00
2012-08-07,0.00,100.00,99.93,80.24,25.74,0.00
2012-07-31,0.00,100.00,99.93,78.00,24.89,0.00
2012-07-24,0.00,100.00,99.94,78.04,23.92,0.00
2012-07-17,0.00,100.00,99.78,79.57,25.98,0.00
2012-07-10,0.00,100.00,99.79,79.76,25.98,0.00
2012-07-03,0.00,100.00,99.79,85.70,25.98,0.00
2012-06-26,0.00,100.00,99.64,85.75,25.25,0.00
2012-06-19,0.00,100.00,99.64,81.29,25.17,0.00
2012-06-12,0.00,100.00,99.64,73.03,23.46,0.00
2012-06-05,0.00,100.00,99.64,69.34,23.46,0.00
2012-05-29,0.00,100.00,100.00,70.42,23.70,0.00
2012-05-22,0.00,100.00,99.09,71.24,23.99,0.00
2012-05-15,0.00,100.00,96.20,62.63,23.99,0.67
2012-05-08,0.00,100.00,96.20,68.67,27.26,3.49
2012-05-01,0.00,100.00,86.61,68.67,27.26,8.86
2012-04-24,0.00,100.00,86.61,68.67,27.26,8.86
2012-04-17,0.00,100.00,86.48,58.54,24.94,8.86
2012-04-10,0.00,100.00,80.46,58.60,24.94,9.03
2012-04-03,0.00,100.00,81.69,60.97,24.94,9.03
2012-03-27,10.65,89.35,81.79,60.97,24.94,9.13
2012-03-20,11.31,88.69,81.79,60.84,24.94,9.13
2012-03-13,11.31,88.69,81.79,60.06,24.94,9.13
2012-03-06,11.31,88.69,81.79,58.04,24.94,9.13
2012-02-28,11.31,88.69,81.56,58.04,24.79,8.13
2012-02-21,11.69,88.31,81.50,59.57,24.79,8.13
2012-02-14,11.69,88.31,81.50,59.57,24.79,8.13
2012-02-07,8.10,91.90,87.63,63.73,24.79,8.13
2012-01-31,8.10,91.90,87.63,63.73,24.74,8.13
2012-01-24,8.10,91.90,87.63,63.73,23.37,7.56
2012-01-17,8.63,91.37,87.20,63.73,23.37,7.56
2012-01-10,8.63,91.37,87.60,72.13,23.37,7.56
2012-01-03,8.63,91.37,87.60,72.13,23.37,7.57
2011-12-27,8.63,91.37,87.60,72.15,23.37,7.57
2011-12-20,8.63,91.37,87.60,72.15,37.97,17.79
2011-12-13,8.63,91.37,87.83,81.59,39.47,17.93
2011-12-06,8.33,91.67,87.88,81.60,58.70,18.39
2011-11-29,6.28,93.72,90.69,85.60,62.97,18.39
2011-11-22,6.28,93.72,90.69,85.60,63.04,26.11
2011-11-15,6.28,93.72,90.69,85.60,63.04,26.11
2011-11-08,6.30,93.70,90.73,85.62,63.05,26.41
2011-11-01,6.27,93.73,90.77,85.85,63.02,26.35
2011-10-25,6.24,93.76,90.71,85.90,63.02,26.35
2011-10-18,6.24,93.76,90.71,85.90,63.02,26.35
2011-10-11,2.44,97.56,93.25,87.07,63.02,26.35
2011-10-04,0.00,100.00,96.40,88.99,69.61,36.04
2011-09-27,0.00,100.00,96.40,88.99,69.61,35.13
2011-09-20,0.00,100.00,96.40,88.99,69.61,35.13
2011-09-13,0.00,100.00,100.00,89.33,72.20,38.22
2011-09-06,0.00,100.00,100.00,89.27,72.19,38.37
2011-08-30,0.00,100.00,100.00,88.63,64.88,30.90
2011-08-23,0.00,100.00,100.00,92.57,74.10,42.88
2011-08-16,0.00,100.00,100.00,92.66,77.07,42.39
2011-08-09,0.00,100.00,100.00,93.16,77.31,47.30
2011-08-02,0.00,100.00,100.00,93.24,79.05,47.47
2011-07-26,0.00,100.00,100.00,93.24,79.34,47.76
2011-07-19,0.00,100.00,100.00,93.24,79.00,48.10
2011-07-12,0.00,100.00,100.00,93.96,79.01,48.21
2011-07-05,0.00,100.00,100.00,93.96,79.34,49.09
2011-06-28,0.00,100.00,100.00,93.96,79.34,49.09
2011-06-21,0.00,100.00,93.98,87.35,71.18,49.09
2011-06-14,0.75,99.25,93.98,87.35,67.86,44.90
2011-06-07,0.75,99.25,93.98,87.35,67.91,44.53
2011-05-31,0.75,99.25,93.98,87.35,66.72,31.97
2011-05-24,0.75,99.25,93.98,87.37,64.82,31.72
2011-05-17,0.00,100.00,96.66,87.36,64.59,31.67
2011-05-10,0.00,100.00,96.59,87.36,61.02,30.14
2011-05-03,0.00,100.00,96.54,87.36,61.02,13.63
2011-04-26,0.00,100.00,96.54,74.67,55.61,0.00
2011-04-19,0.00,100.00,94.42,74.67,32.65,0.00
2011-04-12,0.00,100.00,94.42,74.31,29.47,0.00
2011-04-05,0.00,100.00,94.46,74.32,29.47,0.00
2011-03-29,4.81,95.19,91.19,74.00,10.43,0.00
2011-03-22,5.41,94.59,89.61,46.13,10.20,0.00
2011-03-15,7.79,92.21,84.02,33.82,9.25,0.00
2011-03-08,7.97,92.03,62.56,33.32,0.17,0.00
2011-03-01,7.79,92.21,63.97,33.32,0.00,0.00
2011-02-22,7.79,92.21,63.97,33.32,0.00,0.00
2011-02-15,7.79,92.21,52.89,22.86,0.00,0.00
2011-02-08,8.22,91.78,52.89,22.86,0.00,0.00
2011-02-01,5.30,94.70,50.59,22.89,0.00,0.00
2011-01-25,5.30,94.70,50.59,11.43,0.00,0.00
2011-01-18,8.55,91.45,42.63,0.00,0.00,0.00
2011-01-11,8.60,91.40,42.69,0.00,0.00,0.00
2011-01-04,6.34,93.66,40.44,0.00,0.00,0.00
2010-12-28,6.16,93.84,40.40,0.00,0.00,0.00
2010-12-21,5.18,94.82,40.35,0.00,0.00,0.00
2010-12-14,5.18,94.82,15.99,0.00,0.00,0.00
2010-12-07,41.12,58.88,8.07,0.00,0.00,0.00
2010-11-30,68.73,31.27,0.60,0.00,0.00,0.00
2010-11-23,68.73,31.27,0.00,0.00,0.00,0.00
2010-11-16,69.49,30.51,0.00,0.00,0.00,0.00
2010-11-09,76.39,23.61,0.00,0.00,0.00,0.00
2010-11-02,76.52,23.48,0.00,0.00,0.00,0.00
2010-10-26,76.52,23.48,0.00,0.00,0.00,0.00
2010-10-19,76.14,23.86,0.00,0.00,0.00,0.00
2010-10-12,76.66,23.34,0.00,0.00,0.00,0.00
2010-10-05,76.66,23.34,0.00,0.00,0.00,0.00
2010-09-28,76.66,23.34,0.00,0.00,0.00,0.00
2010-09-21,79.95,20.05,0.00,0.00,0.00,0.00
2010-09-14,79.95,20.05,0.00,0.00,0.00,0.00
2010-09-07,79.95,20.05,0.00,0.00,0.00,0.00
2010-08-31,80.04,19.96,0.00,0.00,0.00,0.00
2010-08-24,80.04,19.96,0.00,0.00,0.00,0.00
2010-08-17,80.04,19.96,0.00,0.00,0.00,0.00
2010-08-10,79.55,20.45,0.00,0.00,0.00,0.00
2010-08-03,79.55,20.45,0.00,0.00,0.00,0.00
2010-07-27,65.81,34.19,12.10,0.00,0.00,0.00
2010-07-20,47.23,52.77,23.97,0.00,0.00,0.00
2010-07-13,50.19,49.81,17.27,0.00,0.00,0.00
2010-07-06,50.19,49.81,17.27,0.00,0.00,0.00
2010-06-29,50.23,49.77,17.27,0.00,0.00,0.00
2010-06-22,49.21,50.79,17.27,0.00,0.00,0.00
2010-06-15,50.60,49.40,17.27,0.00,0.00,0.00
2010-06-08,81.91,18.09,0.02,0.00,0.00,0.00
2010-06-01,82.00,18.00,0.02,0.00,0.00,0.00
2010-05-25,82.00,18.00,0.02,0.00,0.00,0.00
2010-05-18,88.29,11.71,0.02,0.00,0.00,0.00
2010-05-11,79.29,20.71,0.02,0.00,0.00,0.00
2010-05-04,79.21,20.79,0.02,0.00,0.00,0.00
2010-04-27,79.21,20.79,0.02,0.00,0.00,0.00
2010-04-20,79.21,20.79,0.02,0.00,0.00,0.00
2010-04-13,79.00,21.00,0.02,0.00,0.00,0.00
2010-04-06,79.00,21.00,0.02,0.00,0.00,0.00
2010-03-30,79.00,21.00,0.02,0.00,0.00,0.00
2010-03-23,79.00,21.00,0.00,0.00,0.00,0.00
2010-03-16,76.26,23.74,0.00,0.00,0.00,0.00
2010-03-09,76.26,23.74,0.00,0.00,0.00,0.00
2010-03-02,57.64,42.36,0.00,0.00,0.00,0.00
2010-02-23,57.64,42.36,0.00,0.00,0.00,0.00
2010-02-16,57.34,42.66,0.00,0.00,0.00,0.00
2010-02-09,57.30,42.70,0.00,0.00,0.00,0.00
2010-02-02,48.91,51.09,1.16,0.00,0.00,0.00
2010-01-26,36.51,63.49,3.07,0.00,0.00,0.00
2010-01-19,29.55,70.45,13.14,3.05,0.00,0.00
2010-01-12,29.55,70.45,13.14,3.05,0.00,0.00
2010-01-05,56.91,43.09,10.11,2.26,0.00,0.00
2009-12-29,56.91,43.09,10.11,2.26,0.00,0.00
2009-12-22,56.91,43.09,10.11,2.26,0.00,0.00
2009-12-15,56.91,43.09,10.11,2.26,0.00,0.00
2009-12-08,56.91,43.09,10.11,3.06,0.00,0.00
2009-12-01,56.91,43.09,10.11,3.06,0.00,0.00
2009-11-24,56.86,43.14,10.05,3.11,0.00,0.00
2009-11-17,64.52,35.48,6.97,2.35,0.00,0.00
2009-11-10,70.95,29.05,5.34,2.08,0.00,0.00
2009-11-03,79.18,20.82,5.47,2.08,0.00,0.00
2009-10-27,79.18,20.82,5.47,2.08,0.00,0.00
2009-10-20,62.09,37.91,5.47,2.74,0.00,0.00
2009-10-13,70.68,29.32,5.47,2.74,0.00,0.00
2009-10-06,72.17,27.83,3.37,0.00,0.00,0.00
2009-09-29,73.10,26.90,2.98,0.00,0.00,0.00
2009-09-22,73.10,26.90,2.98,0.00,0.00,0.00
2009-09-15,55.38,44.62,11.34,0.00,0.00,0.00
2009-09-08,55.38,44.62,11.34,0.00,0.00,0.00
2009-09-01,57.08,42.92,8.89,0.00,0.00,0.00
2009-08-25,61.85,38.15,8.89,0.00,0.00,0.00
2009-08-18,63.52,36.48,8.62,0.00,0.00,0.00
2009-08-11,63.47,36.53,8.62,0.00,0.00,0.00
2009-08-04,63.64,36.36,8.62,0.00,0.00,0.00
2009-07-28,67.56,32.44,11.57,0.00,0.00,0.00
2009-07-21,56.48,43.52,20.66,3.84,0.00,0.00
2009-07-14,56.48,43.52,20.66,3.84,0.00,0.00
2009-07-07,56.49,43.51,20.66,3.84,0.00,0.00
2009-06-30,39.84,60.16,26.02,3.84,0.00,0.00
2009-06-23,38.16,61.84,36.70,9.22,0.00,0.00
2009-06-16,38.10,61.90,37.13,9.99,0.00,0.00
2009-06-09,38.34,61.66,37.13,9.99,0.00,0.00
2009-06-02,38.34,61.66,37.13,9.99,0.00,0.00
2009-05-26,38.51,61.49,37.15,10.26,0.00,0.00
2009-05-19,21.84,78.16,50.29,26.42,0.00,0.00
2009-05-12,21.91,78.09,46.00,17.23,0.00,0.00
2009-05-05,21.91,78.09,36.82,13.50,0.00,0.00
2009-04-28,21.91,78.09,36.82,13.50,0.00,0.00
2009-04-21,21.92,78.08,35.13,13.48,0.00,0.00
2009-04-14,38.31,61.69,29.37,6.56,0.00,0.00
2009-04-07,44.36,55.64,34.13,6.56,0.00,0.00
2009-03-31,44.36,55.64,37.33,0.00,0.00,0.00
2009-03-24,44.36,55.64,37.33,0.00,0.00,0.00
2009-03-17,44.45,55.55,16.48,0.00,0.00,0.00
2009-03-10,44.45,55.55,16.48,0.00,0.00,0.00
2009-03-03,44.45,55.55,7.87,0.00,0.00,0.00
2009-02-24,49.56,50.44,2.18,0.00,0.00,0.00
2009-02-17,49.56,50.44,1.53,0.00,0.00,0.00
2009-02-10,49.94,50.06,1.66,0.00,0.00,0.00
2009-02-03,64.87,35.13,1.66,0.00,0.00,0.00
2009-01-27,66.53,33.47,1.53,0.00,0.00,0.00
2009-01-20,69.80,30.20,1.52,0.00,0.00,0.00
2009-01-13,69.80,30.20,1.52,0.00,0.00,0.00
2009-01-06,76.64,23.36,1.49,0.00,0.00,0.00
2008-12-30,68.74,31.26,1.49,0.00,0.00,0.00
2008-12-23,60.56,39.44,1.49,0.00,0.00,0.00
2008-12-16,60.56,39.44,1.49,0.00,0.00,0.00
2008-12-09,60.56,39.44,1.49,0.00,0.00,0.00
2008-12-02,60.56,39.44,1.49,0.00,0.00,0.00
2008-11-25,60.56,39.44,1.49,0.00,0.00,0.00
2008-11-18,60.56,39.44,1.49,0.00,0.00,0.00
2008-11-11,80.88,19.12,1.49,0.00,0.00,0.00
2008-11-04,80.68,19.32,1.49,0.00,0.00,0.00
2008-10-28,80.65,19.35,1.49,0.00,0.00,0.00
2008-10-21,80.62,19.38,1.52,0.00,0.00,0.00
2008-10-14,80.65,19.35,1.55,0.00,0.00,0.00
