Week,Nothing,D0,D1,D2,D3,D4
2013-07-16,0.00,100.00,100.00,88.69,28.37,5.37
2013-07-09,0.00,100.00,100.00,86.38,28.37,5.37
2013-07-02,0.00,100.00,99.61,86.38,28.37,5.37
2013-06-25,0.00,100.00,99.61,86.40,28.37,0.00
2013-06-18,0.00,100.00,99.61,77.79,28.37,0.00
2013-06-11,0.00,100.00,99.61,68.76,10.78,0.00
2013-06-04,0.00,100.00,98.69,68.67,10.78,0.00
2013-05-28,0.00,100.00,93.18,63.78,12.22,0.00
2013-05-21,0.00,100.00,93.18,63.78,12.22,0.00
2013-05-14,0.00,100.00,93.18,63.78,12.22,0.00
2013-05-07,0.00,100.00,92.41,63.78,12.22,0.00
2013-04-30,0.00,100.00,92.41,61.01,12.22,0.00
2013-04-23,0.00,100.00,89.73,55.31,12.22,0.00
2013-04-16,0.00,100.00,88.87,54.55,12.22,0.00
2013-04-09,0.00,100.00,88.87,54.55,12.22,0.00
2013-04-02,0.00,100.00,88.87,55.49,12.22,0.00
2013-03-26,0.00,100.00,88.87,55.49,12.22,0.00
2013-03-19,0.00,100.00,88.87,55.51,12.22,0.00
2013-03-12,0.00,100.00,88.87,55.49,12.22,0.00
2013-03-05,0.00,100.00,88.80,55.65,12.22,0.00
2013-02-26,0.00,100.00,93.72,56.06,9.28,0.00
2013-02-19,0.11,99.89,93.71,56.06,9.28,0.00
2013-02-12,0.11,99.89,93.71,56.06,9.28,0.00
2013-02-05,0.11,99.89,93.71,56.06,9.28,0.00
2013-01-29,0.11,99.89,93.71,56.06,9.28,0.00
2013-01-22,0.11,99.89,93.71,56.06,9.28,0.00
2013-01-15,0.11,99.89,93.71,56.06,9.28,0.00
2013-01-08,0.10,99.90,93.71,55.93,9.23,0.00
2013-01-01,0.00,100.00,94.13,62.22,16.46,0.00
2012-12-25,0.00,100.00,94.13,64.00,30.19,0.00
2012-12-18,0.00,100.00,94.13,64.00,30.19,0.00
2012-12-11,0.00,100.00,94.18,64.00,30.19,0.00
2012-12-04,0.00,100.00,94.18,64.00,30.19,0.00
2012-11-27,0.00,100.00,94.26,64.26,27.37,0.00
2012-11-20,0.00,100.00,94.26,64.26,27.37,0.00
2012-11-13,0.00,100.00,94.26,55.49,27.37,0.00
2012-11-06,0.00,100.00,94.26,55.49,27.46,0.00
2012-10-30,0.00,100.00,94.26,55.49,27.46,0.00
2012-10-23,0.00,100.00,94.26,55.49,27.46,0.00
2012-10-16,0.00,100.00,94.26,55.49,27.44,0.00
2012-10-09,0.00,100.00,99.24,56.61,27.44,0.00
2012-10-02,0.00,100.00,99.24,56.61,26.78,0.00
2012-09-25,0.00,100.00,99.24,56.05,26.78,0.00
2012-09-18,0.00,100.00,99.78,56.05,26.78,0.00
2012-09-11,0.00,100.00,100.00,65.36,27.47,0.00
2012-09-04,0.00,100.00,100.00,70.49,27.47,0.00
2012-08-28,0.00,100.00,100.00,70.32,27.47,0.00
2012-08-21,0.00,100.00,100.00,71.59,19.34,0.00
2012-08-14,0.00,100.00,99.78,78.78,19.33,0.00
2012-08-07,0.00,100.00,99.79,78.78,19.33,0.00
2012-07-31,0.00,100.00,99.79,78.87,19.33,0.00
2012-07-24,0.00,100.00,99.79,78.87,19.33,0.00
2012-07-17,0.00,100.00,99.70,78.82,11.98,0.00
2012-07-10,0.00,100.00,97.59,78.82,11.98,0.00
2012-07-03,0.00,100.00,97.54,78.81,11.98,0.00
2012-06-26,0.00,100.00,97.13,78.80,11.98,0.00
2012-06-19,0.14,99.86,97.13,72.51,0.00,0.00
2012-06-12,0.14,99.86,97.07,72.51,0.00,0.00
2012-06-05,0.14,99.86,97.07,72.51,0.00,0.00
2012-05-29,0.14,99.86,97.07,72.51,0.00,0.00
2012-05-22,0.14,99.86,97.07,72.51,0.00,0.00
2012-05-15,0.14,99.86,97.07,72.50,0.00,0.00
2012-05-08,0.14,99.86,97.07,59.78,0.00,0.00
2012-05-01,0.14,99.86,96.78,52.74,0.00,0.00
2012-04-24,0.14,99.86,93.49,52.92,0.00,0.00
2012-04-17,0.13,99.87,93.35,53.01,0.00,0.00
2012-04-10,0.13,99.87,93.43,51.31,0.00,0.00
2012-04-03,0.13,99.87,93.43,51.31,0.00,0.00
2012-03-27,0.42,99.58,93.15,50.95,0.00,0.00
2012-03-20,0.43,99.57,93.15,48.27,0.00,0.00
2012-03-13,0.32,99.68,96.10,49.74,0.00,0.00
2012-03-06,0.32,99.68,87.99,47.40,0.00,0.00
2012-02-28,1.47,98.53,86.52,47.40,0.00,0.00
2012-02-21,1.47,98.53,81.80,5.65,0.00,0.00
2012-02-14,1.50,98.50,81.59,0.75,0.00,0.00
2012-02-07,1.50,98.50,81.59,0.75,0.00,0.00
2012-01-31,1.50,98.50,81.16,0.00,0.00,0.00
2012-01-24,1.44,98.56,64.59,0.00,0.00,0.00
2012-01-17,12.33,87.67,32.97,0.12,0.00,0.00
2012-01-10,12.33,87.67,32.97,0.12,0.00,0.00
2012-01-03,18.18,81.82,32.97,0.00,0.00,0.00
2011-12-27,25.74,74.26,4.90,0.00,0.00,0.00
2011-12-20,55.12,44.88,0.00,0.00,0.00,0.00
2011-12-13,57.83,42.17,0.00,0.00,0.00,0.00
2011-12-06,81.96,18.04,0.00,0.00,0.00,0.00
2011-11-29,91.98,8.02,0.00,0.00,0.00,0.00
2011-11-22,97.38,2.62,0.00,0.00,0.00,0.00
2011-11-15,97.38,2.62,0.00,0.00,0.00,0.00
2011-11-08,97.43,2.57,0.00,0.00,0.00,0.00
2011-11-01,89.62,10.38,0.00,0.00,0.00,0.00
2011-10-25,89.61,10.39,0.00,0.00,0.00,0.00
2011-10-18,89.61,10.39,0.00,0.00,0.00,0.00
2011-10-11,89.99,10.01,0.00,0.00,0.00,0.00
2011-10-04,89.99,10.01,0.00,0.00,0.00,0.00
2011-09-27,89.92,10.08,0.00,0.00,0.00,0.00
2011-09-20,89.92,10.08,0.00,0.00,0.00,0.00
2011-09-13,65.33,34.67,0.00,0.00,0.00,0.00
2011-09-06,65.39,34.61,0.00,0.00,0.00,0.00
2011-08-30,97.72,2.28,0.00,0.00,0.00,0.00
2011-08-23,97.71,2.29,0.00,0.00,0.00,0.00
2011-08-16,97.71,2.29,0.00,0.00,0.00,0.00
2011-08-09,97.87,2.13,0.00,0.00,0.00,0.00
2011-08-02,97.87,2.13,0.00,0.00,0.00,0.00
2011-07-26,97.87,2.13,0.00,0.00,0.00,0.00
2011-07-19,97.87,2.13,0.00,0.00,0.00,0.00
2011-07-12,97.87,2.13,0.00,0.00,0.00,0.00
2011-07-05,97.61,2.39,0.00,0.00,0.00,0.00
2011-06-28,97.61,2.39,0.00,0.00,0.00,0.00
2011-06-21,100.00,0.00,0.00,0.00,0.00,0.00
2011-06-14,100.00,0.00,0.00,0.00,0.00,0.00
2011-06-07,100.00,0.00,0.00,0.00,0.00,0.00
2011-05-31,100.00,0.00,0.00,0.00,0.00,0.00
2011-05-24,100.00,0.00,0.00,0.00,0.00,0.00
2011-05-17,100.00,0.00,0.00,0.00,0.00,0.00
2011-05-10,100.00,0.00,0.00,0.00,0.00,0.00
2011-05-03,100.00,0.00,0.00,0.00,0.00,0.00
2011-04-26,100.00,0.00,0.00,0.00,0.00,0.00
2011-04-19,100.00,0.00,0.00,0.00,0.00,0.00
2011-04-12,100.00,0.00,0.00,0.00,0.00,0.00
2011-04-05,100.00,0.00,0.00,0.00,0.00,0.00
2011-03-29,100.00,0.00,0.00,0.00,0.00,0.00
2011-03-22,89.83,10.17,0.00,0.00,0.00,0.00
2011-03-15,89.83,10.17,0.00,0.00,0.00,0.00
2011-03-08,89.83,10.17,0.00,0.00,0.00,0.00
2011-03-01,100.00,0.00,0.00,0.00,0.00,0.00
2011-02-22,100.00,0.00,0.00,0.00,0.00,0.00
2011-02-15,100.00,0.00,0.00,0.00,0.00,0.00
2011-02-08,100.00,0.00,0.00,0.00,0.00,0.00
2011-02-01,100.00,0.00,0.00,0.00,0.00,0.00
2011-01-25,100.00,0.00,0.00,0.00,0.00,0.00
2011-01-18,100.00,0.00,0.00,0.00,0.00,0.00
2011-01-11,100.00,0.00,0.00,0.00,0.00,0.00
2011-01-04,86.83,13.17,0.00,0.00,0.00,0.00
2010-12-28,79.80,20.20,0.00,0.00,0.00,0.00
2010-12-21,64.28,35.72,8.12,0.00,0.00,0.00
2010-12-14,50.98,49.02,8.91,0.00,0.00,0.00
2010-12-07,50.42,49.59,8.91,0.00,0.00,0.00
2010-11-30,51.64,48.36,8.91,0.00,0.00,0.00
2010-11-23,31.78,68.22,8.91,0.00,0.00,0.00
2010-11-16,24.23,75.77,8.91,0.00,0.00,0.00
2010-11-09,24.23,75.77,8.91,0.00,0.00,0.00
2010-11-02,24.23,75.77,8.91,0.00,0.00,0.00
2010-10-26,24.23,75.77,8.91,0.00,0.00,0.00
2010-10-19,10.69,89.31,11.73,0.00,0.00,0.00
2010-10-12,10.69,89.31,11.73,0.00,0.00,0.00
2010-10-05,4.61,95.39,28.80,0.00,0.00,0.00
2010-09-28,4.61,95.39,28.80,0.00,0.00,0.00
2010-09-21,18.39,81.61,28.80,0.00,0.00,0.00
2010-09-14,18.39,81.61,28.80,0.00,0.00,0.00
2010-09-07,18.39,81.61,28.80,0.00,0.00,0.00
2010-08-31,18.39,81.61,28.80,0.00,0.00,0.00
2010-08-24,18.39,81.61,28.80,0.00,0.00,0.00
2010-08-17,18.39,81.61,28.80,0.00,0.00,0.00
2010-08-10,18.39,81.61,28.80,0.00,0.00,0.00
2010-08-03,18.39,81.61,28.80,0.00,0.00,0.00
2010-07-27,20.66,79.34,28.80,0.00,0.00,0.00
2010-07-20,27.70,72.30,28.80,0.00,0.00,0.00
2010-07-13,27.88,72.12,28.80,0.00,0.00,0.00
2010-07-06,27.88,72.12,28.80,0.00,0.00,0.00
2010-06-29,27.90,72.10,28.80,0.00,0.00,0.00
2010-06-22,27.90,72.10,28.80,0.00,0.00,0.00
2010-06-15,27.90,72.10,28.80,0.00,0.00,0.00
2010-06-08,27.90,72.10,39.25,9.09,0.00,0.00
2010-06-01,26.52,73.48,39.25,9.09,0.00,0.00
2010-05-25,26.52,73.48,39.25,9.09,0.00,0.00
2010-05-18,22.68,77.32,39.25,9.09,0.00,0.00
2010-05-11,19.20,80.80,39.25,9.09,0.00,0.00
2010-05-04,19.17,80.83,39.25,9.09,0.00,0.00
2010-04-27,19.17,80.83,39.25,9.09,0.00,0.00
2010-04-20,19.17,80.83,39.25,9.09,0.00,0.00
2010-04-13,18.88,81.12,39.25,9.09,0.00,0.00
2010-04-06,10.25,89.75,40.73,13.50,0.00,0.00
2010-03-30,10.25,89.75,41.43,13.50,0.00,0.00
2010-03-23,8.70,91.30,42.03,13.50,0.00,0.00
2010-03-16,8.27,91.73,42.03,13.50,0.00,0.00
2010-03-09,9.72,90.28,50.13,16.62,0.00,0.00
2010-03-02,9.72,90.28,51.50,13.76,0.00,0.00
2010-02-23,9.72,90.28,51.50,13.76,0.00,0.00
2010-02-16,9.62,90.38,52.64,13.76,0.00,0.00
2010-02-09,9.57,90.43,52.64,13.33,0.00,0.00
2010-02-02,9.65,90.35,54.86,13.33,0.00,0.00
2010-01-26,9.62,90.38,54.86,13.33,0.00,0.00
2010-01-19,9.07,90.93,55.70,23.99,0.00,0.00
2010-01-12,9.07,90.93,55.70,23.99,0.00,0.00
2010-01-05,20.22,79.78,54.37,9.79,0.00,0.00
2009-12-29,20.22,79.78,52.38,9.86,0.00,0.00
2009-12-22,20.22,79.78,52.38,9.86,0.00,0.00
2009-12-15,20.22,79.78,52.38,9.86,0.00,0.00
2009-12-08,20.22,79.78,52.38,11.16,0.00,0.00
2009-12-01,20.22,79.78,52.38,11.16,0.00,0.00
2009-11-24,24.08,75.92,51.99,11.16,0.00,0.00
2009-11-17,24.76,75.24,47.63,6.57,0.00,0.00
2009-11-10,24.76,75.24,40.25,6.57,0.00,0.00
2009-11-03,24.76,75.24,37.61,6.57,0.00,0.00
2009-10-27,25.93,74.07,34.33,6.57,0.00,0.00
2009-10-20,26.68,73.32,33.05,6.57,0.00,0.00
2009-10-13,23.85,76.15,36.99,8.59,0.00,0.00
2009-10-06,23.85,76.15,36.10,8.59,0.00,0.00
2009-09-29,23.85,76.15,35.95,8.59,0.00,0.00
2009-09-22,23.85,76.15,35.95,8.59,0.00,0.00
2009-09-15,23.85,76.15,35.95,8.59,0.00,0.00
2009-09-08,23.85,76.15,35.95,8.59,0.00,0.00
2009-09-01,23.89,76.11,35.95,8.59,0.00,0.00
2009-08-25,23.96,76.04,35.95,8.59,0.00,0.00
2009-08-18,23.96,76.04,35.95,8.59,0.00,0.00
2009-08-11,23.96,76.04,35.95,8.59,0.00,0.00
2009-08-04,24.13,75.87,35.95,10.63,0.00,0.00
2009-07-28,24.81,75.19,35.95,10.63,0.00,0.00
2009-07-21,24.81,75.19,35.95,10.63,0.00,0.00
2009-07-14,24.81,75.19,35.95,10.63,0.00,0.00
2009-07-07,24.81,75.19,35.95,10.63,0.00,0.00
2009-06-30,24.81,75.19,34.35,5.31,0.00,0.00
2009-06-23,24.81,75.19,34.35,5.31,0.00,0.00
2009-06-16,13.38,86.62,44.42,10.31,0.00,0.00
2009-06-09,9.30,90.70,44.79,10.32,0.00,0.00
2009-06-02,8.96,91.04,45.21,9.09,0.00,0.00
2009-05-26,8.96,91.04,45.09,8.15,0.00,0.00
2009-05-19,8.96,91.04,45.09,8.15,0.00,0.00
2009-05-12,9.13,90.87,44.95,8.15,0.00,0.00
2009-05-05,2.50,97.50,44.95,8.15,0.00,0.00
2009-04-28,0.81,99.19,45.03,9.77,0.00,0.00
2009-04-21,0.81,99.19,45.92,9.77,0.00,0.00
2009-04-14,1.23,98.77,62.16,15.62,0.00,0.00
2009-04-07,1.23,98.77,62.16,15.62,0.00,0.00
2009-03-31,1.23,98.77,62.54,11.64,0.00,0.00
