Week,Nothing,D0,D1,D2,D3,D4
2013-07-16,100.00,0.00,0.00,0.00,0.00,0.00
2013-07-09,100.00,0.00,0.00,0.00,0.00,0.00
2013-07-02,100.00,0.00,0.00,0.00,0.00,0.00
2013-06-25,99.34,0.66,0.00,0.00,0.00,0.00
2013-06-18,99.34,0.66,0.00,0.00,0.00,0.00
2013-06-11,93.34,6.66,0.00,0.00,0.00,0.00
2013-06-04,84.02,15.98,0.01,0.00,0.00,0.00
2013-05-28,83.88,16.12,0.01,0.00,0.00,0.00
2013-05-21,53.06,46.94,0.68,0.00,0.00,0.00
2013-05-14,70.07,29.93,0.68,0.00,0.00,0.00
2013-05-07,74.30,25.70,3.64,0.00,0.00,0.00
2013-04-30,77.69,22.31,0.00,0.00,0.00,0.00
2013-04-23,84.49,15.51,0.00,0.00,0.00,0.00
2013-04-16,86.41,13.59,0.00,0.00,0.00,0.00
2013-04-09,72.21,27.79,0.00,0.00,0.00,0.00
2013-04-02,79.52,20.48,0.00,0.00,0.00,0.00
2013-03-26,85.27,14.73,0.00,0.00,0.00,0.00
2013-03-19,85.27,14.73,0.00,0.00,0.00,0.00
2013-03-12,85.27,14.73,0.00,0.00,0.00,0.00
2013-03-05,85.27,14.73,0.00,0.00,0.00,0.00
2013-02-26,85.27,14.73,0.00,0.00,0.00,0.00
2013-02-19,85.27,14.73,0.00,0.00,0.00,0.00
2013-02-12,85.27,14.73,0.00,0.00,0.00,0.00
2013-02-05,88.25,11.75,0.00,0.00,0.00,0.00
2013-01-29,88.25,11.75,0.00,0.00,0.00,0.00
2013-01-22,88.25,11.75,0.00,0.00,0.00,0.00
2013-01-15,88.25,11.75,0.00,0.00,0.00,0.00
2013-01-08,88.25,11.75,0.00,0.00,0.00,0.00
2013-01-01,88.25,11.75,0.00,0.00,0.00,0.00
2012-12-25,71.52,28.48,0.00,0.00,0.00,0.00
2012-12-18,67.01,32.99,0.00,0.00,0.00,0.00
2012-12-11,67.01,32.99,0.00,0.00,0.00,0.00
2012-12-04,67.01,32.99,0.00,0.00,0.00,0.00
2012-11-27,67.01,32.99,0.00,0.00,0.00,0.00
2012-11-20,67.01,32.99,0.00,0.00,0.00,0.00
2012-11-13,79.89,20.11,0.00,0.00,0.00,0.00
2012-11-06,79.89,20.11,0.00,0.00,0.00,0.00
2012-10-30,79.51,20.49,0.00,0.00,0.00,0.00
2012-10-23,67.94,32.06,9.58,0.00,0.00,0.00
2012-10-16,53.71,46.29,11.97,0.00,0.00,0.00
2012-10-09,51.78,48.22,14.58,0.00,0.00,0.00
2012-10-02,51.24,48.76,16.11,0.00,0.00,0.00
2012-09-25,50.15,49.85,18.29,0.00,0.00,0.00
2012-09-18,37.83,62.17,23.57,0.00,0.00,0.00
2012-09-11,37.92,62.08,23.57,0.00,0.00,0.00
2012-09-04,24.18,75.82,29.55,0.00,0.00,0.00
2012-08-28,18.51,81.49,31.60,0.00,0.00,0.00
2012-08-21,15.51,84.49,33.25,0.00,0.00,0.00
2012-08-14,15.06,84.94,33.25,0.00,0.00,0.00
2012-08-07,14.43,85.57,33.25,0.00,0.00,0.00
2012-07-31,14.43,85.57,33.25,0.00,0.00,0.00
2012-07-24,7.90,92.10,33.25,0.00,0.00,0.00
2012-07-17,7.91,92.09,33.25,0.00,0.00,0.00
2012-07-10,40.40,59.60,3.21,0.00,0.00,0.00
2012-07-03,81.33,18.67,0.00,0.00,0.00,0.00
2012-06-26,83.93,16.07,0.00,0.00,0.00,0.00
2012-06-19,94.99,5.01,0.00,0.00,0.00,0.00
2012-06-12,92.17,7.83,0.00,0.00,0.00,0.00
2012-06-05,92.17,7.83,0.00,0.00,0.00,0.00
2012-05-29,78.27,21.73,0.37,0.00,0.00,0.00
2012-05-22,89.95,10.05,0.60,0.00,0.00,0.00
2012-05-15,88.49,11.51,5.80,0.00,0.00,0.00
2012-05-08,63.80,36.20,9.93,1.33,0.00,0.00
2012-05-01,57.23,42.77,9.93,1.33,0.00,0.00
2012-04-24,57.23,42.77,9.93,1.33,0.00,0.00
2012-04-17,53.64,46.36,9.96,3.62,0.00,0.00
2012-04-10,53.68,46.32,9.96,3.62,0.00,0.00
2012-04-03,59.74,40.26,4.64,0.00,0.00,0.00
2012-03-27,70.94,29.06,0.02,0.00,0.00,0.00
2012-03-20,73.22,26.78,0.01,0.00,0.00,0.00
2012-03-13,84.50,15.50,0.00,0.00,0.00,0.00
2012-03-06,85.25,14.75,0.00,0.00,0.00,0.00
2012-02-28,85.25,14.75,0.00,0.00,0.00,0.00
2012-02-21,85.25,14.75,0.00,0.00,0.00,0.00
2012-02-14,85.25,14.75,0.00,0.00,0.00,0.00
2012-02-07,90.33,9.67,0.00,0.00,0.00,0.00
2012-01-31,90.33,9.67,0.00,0.00,0.00,0.00
2012-01-24,85.20,14.80,0.00,0.00,0.00,0.00
2012-01-17,85.20,14.80,0.00,0.00,0.00,0.00
2012-01-10,94.84,5.16,0.00,0.00,0.00,0.00
2012-01-03,94.84,5.16,0.00,0.00,0.00,0.00
2011-12-27,94.33,5.67,0.00,0.00,0.00,0.00
2011-12-20,94.33,5.67,0.00,0.00,0.00,0.00
2011-12-13,100.00,0.00,0.00,0.00,0.00,0.00
2011-12-06,100.00,0.00,0.00,0.00,0.00,0.00
2011-11-29,100.00,0.00,0.00,0.00,0.00,0.00
2011-11-22,100.00,0.00,0.00,0.00,0.00,0.00
2011-11-15,100.00,0.00,0.00,0.00,0.00,0.00
2011-11-08,100.00,0.00,0.00,0.00,0.00,0.00
2011-11-01,100.00,0.00,0.00,0.00,0.00,0.00
2011-10-25,100.00,0.00,0.00,0.00,0.00,0.00
2011-10-18,100.00,0.00,0.00,0.00,0.00,0.00
2011-10-11,96.20,3.80,0.00,0.00,0.00,0.00
2011-10-04,96.20,3.80,0.00,0.00,0.00,0.00
2011-09-27,91.38,8.62,0.00,0.00,0.00,0.00
2011-09-20,91.38,8.62,0.00,0.00,0.00,0.00
2011-09-13,91.38,8.62,0.00,0.00,0.00,0.00
2011-09-06,85.29,14.71,0.00,0.00,0.00,0.00
2011-08-30,80.13,19.87,0.00,0.00,0.00,0.00
2011-08-23,62.10,37.90,9.79,0.00,0.00,0.00
2011-08-16,58.04,41.96,14.13,0.00,0.00,0.00
2011-08-09,56.66,43.34,31.14,0.00,0.00,0.00
2011-08-02,56.78,43.22,31.14,0.00,0.00,0.00
2011-07-26,63.77,36.23,0.00,0.00,0.00,0.00
2011-07-19,80.32,19.68,0.00,0.00,0.00,0.00
2011-07-12,100.00,0.00,0.00,0.00,0.00,0.00
2011-07-05,100.00,0.00,0.00,0.00,0.00,0.00
2011-06-28,100.00,0.00,0.00,0.00,0.00,0.00
2011-06-21,100.00,0.00,0.00,0.00,0.00,0.00
2011-06-14,100.00,0.00,0.00,0.00,0.00,0.00
2011-06-07,100.00,0.00,0.00,0.00,0.00,0.00
2011-05-31,100.00,0.00,0.00,0.00,0.00,0.00
2011-05-24,100.00,0.00,0.00,0.00,0.00,0.00
2011-05-17,100.00,0.00,0.00,0.00,0.00,0.00
2011-05-10,100.00,0.00,0.00,0.00,0.00,0.00
2011-05-03,100.00,0.00,0.00,0.00,0.00,0.00
2011-04-26,100.00,0.00,0.00,0.00,0.00,0.00
2011-04-19,100.00,0.00,0.00,0.00,0.00,0.00
2011-04-12,100.00,0.00,0.00,0.00,0.00,0.00
2011-04-05,100.00,0.00,0.00,0.00,0.00,0.00
2011-03-29,100.00,0.00,0.00,0.00,0.00,0.00
2011-03-22,100.00,0.00,0.00,0.00,0.00,0.00
2011-03-15,100.00,0.00,0.00,0.00,0.00,0.00
2011-03-08,100.00,0.00,0.00,0.00,0.00,0.00
2011-03-01,85.66,14.34,0.00,0.00,0.00,0.00
2011-02-22,85.66,14.34,0.00,0.00,0.00,0.00
2011-02-15,85.66,14.34,0.00,0.00,0.00,0.00
2011-02-08,85.64,14.36,0.00,0.00,0.00,0.00
2011-02-01,85.64,14.36,0.00,0.00,0.00,0.00
2011-01-25,85.64,14.36,0.00,0.00,0.00,0.00
2011-01-18,100.00,0.00,0.00,0.00,0.00,0.00
2011-01-11,100.00,0.00,0.00,0.00,0.00,0.00
2011-01-04,100.00,0.00,0.00,0.00,0.00,0.00
2010-12-28,100.00,0.00,0.00,0.00,0.00,0.00
2010-12-21,100.00,0.00,0.00,0.00,0.00,0.00
2010-12-14,100.00,0.00,0.00,0.00,0.00,0.00
2010-12-07,100.00,0.00,0.00,0.00,0.00,0.00
2010-11-30,97.49,2.51,0.00,0.00,0.00,0.00
2010-11-23,97.49,2.51,0.00,0.00,0.00,0.00
2010-11-16,99.99,0.01,0.00,0.00,0.00,0.00
2010-11-09,99.99,0.01,0.00,0.00,0.00,0.00
2010-11-02,99.99,0.01,0.00,0.00,0.00,0.00
