Week,Nothing,D0,D1,D2,D3,D4
2013-07-16,24.92,75.08,59.05,36.18,30.29,4.32
2013-07-09,24.53,75.47,50.60,36.97,30.29,8.69
2013-07-02,38.46,61.54,42.17,36.89,26.45,8.69
2013-06-25,46.86,53.14,42.09,36.76,26.35,8.69
2013-06-18,46.86,53.14,42.09,36.76,26.35,8.44
2013-06-11,41.59,58.41,50.87,38.50,26.35,11.24
2013-06-04,38.02,61.98,53.45,40.99,26.36,11.34
2013-05-28,31.88,68.12,58.80,48.33,26.51,11.34
2013-05-21,25.21,74.79,61.60,50.91,26.73,10.60
2013-05-14,17.40,82.60,67.93,52.78,32.60,9.53
2013-05-07,17.32,82.68,67.93,52.91,32.85,8.63
2013-04-30,16.69,83.31,67.94,52.82,30.53,6.39
2013-04-23,10.80,89.20,72.08,53.76,30.53,5.48
2013-04-16,8.09,91.91,81.91,57.61,33.47,7.62
2013-04-09,0.70,99.30,85.01,61.00,36.44,8.56
2013-04-02,0.00,100.00,99.30,80.68,52.97,9.90
2013-03-26,0.00,100.00,100.00,83.07,53.07,9.90
2013-03-19,0.00,100.00,100.00,83.07,53.11,9.71
2013-03-12,0.00,100.00,100.00,83.16,56.70,9.71
2013-03-05,0.00,100.00,100.00,100.00,61.65,9.54
2013-02-26,0.00,100.00,100.00,100.00,61.65,11.80
2013-02-19,0.00,100.00,100.00,100.00,86.80,41.64
2013-02-12,0.00,100.00,100.00,100.00,87.00,39.58
2013-02-05,0.00,100.00,100.00,100.00,89.64,39.58
2013-01-29,0.00,100.00,100.00,100.00,92.14,39.58
2013-01-22,0.00,100.00,100.00,100.00,91.80,39.58
2013-01-15,0.00,100.00,100.00,100.00,91.80,38.86
2013-01-08,0.00,100.00,100.00,100.00,94.89,37.06
2013-01-01,0.00,100.00,100.00,100.00,94.89,37.06
2012-12-25,0.00,100.00,100.00,100.00,94.89,37.05
2012-12-18,0.00,100.00,100.00,99.92,93.27,34.56
2012-12-11,0.00,100.00,100.00,99.92,90.92,34.56
2012-12-04,0.00,100.00,100.00,99.64,90.56,34.56
2012-11-27,0.00,100.00,100.00,99.64,90.50,34.46
2012-11-20,0.00,100.00,100.00,99.56,71.86,32.28
2012-11-13,0.00,100.00,100.00,99.53,71.70,31.93
2012-11-06,0.00,100.00,100.00,99.96,75.74,31.90
2012-10-30,0.00,100.00,100.00,99.43,67.64,27.13
2012-10-23,0.00,100.00,100.00,99.43,66.76,27.13
2012-10-16,0.00,100.00,100.00,99.43,66.75,27.13
2012-10-09,0.00,100.00,100.00,99.71,80.57,30.53
2012-10-02,0.00,100.00,100.00,99.71,80.12,28.21
2012-09-25,0.00,100.00,100.00,99.98,95.33,42.09
2012-09-18,0.00,100.00,100.00,99.87,95.33,42.09
2012-09-11,0.00,100.00,100.00,99.89,94.68,39.66
2012-09-04,0.00,100.00,100.00,99.79,91.04,39.66
2012-08-28,0.00,100.00,100.00,99.62,90.00,37.03
2012-08-21,0.00,100.00,100.00,99.62,90.11,48.10
2012-08-14,0.00,100.00,100.00,100.00,94.59,38.86
2012-08-07,0.00,100.00,100.00,100.00,96.78,16.03
2012-07-31,0.00,100.00,100.00,98.99,71.60,5.20
2012-07-24,0.00,100.00,99.90,91.24,50.39,2.71
2012-07-17,0.00,100.00,99.61,64.31,15.48,0.00
2012-07-10,0.28,99.72,99.15,38.61,10.83,0.00
2012-07-03,0.35,99.65,61.12,18.25,7.58,0.00
2012-06-26,0.32,99.68,48.03,17.00,3.90,0.00
2012-06-19,32.88,67.12,33.24,15.20,3.40,0.00
2012-06-12,46.78,53.22,21.54,10.49,1.70,0.00
2012-06-05,34.37,65.63,23.32,11.20,3.26,0.00
2012-05-29,27.30,72.70,16.50,11.14,3.26,0.00
2012-05-22,31.44,68.56,13.99,9.34,3.54,0.00
2012-05-15,76.93,23.07,13.68,9.34,3.54,0.00
2012-05-08,75.76,24.24,14.15,9.78,3.27,0.00
2012-05-01,75.68,24.32,14.11,9.78,3.27,0.00
2012-04-24,74.94,25.06,15.00,9.78,3.27,0.00
2012-04-17,74.94,25.06,15.00,9.78,3.36,0.00
2012-04-10,66.53,33.47,18.37,9.72,3.35,0.01
2012-04-03,66.66,33.34,18.58,10.92,3.77,0.01
2012-03-27,66.48,33.52,23.64,11.88,4.97,1.05
2012-03-20,63.01,36.99,25.51,11.88,7.42,3.16
2012-03-13,26.53,73.47,48.23,24.10,8.79,3.16
2012-03-06,24.91,75.09,66.46,41.79,19.25,3.78
2012-02-28,24.91,75.09,66.46,41.79,19.03,3.78
2012-02-21,24.91,75.09,66.46,41.79,19.03,3.78
2012-02-14,24.91,75.09,66.53,41.79,19.03,3.78
2012-02-07,24.91,75.09,66.53,41.82,18.57,3.78
2012-01-31,24.91,75.09,66.53,49.80,26.62,3.78
2012-01-24,16.77,83.23,68.16,50.55,28.96,3.78
2012-01-17,21.00,79.00,68.16,50.55,28.96,3.78
2012-01-10,17.84,82.16,74.53,50.55,28.96,3.78
2012-01-03,14.83,85.17,78.76,50.55,27.48,3.78
2011-12-27,14.83,85.17,78.76,50.55,27.48,3.33
2011-12-20,14.83,85.17,78.78,50.55,27.48,3.33
2011-12-13,12.56,87.44,80.27,50.88,32.08,2.11
2011-12-06,12.56,87.44,80.27,50.88,32.08,2.11
2011-11-29,7.33,92.67,85.70,59.58,39.92,10.27
2011-11-22,5.10,94.90,88.74,63.43,42.33,14.43
2011-11-15,0.00,100.00,97.33,85.25,55.39,31.77
2011-11-08,0.00,100.00,100.00,95.31,66.53,32.03
2011-11-01,0.00,100.00,100.00,99.28,85.48,42.87
2011-10-25,0.00,100.00,100.00,99.89,86.26,54.84
2011-10-18,0.00,100.00,100.00,100.00,87.85,59.09
2011-10-11,0.00,100.00,100.00,100.00,80.31,59.10
2011-10-04,0.00,100.00,100.00,100.00,78.97,69.82
2011-09-27,0.00,100.00,100.00,100.00,78.97,66.42
2011-09-20,0.00,100.00,100.00,100.00,90.00,66.42
2011-09-13,0.00,100.00,100.00,100.00,92.59,68.93
2011-09-06,0.00,100.00,100.00,100.00,85.44,69.15
2011-08-30,0.00,100.00,100.00,96.64,85.37,69.15
2011-08-23,0.00,100.00,100.00,96.63,85.37,66.87
2011-08-16,0.00,100.00,100.00,96.35,85.39,66.84
2011-08-09,0.00,100.00,100.00,100.00,92.88,64.70
2011-08-02,0.00,100.00,100.00,100.00,88.10,64.30
2011-07-26,0.00,100.00,100.00,95.45,67.69,52.20
2011-07-19,0.00,100.00,99.99,76.84,58.04,42.93
2011-07-12,0.00,100.00,98.46,76.84,58.04,42.94
2011-07-05,0.00,100.00,93.77,60.75,44.18,32.78
2011-06-28,0.13,99.87,75.59,55.96,41.22,32.55
2011-06-21,22.11,77.89,63.43,48.14,41.22,32.55
2011-06-14,22.11,77.89,57.87,41.76,33.53,10.32
2011-06-07,22.11,77.89,59.26,42.32,33.11,9.90
2011-05-31,32.30,67.70,55.37,41.36,30.03,9.97
2011-05-24,32.30,67.70,55.37,41.31,29.09,10.26
2011-05-17,23.40,76.60,67.60,54.97,40.14,13.67
2011-05-10,22.11,77.89,69.69,61.23,40.19,15.14
2011-05-03,24.44,75.56,69.37,55.77,37.52,5.39
2011-04-26,16.89,83.11,72.45,60.83,38.88,1.95
2011-04-19,3.83,96.17,86.21,72.88,37.93,0.00
2011-04-12,3.83,96.17,86.21,70.21,30.83,0.00
2011-04-05,3.53,96.47,92.57,72.31,24.38,0.00
2011-03-29,2.83,97.17,92.03,71.84,15.82,0.00
2011-03-22,4.38,95.62,83.58,54.46,8.78,0.00
2011-03-15,4.40,95.60,82.84,35.79,1.86,0.00
2011-03-08,0.02,99.98,81.75,28.58,0.00,0.00
2011-03-01,0.02,99.98,58.68,18.16,0.00,0.00
2011-02-22,0.02,99.98,63.04,18.15,0.00,0.00
2011-02-15,0.08,99.92,61.06,5.55,0.00,0.00
2011-02-08,0.08,99.92,57.88,5.55,0.00,0.00
2011-02-01,0.36,99.64,57.77,5.51,0.00,0.00
2011-01-25,0.36,99.64,54.35,5.51,0.00,0.00
2011-01-18,0.36,99.64,54.35,5.51,0.00,0.00
2011-01-11,8.81,91.19,44.07,1.71,0.00,0.00
2011-01-04,8.81,91.19,12.53,1.85,0.00,0.00
2010-12-28,13.82,86.18,47.90,1.50,0.00,0.00
2010-12-21,14.73,85.27,38.09,0.85,0.00,0.00
2010-12-14,14.81,85.19,32.45,0.00,0.00,0.00
2010-12-07,18.68,81.33,4.98,0.00,0.00,0.00
2010-11-30,46.34,53.66,3.13,0.00,0.00,0.00
2010-11-23,47.48,52.52,3.13,0.00,0.00,0.00
2010-11-16,51.65,48.35,3.13,0.00,0.00,0.00
2010-11-09,50.08,49.92,5.66,0.00,0.00,0.00
2010-11-02,47.71,52.29,5.66,0.00,0.00,0.00
2010-10-26,72.01,27.99,0.00,0.00,0.00,0.00
2010-10-19,48.20,51.80,19.11,0.00,0.00,0.00
2010-10-12,60.00,40.00,4.21,0.00,0.00,0.00
2010-10-05,66.29,33.71,4.21,0.00,0.00,0.00
2010-09-28,66.28,33.72,4.21,0.00,0.00,0.00
2010-09-21,58.82,41.18,4.21,0.00,0.00,0.00
2010-09-14,50.13,49.87,7.72,0.00,0.00,0.00
2010-09-07,42.33,57.67,35.75,0.00,0.00,0.00
2010-08-31,42.29,57.71,36.20,0.00,0.00,0.00
2010-08-24,41.43,58.57,36.55,0.00,0.00,0.00
2010-08-17,49.57,50.43,4.06,0.00,0.00,0.00
2010-08-10,85.46,14.54,4.27,1.34,0.00,0.00
2010-08-03,85.46,14.54,4.27,1.34,0.00,0.00
2010-07-27,85.61,14.39,3.60,0.00,0.00,0.00
2010-07-20,84.20,15.80,6.08,2.78,0.00,0.00
2010-07-13,92.83,7.17,4.72,0.00,0.00,0.00
2010-07-06,92.83,7.17,4.72,0.00,0.00,0.00
2010-06-29,85.92,14.08,3.21,0.00,0.00,0.00
2010-06-22,82.24,17.76,3.17,0.00,0.00,0.00
2010-06-15,86.37,13.63,3.16,0.00,0.00,0.00
2010-06-08,77.80,22.20,4.36,0.00,0.00,0.00
2010-06-01,93.68,6.32,0.00,0.00,0.00,0.00
2010-05-25,100.00,0.00,0.00,0.00,0.00,0.00
2010-05-18,96.10,3.90,0.00,0.00,0.00,0.00
2010-05-11,93.00,7.00,0.00,0.00,0.00,0.00
2010-05-04,92.99,7.01,0.00,0.00,0.00,0.00
2010-04-27,92.99,7.01,0.00,0.00,0.00,0.00
2010-04-20,92.03,7.97,0.00,0.00,0.00,0.00
2010-04-13,86.10,13.90,0.00,0.00,0.00,0.00
2010-04-06,100.00,0.00,0.00,0.00,0.00,0.00
2010-03-30,100.00,0.00,0.00,0.00,0.00,0.00
2010-03-23,100.00,0.00,0.00,0.00,0.00,0.00
2010-03-16,100.00,0.00,0.00,0.00,0.00,0.00
2010-03-09,100.00,0.00,0.00,0.00,0.00,0.00
2010-03-02,100.00,0.00,0.00,0.00,0.00,0.00
2010-02-23,100.00,0.00,0.00,0.00,0.00,0.00
2010-02-16,100.00,0.00,0.00,0.00,0.00,0.00
2010-02-09,100.00,0.00,0.00,0.00,0.00,0.00
2010-02-02,100.00,0.00,0.00,0.00,0.00,0.00
2010-01-26,100.00,0.00,0.00,0.00,0.00,0.00
2010-01-19,100.00,0.00,0.00,0.00,0.00,0.00
2010-01-12,100.00,0.00,0.00,0.00,0.00,0.00
2010-01-05,100.00,0.00,0.00,0.00,0.00,0.00
2009-12-29,100.00,0.00,0.00,0.00,0.00,0.00
2009-12-22,100.00,0.00,0.00,0.00,0.00,0.00
2009-12-15,100.00,0.00,0.00,0.00,0.00,0.00
2009-12-08,100.00,0.00,0.00,0.00,0.00,0.00
2009-12-01,100.00,0.00,0.00,0.00,0.00,0.00
2009-11-24,100.00,0.00,0.00,0.00,0.00,0.00
2009-11-17,100.00,0.00,0.00,0.00,0.00,0.00
2009-11-10,100.00,0.00,0.00,0.00,0.00,0.00
2009-11-03,100.00,0.00,0.00,0.00,0.00,0.00
2009-10-27,100.00,0.00,0.00,0.00,0.00,0.00
2009-10-20,99.75,0.25,0.00,0.00,0.00,0.00
2009-10-13,99.75,0.25,0.00,0.00,0.00,0.00
2009-10-06,98.01,1.99,0.00,0.00,0.00,0.00
2009-09-29,98.01,1.99,0.00,0.00,0.00,0.00
2009-09-22,98.01,1.99,0.00,0.00,0.00,0.00
2009-09-15,98.01,1.99,0.00,0.00,0.00,0.00
2009-09-08,87.28,12.72,2.74,0.00,0.00,0.00
2009-09-01,84.46,15.54,0.00,0.00,0.00,0.00
2009-08-25,85.21,14.79,2.78,0.00,0.00,0.00
2009-08-18,80.95,19.05,6.26,2.84,0.00,0.00
2009-08-11,75.55,24.45,10.58,3.42,0.00,0.00
2009-08-04,69.38,30.62,15.43,5.47,0.00,0.00
2009-07-28,57.33,42.67,26.79,9.72,0.00,0.00
2009-07-21,31.08,68.92,24.08,0.00,0.00,0.00
2009-07-14,15.91,84.09,38.50,0.00,0.00,0.00
2009-07-07,36.54,63.46,27.07,0.00,0.00,0.00
2009-06-30,31.53,68.47,29.58,0.00,0.00,0.00
2009-06-23,48.86,51.14,23.38,0.00,0.00,0.00
2009-06-16,51.68,48.32,16.19,0.00,0.00,0.00
2009-06-09,54.31,45.69,8.15,0.00,0.00,0.00
2009-06-02,54.31,45.69,3.76,0.00,0.00,0.00
