Week,Nothing,D0,D1,D2,D3,D4
2013-07-16,13.45,86.55,51.29,33.74,0.00,0.00
2013-07-09,13.45,86.55,50.90,33.74,0.00,0.00
2013-07-02,13.41,86.59,50.90,33.74,0.00,0.00
2013-06-25,11.01,88.99,50.92,33.55,0.00,0.00
2013-06-18,7.38,92.62,52.88,33.55,0.00,0.00
2013-06-11,19.44,80.56,40.11,15.63,0.00,0.00
2013-06-04,19.46,80.54,39.37,12.42,0.00,0.00
2013-05-28,9.43,90.57,29.17,0.88,0.00,0.00
2013-05-21,8.81,91.19,29.17,0.88,0.00,0.00
2013-05-14,8.39,91.61,29.17,0.88,0.00,0.00
2013-05-07,8.39,91.61,29.17,0.88,0.00,0.00
2013-04-30,43.30,56.70,25.30,0.88,0.00,0.00
2013-04-23,44.36,55.64,25.30,0.88,0.00,0.00
2013-04-16,42.37,57.63,23.72,0.88,0.00,0.00
2013-04-09,42.37,57.63,23.72,0.88,0.00,0.00
2013-04-02,20.22,79.78,23.72,4.02,0.00,0.00
2013-03-26,43.26,56.74,23.72,4.02,0.00,0.00
2013-03-19,49.11,50.89,23.72,4.02,0.00,0.00
2013-03-12,61.48,38.52,23.72,4.02,0.00,0.00
2013-03-05,60.70,39.30,23.65,3.99,0.00,0.00
2013-02-26,60.85,39.15,23.93,3.99,0.00,0.00
2013-02-19,61.98,38.02,23.95,3.99,0.00,0.00
2013-02-12,62.31,37.69,23.95,3.99,0.00,0.00
2013-02-05,52.83,47.17,27.00,4.83,0.00,0.00
2013-01-29,52.83,47.17,27.00,4.83,0.00,0.00
2013-01-22,52.83,47.17,27.00,4.83,0.00,0.00
2013-01-15,58.07,41.93,27.00,4.83,0.00,0.00
2013-01-08,58.04,41.96,27.00,4.82,0.00,0.00
2013-01-01,58.19,41.81,26.88,4.82,0.00,0.00
2012-12-25,58.19,41.81,26.88,4.84,0.00,0.00
2012-12-18,58.19,41.81,26.88,4.84,0.00,0.00
2012-12-11,58.19,41.81,26.88,4.84,0.00,0.00
2012-12-04,58.22,41.78,26.88,4.84,0.00,0.00
2012-11-27,56.13,43.87,28.24,4.84,0.23,0.00
2012-11-20,54.44,45.56,28.25,4.84,0.23,0.00
2012-11-13,54.44,45.56,28.25,4.84,0.23,0.00
2012-11-06,54.44,45.56,28.25,4.84,0.23,0.00
2012-10-30,53.04,46.96,31.22,4.84,0.23,0.00
2012-10-23,52.95,47.05,31.22,4.84,0.23,0.00
2012-10-16,48.19,51.81,31.31,4.84,0.23,0.00
2012-10-09,22.14,77.86,31.39,4.75,0.23,0.00
2012-10-02,35.51,64.49,28.60,4.75,0.54,0.00
2012-09-25,54.04,45.96,28.60,4.20,0.54,0.00
2012-09-18,54.04,45.96,28.60,4.20,0.54,0.00
2012-09-11,55.20,44.80,28.06,4.11,0.54,0.00
2012-09-04,55.20,44.80,28.12,4.50,0.54,0.00
2012-08-28,55.10,44.90,28.29,5.00,0.54,0.00
2012-08-21,54.53,45.47,28.33,1.04,0.00,0.00
2012-08-14,61.63,38.37,26.47,1.03,0.00,0.00
2012-08-07,63.47,36.53,26.11,1.03,0.00,0.00
2012-07-31,63.47,36.53,26.11,1.07,0.00,0.00
2012-07-24,63.47,36.53,26.11,1.07,0.00,0.00
2012-07-17,63.47,36.53,26.11,1.07,0.00,0.00
2012-07-10,62.85,37.15,16.48,1.07,0.00,0.00
2012-07-03,71.94,28.06,16.38,1.07,0.00,0.00
2012-06-26,72.13,27.87,15.89,1.09,0.00,0.00
2012-06-19,72.13,27.87,15.89,1.09,0.00,0.00
2012-06-12,72.13,27.87,15.78,1.09,0.00,0.00
2012-06-05,69.10,30.90,17.43,1.09,0.00,0.00
2012-05-29,66.16,33.84,17.43,1.09,0.00,0.00
2012-05-22,66.16,33.84,17.43,1.09,0.00,0.00
2012-05-15,66.16,33.84,17.43,1.09,0.00,0.00
2012-05-08,66.16,33.84,17.43,1.09,0.00,0.00
2012-05-01,55.88,44.12,21.16,1.09,0.00,0.00
2012-04-24,55.88,44.12,21.16,1.09,0.00,0.00
2012-04-17,55.88,44.12,21.16,1.02,0.00,0.00
2012-04-10,55.78,44.22,21.52,0.82,0.00,0.00
2012-04-03,55.35,44.65,22.34,0.82,0.00,0.00
2012-03-27,54.87,45.13,22.44,0.82,0.00,0.00
2012-03-20,44.15,55.85,23.90,0.82,0.00,0.00
2012-03-13,23.78,76.22,38.10,2.14,0.00,0.00
2012-03-06,23.82,76.18,38.10,2.14,0.00,0.00
2012-02-28,23.82,76.18,31.01,2.14,0.00,0.00
2012-02-21,26.53,73.47,24.40,1.82,0.00,0.00
2012-02-14,26.53,73.47,24.01,0.12,0.00,0.00
2012-02-07,26.53,73.47,24.01,0.12,0.00,0.00
2012-01-31,26.53,73.47,24.30,0.00,0.00,0.00
2012-01-24,26.07,73.93,24.30,0.00,0.00,0.00
2012-01-17,25.92,74.08,25.30,0.00,0.00,0.00
2012-01-10,25.92,74.08,25.30,0.00,0.00,0.00
2012-01-03,25.92,74.08,22.05,0.00,0.00,0.00
2011-12-27,2.12,97.88,22.98,0.00,0.00,0.00
2011-12-20,62.60,37.40,0.00,0.00,0.00,0.00
2011-12-13,72.27,27.73,0.00,0.00,0.00,0.00
2011-12-06,76.91,23.09,0.00,0.00,0.00,0.00
2011-11-29,80.46,19.54,0.00,0.00,0.00,0.00
2011-11-22,81.38,18.62,0.00,0.00,0.00,0.00
2011-11-15,81.38,18.62,0.00,0.00,0.00,0.00
2011-11-08,81.42,18.58,0.00,0.00,0.00,0.00
2011-11-01,94.49,5.51,0.00,0.00,0.00,0.00
2011-10-25,94.49,5.51,0.00,0.00,0.00,0.00
2011-10-18,100.00,0.00,0.00,0.00,0.00,0.00
2011-10-11,100.00,0.00,0.00,0.00,0.00,0.00
2011-10-04,100.00,0.00,0.00,0.00,0.00,0.00
2011-09-27,100.00,0.00,0.00,0.00,0.00,0.00
2011-09-20,100.00,0.00,0.00,0.00,0.00,0.00
2011-09-13,100.00,0.00,0.00,0.00,0.00,0.00
2011-09-06,100.00,0.00,0.00,0.00,0.00,0.00
2011-08-30,100.00,0.00,0.00,0.00,0.00,0.00
2011-08-23,100.00,0.00,0.00,0.00,0.00,0.00
2011-08-16,100.00,0.00,0.00,0.00,0.00,0.00
2011-08-09,100.00,0.00,0.00,0.00,0.00,0.00
2011-08-02,100.00,0.00,0.00,0.00,0.00,0.00
2011-07-26,100.00,0.00,0.00,0.00,0.00,0.00
