Week,Nothing,D0,D1,D2,D3,D4
2013-07-16,100.00,0.00,0.00,0.00,0.00,0.00
2013-07-09,100.00,0.00,0.00,0.00,0.00,0.00
2013-07-02,100.00,0.00,0.00,0.00,0.00,0.00
2013-06-25,100.00,0.00,0.00,0.00,0.00,0.00
2013-06-18,100.00,0.00,0.00,0.00,0.00,0.00
2013-06-11,100.00,0.00,0.00,0.00,0.00,0.00
2013-06-04,100.00,0.00,0.00,0.00,0.00,0.00
2013-05-28,100.00,0.00,0.00,0.00,0.00,0.00
2013-05-21,100.00,0.00,0.00,0.00,0.00,0.00
2013-05-14,100.00,0.00,0.00,0.00,0.00,0.00
2013-05-07,100.00,0.00,0.00,0.00,0.00,0.00
2013-04-30,95.40,4.60,0.00,0.00,0.00,0.00
2013-04-23,51.82,48.18,0.00,0.00,0.00,0.00
2013-04-16,51.82,48.18,0.00,0.00,0.00,0.00
2013-04-09,51.82,48.18,0.00,0.00,0.00,0.00
2013-04-02,51.82,48.18,0.00,0.00,0.00,0.00
2013-03-26,51.82,48.18,0.00,0.00,0.00,0.00
2013-03-19,51.82,48.18,0.00,0.00,0.00,0.00
2013-03-12,71.01,28.99,0.00,0.00,0.00,0.00
2013-03-05,71.01,28.99,0.00,0.00,0.00,0.00
2013-02-26,93.99,6.01,0.00,0.00,0.00,0.00
2013-02-19,93.99,6.01,0.00,0.00,0.00,0.00
2013-02-12,93.99,6.01,0.00,0.00,0.00,0.00
2013-02-05,93.99,6.01,0.00,0.00,0.00,0.00
2013-01-29,93.99,6.01,0.00,0.00,0.00,0.00
2013-01-22,93.99,6.01,0.00,0.00,0.00,0.00
2013-01-15,93.99,6.01,0.00,0.00,0.00,0.00
2013-01-08,93.99,6.01,0.00,0.00,0.00,0.00
2013-01-01,93.99,6.01,0.00,0.00,0.00,0.00
2012-12-25,100.00,0.00,0.00,0.00,0.00,0.00
2012-12-18,100.00,0.00,0.00,0.00,0.00,0.00
2012-12-11,100.00,0.00,0.00,0.00,0.00,0.00
2012-12-04,100.00,0.00,0.00,0.00,0.00,0.00
2012-11-27,100.00,0.00,0.00,0.00,0.00,0.00
2012-11-20,100.00,0.00,0.00,0.00,0.00,0.00
2012-11-13,100.00,0.00,0.00,0.00,0.00,0.00
2012-11-06,100.00,0.00,0.00,0.00,0.00,0.00
2012-10-30,100.00,0.00,0.00,0.00,0.00,0.00
2012-10-23,83.67,16.33,0.00,0.00,0.00,0.00
2012-10-16,83.67,16.33,0.00,0.00,0.00,0.00
2012-10-09,70.48,29.52,0.00,0.00,0.00,0.00
2012-10-02,66.66,33.34,0.00,0.00,0.00,0.00
2012-09-25,66.66,33.34,0.00,0.00,0.00,0.00
2012-09-18,66.66,33.34,0.00,0.00,0.00,0.00
2012-09-11,66.66,33.34,0.00,0.00,0.00,0.00
2012-09-04,66.66,33.34,0.00,0.00,0.00,0.00
2012-08-28,66.66,33.34,0.00,0.00,0.00,0.00
2012-08-21,66.66,33.34,0.00,0.00,0.00,0.00
2012-08-14,66.66,33.34,0.00,0.00,0.00,0.00
2012-08-07,66.66,33.34,0.00,0.00,0.00,0.00
2012-07-31,66.66,33.34,0.00,0.00,0.00,0.00
2012-07-24,66.66,33.34,0.00,0.00,0.00,0.00
2012-07-17,59.47,40.53,0.00,0.00,0.00,0.00
2012-07-10,100.00,0.00,0.00,0.00,0.00,0.00
2012-07-03,100.00,0.00,0.00,0.00,0.00,0.00
2012-06-26,100.00,0.00,0.00,0.00,0.00,0.00
2012-06-19,100.00,0.00,0.00,0.00,0.00,0.00
2012-06-12,100.00,0.00,0.00,0.00,0.00,0.00
2012-06-05,100.00,0.00,0.00,0.00,0.00,0.00
2012-05-29,100.00,0.00,0.00,0.00,0.00,0.00
2012-05-22,100.00,0.00,0.00,0.00,0.00,0.00
2012-05-15,100.00,0.00,0.00,0.00,0.00,0.00
2012-05-08,100.00,0.00,0.00,0.00,0.00,0.00
2012-05-01,100.00,0.00,0.00,0.00,0.00,0.00
2012-04-24,100.00,0.00,0.00,0.00,0.00,0.00
2012-04-17,100.00,0.00,0.00,0.00,0.00,0.00
2012-04-10,100.00,0.00,0.00,0.00,0.00,0.00
2012-04-03,100.00,0.00,0.00,0.00,0.00,0.00
2012-03-27,100.00,0.00,0.00,0.00,0.00,0.00
2012-03-20,100.00,0.00,0.00,0.00,0.00,0.00
2012-03-13,100.00,0.00,0.00,0.00,0.00,0.00
2012-03-06,100.00,0.00,0.00,0.00,0.00,0.00
2012-02-28,100.00,0.00,0.00,0.00,0.00,0.00
2012-02-21,100.00,0.00,0.00,0.00,0.00,0.00
2012-02-14,100.00,0.00,0.00,0.00,0.00,0.00
2012-02-07,100.00,0.00,0.00,0.00,0.00,0.00
2012-01-31,100.00,0.00,0.00,0.00,0.00,0.00
2012-01-24,100.00,0.00,0.00,0.00,0.00,0.00
2012-01-17,100.00,0.00,0.00,0.00,0.00,0.00
2012-01-10,100.00,0.00,0.00,0.00,0.00,0.00
2012-01-03,100.00,0.00,0.00,0.00,0.00,0.00
2011-12-27,100.00,0.00,0.00,0.00,0.00,0.00
2011-12-20,100.00,0.00,0.00,0.00,0.00,0.00
2011-12-13,100.00,0.00,0.00,0.00,0.00,0.00
2011-12-06,100.00,0.00,0.00,0.00,0.00,0.00
2011-11-29,100.00,0.00,0.00,0.00,0.00,0.00
2011-11-22,100.00,0.00,0.00,0.00,0.00,0.00
2011-11-15,100.00,0.00,0.00,0.00,0.00,0.00
2011-11-08,100.00,0.00,0.00,0.00,0.00,0.00
2011-11-01,100.00,0.00,0.00,0.00,0.00,0.00
2011-10-25,100.00,0.00,0.00,0.00,0.00,0.00
2011-10-18,100.00,0.00,0.00,0.00,0.00,0.00
2011-10-11,100.00,0.00,0.00,0.00,0.00,0.00
2011-10-04,100.00,0.00,0.00,0.00,0.00,0.00
2011-09-27,100.00,0.00,0.00,0.00,0.00,0.00
2011-09-20,100.00,0.00,0.00,0.00,0.00,0.00
2011-09-13,100.00,0.00,0.00,0.00,0.00,0.00
2011-09-06,100.00,0.00,0.00,0.00,0.00,0.00
2011-08-30,100.00,0.00,0.00,0.00,0.00,0.00
2011-08-23,100.00,0.00,0.00,0.00,0.00,0.00
2011-08-16,100.00,0.00,0.00,0.00,0.00,0.00
2011-08-09,100.00,0.00,0.00,0.00,0.00,0.00
2011-08-02,100.00,0.00,0.00,0.00,0.00,0.00
2011-07-26,100.00,0.00,0.00,0.00,0.00,0.00
2011-07-19,100.00,0.00,0.00,0.00,0.00,0.00
2011-07-12,100.00,0.00,0.00,0.00,0.00,0.00
2011-07-05,90.96,9.04,0.00,0.00,0.00,0.00
2011-06-28,100.00,0.00,0.00,0.00,0.00,0.00
2011-06-21,100.00,0.00,0.00,0.00,0.00,0.00
2011-06-14,100.00,0.00,0.00,0.00,0.00,0.00
2011-06-07,100.00,0.00,0.00,0.00,0.00,0.00
2011-05-31,100.00,0.00,0.00,0.00,0.00,0.00
2011-05-24,100.00,0.00,0.00,0.00,0.00,0.00
2011-05-17,100.00,0.00,0.00,0.00,0.00,0.00
2011-05-10,100.00,0.00,0.00,0.00,0.00,0.00
2011-05-03,100.00,0.00,0.00,0.00,0.00,0.00
2011-04-26,71.00,29.00,0.00,0.00,0.00,0.00
2011-04-19,71.00,29.00,0.00,0.00,0.00,0.00
2011-04-12,71.00,29.00,0.00,0.00,0.00,0.00
2011-04-05,70.67,29.33,0.00,0.00,0.00,0.00
2011-03-29,70.67,29.33,0.00,0.00,0.00,0.00
2011-03-22,70.77,29.23,0.00,0.00,0.00,0.00
2011-03-15,81.17,18.83,0.00,0.00,0.00,0.00
2011-03-08,100.00,0.00,0.00,0.00,0.00,0.00
2011-03-01,100.00,0.00,0.00,0.00,0.00,0.00
2011-02-22,100.00,0.00,0.00,0.00,0.00,0.00
2011-02-15,100.00,0.00,0.00,0.00,0.00,0.00
2011-02-08,100.00,0.00,0.00,0.00,0.00,0.00
2011-02-01,100.00,0.00,0.00,0.00,0.00,0.00
2011-01-25,100.00,0.00,0.00,0.00,0.00,0.00
2011-01-18,100.00,0.00,0.00,0.00,0.00,0.00
2011-01-11,100.00,0.00,0.00,0.00,0.00,0.00
2011-01-04,100.00,0.00,0.00,0.00,0.00,0.00
2010-12-28,100.00,0.00,0.00,0.00,0.00,0.00
2010-12-21,100.00,0.00,0.00,0.00,0.00,0.00
2010-12-14,100.00,0.00,0.00,0.00,0.00,0.00
2010-12-07,100.00,0.00,0.00,0.00,0.00,0.00
2010-11-30,100.00,0.00,0.00,0.00,0.00,0.00
2010-11-23,100.00,0.00,0.00,0.00,0.00,0.00
2010-11-16,100.00,0.00,0.00,0.00,0.00,0.00
2010-11-09,100.00,0.00,0.00,0.00,0.00,0.00
2010-11-02,100.00,0.00,0.00,0.00,0.00,0.00
