Week,Nothing,D0,D1,D2,D3,D4
2013-07-16,100.00,0.00,0.00,0.00,0.00,0.00
2013-07-09,100.00,0.00,0.00,0.00,0.00,0.00
2013-07-02,100.00,0.00,0.00,0.00,0.00,0.00
2013-06-25,100.00,0.00,0.00,0.00,0.00,0.00
2013-06-18,100.00,0.00,0.00,0.00,0.00,0.00
2013-06-11,100.00,0.00,0.00,0.00,0.00,0.00
2013-06-04,100.00,0.00,0.00,0.00,0.00,0.00
2013-05-28,100.00,0.00,0.00,0.00,0.00,0.00
2013-05-21,100.00,0.00,0.00,0.00,0.00,0.00
2013-05-14,97.96,2.04,0.00,0.00,0.00,0.00
2013-05-07,97.96,2.04,0.00,0.00,0.00,0.00
2013-04-30,83.58,16.42,0.00,0.00,0.00,0.00
2013-04-23,66.40,33.60,10.62,0.00,0.00,0.00
2013-04-16,46.12,53.88,10.90,0.00,0.00,0.00
2013-04-09,39.94,60.06,25.73,0.00,0.00,0.00
2013-04-02,34.55,65.45,29.60,0.00,0.00,0.00
2013-03-26,34.55,65.45,29.60,0.00,0.00,0.00
2013-03-19,27.31,72.69,47.70,7.80,0.00,0.00
2013-03-12,27.31,72.69,47.71,8.02,0.00,0.00
2013-03-05,24.63,75.37,51.28,8.02,0.00,0.00
2013-02-26,25.48,74.52,51.28,12.31,0.00,0.00
2013-02-19,5.00,95.00,67.90,47.30,6.28,0.00
2013-02-12,5.00,95.00,89.31,58.16,13.05,0.00
2013-02-05,4.97,95.03,89.31,58.16,13.05,0.00
2013-01-29,4.76,95.24,79.69,40.57,13.08,0.00
2013-01-22,4.03,95.97,71.23,33.76,2.34,0.00
2013-01-15,0.83,99.17,71.53,33.50,2.34,0.00
2013-01-08,0.13,99.87,71.53,33.58,2.29,0.00
2013-01-01,0.14,99.86,73.49,33.54,2.29,0.00
2012-12-25,0.00,100.00,77.07,36.14,2.29,0.00
2012-12-18,0.00,100.00,77.07,36.22,2.29,0.00
2012-12-11,0.00,100.00,77.07,30.24,2.29,0.00
2012-12-04,0.00,100.00,77.07,29.00,2.25,0.00
2012-11-27,0.00,100.00,76.07,16.38,0.82,0.00
2012-11-20,0.00,100.00,49.42,6.66,0.81,0.00
2012-11-13,0.00,100.00,45.39,6.17,0.81,0.00
2012-11-06,7.73,92.27,42.91,4.16,0.52,0.00
2012-10-30,15.81,84.19,13.87,0.07,0.00,0.00
2012-10-23,19.13,80.87,9.60,0.00,0.00,0.00
2012-10-16,21.15,78.85,9.60,0.00,0.00,0.00
2012-10-09,45.26,54.74,9.37,0.00,0.00,0.00
2012-10-02,44.27,55.73,9.37,0.00,0.00,0.00
2012-09-25,38.89,61.11,11.55,0.00,0.00,0.00
2012-09-18,35.60,64.40,11.55,0.00,0.00,0.00
2012-09-11,35.60,64.40,11.55,0.00,0.00,0.00
2012-09-04,39.33,60.67,11.55,0.00,0.00,0.00
2012-08-28,31.22,68.78,28.22,2.24,0.00,0.00
2012-08-21,30.81,69.19,28.37,4.37,1.29,0.00
2012-08-14,27.75,72.25,28.40,4.37,1.29,0.00
2012-08-07,18.20,81.80,62.33,21.50,3.49,0.05
2012-07-31,18.25,81.75,64.82,22.34,3.50,0.05
2012-07-24,12.57,87.43,71.83,22.34,3.50,0.05
2012-07-17,12.57,87.43,71.77,22.34,3.50,0.05
2012-07-10,12.57,87.43,73.86,32.43,5.31,0.05
2012-07-03,12.57,87.43,65.54,32.43,5.31,0.05
2012-06-26,13.66,86.34,49.91,24.78,5.31,0.05
2012-06-19,16.47,83.53,49.85,24.76,5.08,0.00
2012-06-12,16.47,83.53,54.60,27.88,4.46,0.00
2012-06-05,15.45,84.55,62.80,38.41,9.24,0.00
2012-05-29,0.93,99.07,80.16,54.73,30.59,1.65
2012-05-22,0.93,99.07,81.55,55.41,30.59,1.65
2012-05-15,0.93,99.07,82.82,62.69,34.31,2.45
2012-05-08,0.10,99.90,98.93,75.20,35.19,2.41
2012-05-01,0.02,99.98,98.93,75.20,35.19,2.41
2012-04-24,0.09,99.91,98.32,71.04,35.26,1.39
2012-04-17,0.00,100.00,98.53,71.04,35.26,1.39
2012-04-10,0.00,100.00,98.48,57.40,26.28,1.39
2012-04-03,0.00,100.00,95.55,49.28,20.25,0.00
2012-03-27,0.00,100.00,95.55,49.28,20.25,0.00
2012-03-20,0.00,100.00,95.55,49.28,20.25,0.00
2012-03-13,0.00,100.00,89.66,49.28,20.25,0.00
2012-03-06,0.00,100.00,88.91,48.64,20.25,0.00
2012-02-28,0.00,100.00,88.91,62.34,30.88,12.13
2012-02-21,0.00,100.00,88.91,62.34,30.88,12.13
2012-02-14,2.20,97.80,88.91,62.34,30.88,12.13
2012-02-07,2.20,97.80,88.91,62.34,30.88,7.16
2012-01-31,2.20,97.80,86.71,61.52,30.56,0.00
2012-01-24,2.20,97.80,83.87,53.19,21.55,0.00
2012-01-17,1.32,98.68,85.50,55.37,27.87,0.00
2012-01-10,1.32,98.68,85.50,53.32,27.87,0.00
2012-01-03,2.37,97.63,85.50,41.61,23.30,0.00
2011-12-27,2.37,97.63,82.55,41.61,23.30,0.00
2011-12-20,2.19,97.81,82.57,41.63,23.30,0.00
2011-12-13,2.19,97.81,80.70,41.63,23.30,0.00
2011-12-06,0.96,99.04,82.19,42.77,23.30,0.00
2011-11-29,0.96,99.04,82.19,42.77,23.30,0.00
2011-11-22,0.87,99.13,92.33,47.25,29.00,0.00
2011-11-15,0.87,99.13,92.33,48.96,30.66,0.00
2011-11-08,0.89,99.11,92.24,46.08,29.56,0.00
2011-11-01,0.89,99.11,80.09,45.56,28.90,0.00
2011-10-25,1.34,98.66,79.64,45.56,28.90,0.00
2011-10-18,0.00,100.00,84.85,51.86,31.15,0.00
2011-10-11,0.00,100.00,85.51,56.14,34.01,0.00
2011-10-04,0.00,100.00,73.66,54.16,34.01,0.00
2011-09-27,0.00,100.00,74.04,52.32,29.90,0.00
2011-09-20,0.00,100.00,84.60,52.38,29.90,0.00
2011-09-13,0.00,100.00,73.25,51.79,29.89,0.00
2011-09-06,7.61,92.39,61.30,41.12,8.87,0.00
2011-08-30,6.33,93.67,62.19,41.12,4.44,0.00
2011-08-23,23.13,76.87,51.56,19.92,2.32,0.00
2011-08-16,21.59,78.41,53.22,19.93,2.32,0.00
2011-08-09,3.22,96.78,72.33,25.97,9.82,0.00
2011-08-02,3.22,96.78,80.84,31.63,15.79,0.24
2011-07-26,2.70,97.30,75.80,31.36,15.79,0.24
2011-07-19,2.70,97.30,82.36,31.34,15.97,0.24
2011-07-12,2.70,97.30,82.36,31.12,15.97,0.24
2011-07-05,1.16,98.84,93.49,33.70,17.97,0.25
2011-06-28,1.16,98.84,49.36,21.18,10.61,1.18
2011-06-21,0.00,100.00,49.36,21.18,10.61,1.18
2011-06-14,1.22,98.78,48.88,20.74,9.94,0.00
2011-06-07,1.41,98.59,30.59,10.03,1.00,0.00
2011-05-31,13.20,86.80,27.62,5.61,0.30,0.00
2011-05-24,13.20,86.80,27.21,5.55,0.00,0.00
2011-05-17,13.71,86.29,27.36,5.55,0.00,0.00
2011-05-10,15.93,84.07,30.38,0.00,0.00,0.00
2011-05-03,25.67,74.33,30.15,0.00,0.00,0.00
2011-04-26,25.67,74.33,29.40,0.00,0.00,0.00
2011-04-19,20.09,79.91,37.13,0.00,0.00,0.00
2011-04-12,20.09,79.91,37.13,0.00,0.00,0.00
2011-04-05,19.53,80.47,36.93,0.00,0.00,0.00
2011-03-29,11.89,88.11,37.28,0.26,0.00,0.00
2011-03-22,6.67,93.33,64.36,0.26,0.00,0.00
2011-03-15,19.97,80.03,52.73,0.26,0.00,0.00
2011-03-08,22.59,77.41,46.96,0.26,0.00,0.00
2011-03-01,16.51,83.49,49.55,9.02,0.00,0.00
2011-02-22,16.51,83.49,48.46,9.02,0.00,0.00
2011-02-15,16.51,83.49,48.46,9.02,0.00,0.00
2011-02-08,16.92,83.08,48.33,9.02,0.00,0.00
2011-02-01,2.31,97.69,69.22,39.18,0.00,0.00
2011-01-25,2.31,97.69,69.22,0.00,0.00,0.00
2011-01-18,2.31,97.69,69.22,0.00,0.00,0.00
2011-01-11,6.15,93.85,69.39,0.00,0.00,0.00
2011-01-04,6.15,93.85,48.65,0.00,0.00,0.00
2010-12-28,6.18,93.82,45.81,0.00,0.00,0.00
2010-12-21,3.57,96.43,45.81,0.33,0.00,0.00
2010-12-14,3.26,96.74,45.81,0.33,0.00,0.00
2010-12-07,3.26,96.74,41.48,0.00,0.00,0.00
2010-11-30,0.00,100.00,36.18,0.00,0.00,0.00
2010-11-23,40.00,60.00,36.18,0.00,0.00,0.00
2010-11-16,45.70,54.30,33.30,0.00,0.00,0.00
2010-11-09,45.70,54.30,33.30,0.00,0.00,0.00
2010-11-02,45.70,54.30,31.61,0.00,0.00,0.00
