Week,Nothing,D0,D1,D2,D3,D4
2013-07-16,41.62,58.38,32.31,7.37,0.23,0.00
2013-07-09,45.56,54.44,27.51,5.54,0.23,0.00
2013-07-02,45.65,54.35,28.61,5.54,0.23,0.00
2013-06-25,45.65,54.35,28.58,5.34,0.22,0.00
2013-06-18,32.53,67.47,41.00,8.64,0.22,0.00
2013-06-11,32.28,67.72,41.39,9.10,0.22,0.00
2013-06-04,24.44,75.56,44.13,10.27,0.22,0.00
2013-05-28,17.11,82.89,59.17,21.41,0.37,0.00
2013-05-21,5.38,94.62,73.90,39.00,5.86,0.00
2013-05-14,0.00,100.00,82.39,65.25,21.13,0.00
2013-05-07,0.47,99.53,87.74,65.25,20.87,0.00
2013-04-30,0.47,99.53,87.74,65.76,21.46,0.00
2013-04-23,0.00,100.00,87.74,66.01,29.03,0.00
2013-04-16,0.00,100.00,87.71,69.08,32.92,0.00
2013-04-09,0.00,100.00,100.00,86.29,58.90,13.80
2013-04-02,0.00,100.00,100.00,86.29,66.49,20.86
2013-03-26,0.00,100.00,100.00,86.29,65.78,20.86
2013-03-19,0.00,100.00,100.00,86.29,67.48,20.09
2013-03-12,0.00,100.00,100.00,86.29,67.48,20.09
2013-03-05,0.00,100.00,100.00,86.77,63.23,29.58
2013-02-26,0.00,100.00,100.00,86.77,63.23,29.58
2013-02-19,0.00,100.00,100.00,86.77,63.23,29.58
2013-02-12,0.00,100.00,100.00,86.77,63.21,29.58
2013-02-05,0.00,100.00,100.00,96.93,64.29,29.57
2013-01-29,0.00,100.00,100.00,96.93,62.99,30.68
2013-01-22,0.00,100.00,100.00,96.93,62.99,30.68
2013-01-15,0.00,100.00,100.00,96.93,62.99,30.68
2013-01-08,0.00,100.00,100.00,96.95,63.17,30.68
2013-01-01,0.00,100.00,100.00,96.95,63.17,30.68
2012-12-25,0.00,100.00,100.00,96.95,63.17,30.68
2012-12-18,0.00,100.00,100.00,96.95,63.17,30.68
2012-12-11,0.00,100.00,100.00,96.45,63.32,30.68
2012-12-04,0.00,100.00,100.00,96.95,63.32,30.68
2012-11-27,0.00,100.00,100.00,96.95,63.32,30.68
2012-11-20,0.00,100.00,100.00,93.09,54.85,32.57
2012-11-13,0.00,100.00,100.00,93.09,54.71,32.57
2012-11-06,0.00,100.00,100.00,87.44,56.86,32.57
2012-10-30,0.00,100.00,100.00,87.41,56.86,32.57
2012-10-23,0.00,100.00,100.00,87.41,56.86,32.57
2012-10-16,0.00,100.00,100.00,91.45,57.21,32.57
2012-10-09,0.00,100.00,100.00,91.39,52.65,32.57
2012-10-02,0.00,100.00,100.00,82.30,50.48,27.00
2012-09-25,0.00,100.00,100.00,74.69,50.53,6.72
2012-09-18,0.00,100.00,96.07,68.27,50.61,4.77
2012-09-11,0.00,100.00,91.55,68.04,50.37,4.77
2012-09-04,0.00,100.00,91.45,68.99,49.84,4.77
2012-08-28,0.00,100.00,83.30,60.98,26.44,0.00
2012-08-21,0.00,100.00,82.78,59.29,17.95,0.00
2012-08-14,0.00,100.00,82.78,59.22,18.11,0.00
2012-08-07,0.00,100.00,87.69,60.73,20.19,0.00
2012-07-31,0.00,100.00,87.69,60.91,21.28,0.00
2012-07-24,0.00,100.00,91.99,59.15,20.38,0.00
2012-07-17,0.00,100.00,90.37,44.93,0.00,0.00
2012-07-10,0.00,100.00,77.46,19.37,0.00,0.00
2012-07-03,4.02,95.98,47.25,3.19,0.00,0.00
2012-06-26,27.46,72.54,22.56,0.00,0.00,0.00
2012-06-19,34.05,65.95,16.78,0.00,0.00,0.00
2012-06-12,69.74,30.26,0.00,0.00,0.00,0.00
2012-06-05,63.13,36.87,0.41,0.00,0.00,0.00
2012-05-29,76.94,23.06,0.41,0.00,0.00,0.00
2012-05-22,76.69,23.31,2.68,0.00,0.00,0.00
2012-05-15,75.13,24.87,2.16,0.00,0.00,0.00
2012-05-08,75.13,24.87,2.16,0.00,0.00,0.00
2012-05-01,47.19,52.81,17.55,0.00,0.00,0.00
2012-04-24,39.81,60.19,34.10,0.00,0.00,0.00
2012-04-17,32.56,67.44,27.22,0.00,0.00,0.00
2012-04-10,12.33,87.67,41.14,2.45,0.00,0.00
2012-04-03,70.55,29.45,29.45,1.96,0.00,0.00
2012-03-27,23.87,76.13,29.44,1.96,0.00,0.00
2012-03-20,31.48,68.52,25.98,1.96,0.00,0.00
2012-03-13,28.62,71.38,16.21,1.96,0.00,0.00
2012-03-06,28.62,71.38,16.21,1.96,0.00,0.00
2012-02-28,21.05,78.95,24.87,5.40,0.00,0.00
2012-02-21,21.05,78.95,25.15,5.40,0.00,0.00
2012-02-14,21.32,78.68,25.15,5.40,0.00,0.00
2012-02-07,30.59,69.41,20.25,1.65,0.00,0.00
2012-01-31,35.28,64.72,17.98,2.11,0.00,0.00
2012-01-24,35.28,64.72,17.98,2.11,0.00,0.00
2012-01-17,36.21,63.79,16.46,2.11,0.00,0.00
2012-01-10,36.21,63.79,16.46,2.11,0.00,0.00
2012-01-03,48.14,51.86,13.86,2.11,0.00,0.00
2011-12-27,48.14,51.86,13.86,2.11,0.00,0.00
2011-12-20,48.14,51.86,13.86,2.11,0.00,0.00
2011-12-13,53.48,46.52,12.06,2.11,0.00,0.00
2011-12-06,53.48,46.52,12.06,2.11,0.00,0.00
2011-11-29,53.48,46.52,12.06,2.11,0.00,0.00
2011-11-22,59.47,40.53,11.46,2.11,0.00,0.00
