Week,Nothing,D0,D1,D2,D3,D4
2013-07-16,99.99,0.01,0.00,0.00,0.00,0.00
2013-07-09,100.00,0.00,0.00,0.00,0.00,0.00
2013-07-02,100.00,0.00,0.00,0.00,0.00,0.00
2013-06-25,100.00,0.00,0.00,0.00,0.00,0.00
2013-06-18,100.00,0.00,0.00,0.00,0.00,0.00
2013-06-11,100.00,0.00,0.00,0.00,0.00,0.00
2013-06-04,100.00,0.00,0.00,0.00,0.00,0.00
2013-05-28,100.00,0.00,0.00,0.00,0.00,0.00
2013-05-21,100.00,0.00,0.00,0.00,0.00,0.00
2013-05-14,100.00,0.00,0.00,0.00,0.00,0.00
2013-05-07,100.00,0.00,0.00,0.00,0.00,0.00
2013-04-30,100.00,0.00,0.00,0.00,0.00,0.00
2013-04-23,100.00,0.00,0.00,0.00,0.00,0.00
2013-04-16,100.00,0.00,0.00,0.00,0.00,0.00
2013-04-09,100.00,0.00,0.00,0.00,0.00,0.00
2013-04-02,100.00,0.00,0.00,0.00,0.00,0.00
2013-03-26,100.00,0.00,0.00,0.00,0.00,0.00
2013-03-19,100.00,0.00,0.00,0.00,0.00,0.00
2013-03-12,100.00,0.00,0.00,0.00,0.00,0.00
2013-03-05,100.00,0.00,0.00,0.00,0.00,0.00
2013-02-26,100.00,0.00,0.00,0.00,0.00,0.00
2013-02-19,100.00,0.00,0.00,0.00,0.00,0.00
2013-02-12,100.00,0.00,0.00,0.00,0.00,0.00
2013-02-05,100.00,0.00,0.00,0.00,0.00,0.00
2013-01-29,87.33,12.67,0.00,0.00,0.00,0.00
2013-01-22,87.33,12.67,0.00,0.00,0.00,0.00
2013-01-15,82.82,17.18,0.00,0.00,0.00,0.00
2013-01-08,68.30,31.70,10.25,0.00,0.00,0.00
2013-01-01,68.24,31.76,10.25,0.00,0.00,0.00
2012-12-25,56.62,43.38,10.25,0.00,0.00,0.00
2012-12-18,56.62,43.38,10.47,0.00,0.00,0.00
2012-12-11,56.62,43.38,10.47,0.00,0.00,0.00
2012-12-04,52.70,47.30,21.06,1.27,0.00,0.00
2012-11-27,57.55,42.45,20.85,1.22,0.00,0.00
2012-11-20,69.95,30.05,20.69,1.22,0.00,0.00
2012-11-13,73.08,26.92,20.69,1.22,0.00,0.00
2012-11-06,68.26,31.74,21.57,10.49,0.00,0.00
2012-10-30,69.30,30.70,21.57,9.46,0.00,0.00
2012-10-23,69.33,30.67,21.57,9.46,1.15,0.00
2012-10-16,69.33,30.67,21.57,9.46,1.17,0.00
2012-10-09,63.30,36.70,26.08,11.75,1.28,0.00
2012-10-02,60.52,39.48,29.57,12.31,1.28,0.00
2012-09-25,59.68,40.32,29.58,13.28,1.30,0.00
2012-09-18,56.20,43.80,29.58,13.28,1.30,0.00
2012-09-11,55.48,44.52,29.71,13.36,1.30,0.00
2012-09-04,53.68,46.32,31.96,20.80,12.64,1.47
2012-08-28,53.58,46.42,31.88,19.73,12.43,1.65
2012-08-21,54.27,45.73,32.01,19.58,12.57,1.50
2012-08-14,54.27,45.73,33.16,27.51,12.34,1.77
2012-08-07,53.66,46.34,33.10,27.51,12.45,1.77
2012-07-31,28.55,71.45,49.87,29.69,12.15,1.77
2012-07-24,16.91,83.09,66.37,29.69,12.15,1.77
2012-07-17,8.25,91.75,79.06,52.23,8.81,0.00
2012-07-10,5.78,94.22,83.52,57.51,8.81,0.00
2012-07-03,3.84,96.16,83.61,64.72,9.00,0.00
2012-06-26,3.97,96.03,76.55,26.02,5.68,0.00
2012-06-19,10.65,89.35,37.01,8.90,1.14,0.00
2012-06-12,38.01,61.99,19.71,1.13,0.00,0.00
2012-06-05,37.98,62.02,20.50,1.09,0.00,0.00
2012-05-29,29.34,70.66,37.41,1.73,0.00,0.00
2012-05-22,29.34,70.66,34.48,1.73,0.00,0.00
2012-05-15,36.36,63.64,20.60,0.30,0.00,0.00
2012-05-08,23.60,76.40,14.38,0.00,0.00,0.00
2012-05-01,29.57,70.43,12.50,0.00,0.00,0.00
2012-04-24,45.55,54.45,0.00,0.00,0.00,0.00
2012-04-17,56.30,43.70,0.00,0.00,0.00,0.00
2012-04-10,57.15,42.85,0.00,0.00,0.00,0.00
2012-04-03,68.45,31.55,0.00,0.00,0.00,0.00
2012-03-27,100.00,0.00,0.00,0.00,0.00,0.00
2012-03-20,100.00,0.00,0.00,0.00,0.00,0.00
2012-03-13,100.00,0.00,0.00,0.00,0.00,0.00
2012-03-06,100.00,0.00,0.00,0.00,0.00,0.00
2012-02-28,100.00,0.00,0.00,0.00,0.00,0.00
2012-02-21,100.00,0.00,0.00,0.00,0.00,0.00
2012-02-14,100.00,0.00,0.00,0.00,0.00,0.00
2012-02-07,100.00,0.00,0.00,0.00,0.00,0.00
2012-01-31,100.00,0.00,0.00,0.00,0.00,0.00
2012-01-24,100.00,0.00,0.00,0.00,0.00,0.00
2012-01-17,100.00,0.00,0.00,0.00,0.00,0.00
2012-01-10,100.00,0.00,0.00,0.00,0.00,0.00
2012-01-03,100.00,0.00,0.00,0.00,0.00,0.00
2011-12-27,100.00,0.00,0.00,0.00,0.00,0.00
2011-12-20,100.00,0.00,0.00,0.00,0.00,0.00
2011-12-13,100.00,0.00,0.00,0.00,0.00,0.00
2011-12-06,100.00,0.00,0.00,0.00,0.00,0.00
2011-11-29,99.81,0.19,0.00,0.00,0.00,0.00
2011-11-22,75.83,24.17,0.04,0.00,0.00,0.00
2011-11-15,69.84,30.16,7.22,0.00,0.00,0.00
2011-11-08,70.73,29.27,7.24,0.00,0.00,0.00
2011-11-01,70.73,29.27,7.24,0.00,0.00,0.00
2011-10-25,70.78,29.22,7.24,0.00,0.00,0.00
2011-10-18,72.60,27.40,7.24,0.00,0.00,0.00
2011-10-11,67.31,32.69,6.96,0.00,0.00,0.00
2011-10-04,72.95,27.05,6.96,0.00,0.00,0.00
2011-09-27,73.21,26.79,6.96,0.00,0.00,0.00
2011-09-20,72.86,27.14,7.48,0.00,0.00,0.00
2011-09-13,72.86,27.14,7.51,0.00,0.00,0.00
2011-09-06,73.26,26.74,6.92,0.00,0.00,0.00
2011-08-30,4.74,95.26,27.57,0.00,0.00,0.00
2011-08-23,30.66,69.34,5.01,0.00,0.00,0.00
2011-08-16,38.93,61.07,0.55,0.00,0.00,0.00
2011-08-09,71.55,28.45,0.06,0.00,0.00,0.00
2011-08-02,73.72,26.28,0.06,0.00,0.00,0.00
2011-07-26,84.26,15.74,0.06,0.00,0.00,0.00
2011-07-19,99.73,0.27,0.00,0.00,0.00,0.00
2011-07-12,99.05,0.95,0.00,0.00,0.00,0.00
2011-07-05,98.90,1.10,0.00,0.00,0.00,0.00
2011-06-28,98.90,1.10,0.00,0.00,0.00,0.00
2011-06-21,96.53,3.47,0.57,0.00,0.00,0.00
2011-06-14,91.44,8.56,0.00,0.00,0.00,0.00
2011-06-07,95.47,4.53,0.00,0.00,0.00,0.00
2011-05-31,100.00,0.00,0.00,0.00,0.00,0.00
2011-05-24,100.00,0.00,0.00,0.00,0.00,0.00
2011-05-17,100.00,0.00,0.00,0.00,0.00,0.00
2011-05-10,100.00,0.00,0.00,0.00,0.00,0.00
2011-05-03,100.00,0.00,0.00,0.00,0.00,0.00
2011-04-26,98.16,1.84,0.00,0.00,0.00,0.00
2011-04-19,89.17,10.83,0.15,0.00,0.00,0.00
2011-04-12,89.17,10.83,0.15,0.00,0.00,0.00
2011-04-05,89.17,10.83,0.20,0.00,0.00,0.00
2011-03-29,86.75,13.25,0.03,0.00,0.00,0.00
2011-03-22,78.21,21.79,0.78,0.00,0.00,0.00
2011-03-15,78.21,21.79,0.78,0.00,0.00,0.00
2011-03-08,53.94,46.06,20.43,0.00,0.00,0.00
2011-03-01,27.60,72.40,30.87,0.00,0.00,0.00
2011-02-22,18.31,81.69,58.03,12.29,0.00,0.00
2011-02-15,18.31,81.69,33.05,12.29,0.00,0.00
2011-02-08,31.07,68.93,30.37,12.29,0.00,0.00
2011-02-01,28.39,71.61,41.08,14.26,4.06,0.00
2011-01-25,28.39,71.61,41.08,14.26,4.06,0.00
2011-01-18,28.39,71.61,41.08,14.26,4.06,0.00
