Week,Nothing,D0,D1,D2,D3,D4
2013-07-16,0.30,99.70,94.38,70.99,33.43,12.07
2013-07-09,0.58,99.42,91.80,75.22,34.70,12.20
2013-07-02,1.23,98.77,87.13,68.67,32.63,12.20
2013-06-25,4.99,95.01,84.00,60.59,30.10,11.27
2013-06-18,4.76,95.24,84.82,58.48,29.43,11.83
2013-06-11,5.44,94.56,84.18,59.45,32.36,14.85
2013-06-04,4.66,95.34,87.38,59.59,33.12,16.47
2013-05-28,3.49,96.51,88.27,60.34,32.45,16.02
2013-05-21,2.84,97.16,89.70,67.10,35.38,18.02
2013-05-14,2.84,97.16,90.55,68.71,36.09,12.05
2013-05-07,1.45,98.55,92.13,72.82,40.58,12.88
2013-04-30,1.45,98.55,91.99,73.73,36.42,10.09
2013-04-23,1.45,98.55,92.21,70.03,38.05,11.93
2013-04-16,1.29,98.71,91.31,72.30,34.82,12.19
2013-04-09,0.44,99.56,89.44,69.35,29.91,11.56
2013-04-02,1.40,98.60,88.21,65.44,32.95,11.81
2013-03-26,1.40,98.60,87.26,62.02,29.74,10.54
2013-03-19,3.64,96.36,85.02,59.53,28.30,9.88
2013-03-12,11.53,88.47,76.80,54.04,23.41,8.57
2013-03-05,11.15,88.85,76.29,55.62,23.86,7.41
2013-02-26,11.29,88.71,75.11,49.85,22.02,5.17
2013-02-19,12.01,87.99,73.58,49.06,25.80,7.89
2013-02-12,10.84,89.16,75.62,50.05,24.83,7.79
2013-02-05,9.52,90.48,77.26,52.64,23.72,7.79
2013-01-29,10.38,89.62,76.15,51.20,22.12,6.57
2013-01-22,9.48,90.52,74.01,50.49,21.22,6.72
2013-01-15,9.48,90.52,74.01,50.49,20.84,6.72
2013-01-08,4.29,95.71,83.78,65.85,34.79,11.41
2013-01-01,3.04,96.96,87.00,65.39,35.03,11.96
2012-12-25,4.54,95.46,88.31,64.13,34.48,10.32
2012-12-18,4.54,95.46,88.31,64.13,33.95,9.89
2012-12-11,5.91,94.09,87.72,65.04,32.22,8.45
2012-12-04,6.16,93.84,82.20,59.27,27.40,8.45
2012-11-27,6.16,93.84,80.51,54.47,24.50,7.63
2012-11-20,8.65,91.35,75.84,49.09,23.06,7.66
2012-11-13,10.54,89.46,69.59,36.99,18.92,6.12
2012-11-06,15.44,84.56,59.90,33.55,16.98,4.68
2012-10-30,15.36,84.64,57.86,31.61,16.23,3.67
2012-10-23,14.09,85.91,61.57,31.27,15.70,3.20
2012-10-16,17.08,82.92,62.47,31.26,15.80,3.20
