Week,Nothing,D0,D1,D2,D3,D4
2014-03-25,56.07,43.93,31.99,19.29,8.10,1.75
2014-03-18,56.48,43.52,31.34,18.60,7.07,1.37
2014-03-11,53.97,46.03,29.95,18.14,6.43,1.39
2014-03-04,53.23,46.77,30.05,18.01,6.18,1.32
2014-02-25,52.69,47.31,30.24,18.00,6.39,1.47
2014-02-18,53.45,46.55,29.96,17.77,6.06,0.95
2014-02-11,51.56,48.44,31.52,17.89,5.73,0.74
2014-02-04,50.65,49.35,31.34,17.41,6.16,0.74
2014-01-28,50.89,49.11,30.63,17.38,6.05,0.70
2014-01-21,53.30,46.70,28.91,15.94,5.36,0.31
2014-01-14,53.97,46.03,28.87,15.94,5.36,0.31
2014-01-07,52.89,47.11,27.89,14.34,3.46,0.31
2013-12-31,54.20,45.80,26.01,13.96,3.31,0.31
2013-12-24,53.03,46.97,26.15,13.94,3.34,0.31
2013-12-17,50.16,49.84,26.48,13.93,3.26,0.34
2013-12-10,51.08,48.92,25.47,13.71,3.19,0.32
2013-12-03,51.11,48.89,25.72,13.82,3.20,0.32
2013-11-26,49.23,50.77,26.47,13.81,3.18,0.32
2013-11-19,47.08,52.92,28.04,14.50,3.27,0.31
2013-11-12,47.89,52.11,29.32,14.45,2.49,0.28
2013-11-05,48.65,51.35,29.72,14.61,2.45,0.28
2013-10-29,48.03,51.97,31.77,15.13,2.37,0.25
2013-10-22,48.79,51.21,32.02,15.17,2.36,0.25
2013-10-15,48.95,51.05,33.45,15.18,2.31,0.24
2013-10-08,46.44,53.56,35.02,16.41,2.44,0.24
2013-10-01,44.21,55.79,37.21,17.33,2.56,0.24
2013-09-24,42.64,57.36,40.87,21.72,3.62,0.26
2013-09-17,40.86,59.14,43.15,24.25,5.73,0.36
2013-09-10,38.63,61.37,45.84,28.63,8.48,1.04
2013-09-03,40.33,59.67,45.30,27.89,8.24,1.05
2013-08-27,39.11,60.89,46.35,29.03,8.81,1.10
2013-08-20,41.09,58.91,42.65,28.07,8.81,1.10
2013-08-13,43.32,56.68,41.56,26.70,9.84,1.70
2013-08-06,43.22,56.78,41.37,27.32,10.01,2.32
2013-07-30,43.36,56.64,41.50,27.42,9.86,2.65
2013-07-23,42.47,57.53,42.25,28.20,10.48,3.20
2013-07-16,46.45,53.55,41.02,28.66,11.15,3.63
2013-07-09,48.14,51.86,39.95,28.10,11.57,3.90
2013-07-02,49.40,50.60,39.29,27.54,11.34,3.91
2013-06-25,49.41,50.59,38.12,26.78,10.98,3.65
2013-06-18,51.88,48.12,37.76,25.11,10.54,3.66
2013-06-11,52.05,47.95,37.22,23.77,9.49,3.91
2013-06-04,50.45,49.55,37.20,23.82,9.56,4.00
2013-05-28,48.81,51.19,37.40,24.73,9.82,3.96
2013-05-21,45.42,54.58,38.85,26.06,10.56,4.13
2013-05-14,44.76,55.24,40.18,27.02,11.40,3.68
2013-05-07,44.17,55.83,40.51,27.51,11.81,3.66
2013-04-30,45.16,54.84,39.54,27.38,11.67,2.84
2013-04-23,43.26,56.74,39.91,26.56,12.31,2.17
2013-04-16,42.03,57.97,40.32,26.85,12.18,2.15
2013-04-09,37.06,62.94,42.83,29.38,13.97,2.82
2013-04-02,35.37,64.63,43.74,29.53,14.32,4.35
2013-03-26,36.76,63.24,43.51,29.45,14.09,4.26
2013-03-19,36.60,63.40,43.70,29.66,14.08,4.51
2013-03-12,37.93,62.07,43.30,29.24,13.80,4.41
2013-03-05,36.45,63.55,44.93,30.49,14.24,4.55
2013-02-26,35.09,64.91,45.63,30.42,14.17,4.55
2013-02-19,34.70,65.30,47.00,31.30,15.60,5.57
2013-02-12,35.50,64.50,46.93,31.58,14.81,5.52
2013-02-05,33.76,66.24,47.86,33.57,15.97,5.72
2013-01-29,31.13,68.87,48.58,33.98,16.19,5.32
2013-01-22,31.09,68.91,48.55,33.53,16.15,5.31
2013-01-15,30.78,69.22,49.58,33.72,16.22,5.27
2013-01-08,29.45,70.55,50.74,34.89,17.40,5.60
2013-01-01,28.57,71.43,51.44,35.18,17.82,5.64
2012-12-25,27.68,72.32,51.76,35.51,18.06,5.62
2012-12-18,30.66,69.34,51.74,35.56,18.12,5.54
2012-12-11,30.57,69.43,51.82,35.62,17.62,5.43
2012-12-04,28.65,71.35,52.24,35.32,17.25,5.43
2012-11-27,28.81,71.19,52.44,34.76,16.83,5.34
2012-11-20,33.44,66.56,50.30,31.67,15.93,5.24
2012-11-13,34.55,65.45,49.25,30.11,15.31,5.02
2012-11-06,34.48,65.52,49.79,31.84,16.19,5.16
2012-10-30,34.23,65.77,50.35,32.02,15.92,4.91
2012-10-23,32.98,67.02,51.72,32.33,16.33,4.88
2012-10-16,32.46,67.54,52.21,32.48,15.96,4.88
2012-10-09,31.00,69.00,53.18,33.39,16.86,5.17
2012-10-02,31.70,68.30,54.05,33.52,16.83,5.07
2012-09-25,31.11,68.89,54.78,35.24,17.97,5.12
2012-09-18,29.80,70.20,54.25,34.36,17.35,4.98
2012-09-11,29.49,70.51,53.70,34.98,17.64,5.20
2012-09-04,30.38,69.62,53.06,35.53,17.93,5.13
2012-08-28,30.19,69.81,52.64,35.42,19.38,5.05
2012-08-21,30.53,69.47,52.89,36.83,19.24,5.27
2012-08-14,30.20,69.80,51.71,38.09,19.80,5.23
2012-08-07,29.81,70.19,52.27,38.48,20.18,3.51
2012-07-31,28.78,71.22,52.65,38.12,18.62,2.52
2012-07-24,28.19,71.81,53.44,38.11,17.20,1.99
2012-07-17,27.62,72.38,53.17,35.33,11.32,0.83
2012-07-10,28.30,71.70,50.92,31.11,9.71,0.62
2012-07-03,29.30,70.70,46.84,28.65,8.64,0.50
2012-06-26,32.90,67.10,42.80,25.72,7.15,0.34
2012-06-19,39.42,60.58,39.12,20.32,4.35,0.24
2012-06-12,47.62,52.38,33.24,16.04,3.29,0.24
2012-06-05,46.40,53.60,32.34,15.85,3.86,0.50
2012-05-29,46.40,53.60,31.31,15.87,4.38,0.55
2012-05-22,47.83,52.17,29.58,16.31,4.98,0.80
2012-05-15,54.12,45.88,28.19,15.42,4.78,0.85
2012-05-08,53.01,46.99,30.06,16.46,5.67,1.34
2012-05-01,50.33,49.67,31.98,17.10,5.80,1.61
2012-04-24,50.25,49.75,31.06,16.73,5.58,1.55
2012-04-17,50.23,49.77,30.95,16.44,5.50,1.58
2012-04-10,49.03,50.97,32.12,16.87,5.64,1.72
2012-04-03,49.67,50.33,30.80,16.47,5.57,1.61
2012-03-27,52.75,47.25,30.10,16.27,5.63,1.80
