Week,Nothing,D0,D1,D2,D3,D4
2013-07-16,0.00,100.00,99.03,48.27,7.54,0.00
2013-07-09,0.00,100.00,99.03,48.22,7.54,0.00
2013-07-02,0.00,100.00,99.99,48.22,7.54,0.00
2013-06-25,0.00,100.00,99.99,48.10,5.41,0.00
2013-06-18,0.00,100.00,99.99,48.04,5.29,0.00
2013-06-11,0.00,100.00,99.99,47.53,0.81,0.00
2013-06-04,0.00,100.00,99.60,47.83,0.81,0.00
2013-05-28,0.00,100.00,99.46,50.24,1.53,0.00
2013-05-21,0.00,100.00,99.46,50.24,1.53,0.00
2013-05-14,0.00,100.00,99.46,47.09,1.53,0.00
2013-05-07,0.00,100.00,96.29,51.39,1.53,0.00
2013-04-30,0.00,100.00,96.29,51.39,1.53,0.00
2013-04-23,0.00,100.00,96.29,49.42,1.53,0.00
2013-04-16,0.00,100.00,96.27,44.29,1.53,0.00
2013-04-09,0.00,100.00,96.27,44.29,1.53,0.00
2013-04-02,0.00,100.00,96.27,46.36,1.53,0.00
2013-03-26,0.00,100.00,96.27,46.36,1.53,0.00
2013-03-19,0.00,100.00,96.27,46.36,1.53,0.00
2013-03-12,0.00,100.00,96.27,46.36,1.53,0.00
2013-03-05,0.00,100.00,96.26,51.59,1.53,0.00
2013-02-26,0.00,100.00,99.89,55.35,2.05,0.00
2013-02-19,0.00,100.00,99.90,55.35,2.05,0.00
2013-02-12,0.00,100.00,99.90,55.35,2.02,0.00
2013-02-05,0.00,100.00,99.90,63.96,9.74,0.00
2013-01-29,0.00,100.00,99.90,63.96,13.95,0.00
2013-01-22,0.00,100.00,99.91,63.96,13.95,0.00
2013-01-15,0.00,100.00,99.91,63.96,13.95,0.00
2013-01-08,0.00,100.00,99.91,64.02,13.89,0.00
2013-01-01,0.00,100.00,99.99,66.47,21.34,0.00
2012-12-25,0.00,100.00,99.99,72.12,26.81,0.00
2012-12-18,0.00,100.00,99.99,72.12,26.81,0.00
2012-12-11,0.00,100.00,99.99,72.12,26.99,0.00
2012-12-04,0.00,100.00,99.99,67.05,26.99,0.00
2012-11-27,0.00,100.00,99.99,67.05,26.99,0.00
2012-11-20,0.00,100.00,99.99,67.05,26.99,0.00
2012-11-13,0.00,100.00,99.99,67.05,26.99,0.00
2012-11-06,0.00,100.00,99.99,79.44,32.39,0.00
2012-10-30,0.00,100.00,99.99,79.44,32.39,0.00
2012-10-23,0.00,100.00,99.99,79.44,32.40,0.00
2012-10-16,0.00,100.00,99.99,79.51,22.53,0.00
2012-10-09,0.00,100.00,100.00,82.36,22.53,0.00
2012-10-02,0.00,100.00,100.00,82.36,22.53,0.00
2012-09-25,0.00,100.00,100.00,83.18,22.53,0.00
2012-09-18,0.00,100.00,100.00,83.18,22.53,0.00
2012-09-11,0.00,100.00,100.00,85.94,22.53,0.00
2012-09-04,0.00,100.00,100.00,87.28,22.53,0.00
2012-08-28,0.00,100.00,100.00,87.68,29.77,0.00
2012-08-21,0.00,100.00,100.00,87.19,29.48,0.00
2012-08-14,0.00,100.00,98.48,72.43,29.52,0.00
2012-08-07,0.00,100.00,98.52,72.43,29.39,0.00
2012-07-31,0.00,100.00,98.52,72.47,29.76,0.00
2012-07-24,0.00,100.00,98.52,72.47,31.49,0.00
2012-07-17,0.00,100.00,98.52,72.47,31.49,0.00
2012-07-10,0.00,100.00,89.12,72.47,31.49,0.00
2012-07-03,0.00,100.00,88.90,69.56,26.93,0.00
2012-06-26,0.00,100.00,88.04,69.58,26.93,0.00
2012-06-19,1.05,98.95,87.98,50.36,3.76,0.00
2012-06-12,1.05,98.95,85.56,43.27,2.26,0.00
2012-06-05,1.05,98.95,85.57,41.24,0.00,0.00
2012-05-29,1.05,98.95,85.57,41.24,0.00,0.00
2012-05-22,1.05,98.95,85.86,41.21,0.00,0.00
2012-05-15,1.05,98.95,85.80,26.44,0.00,0.00
2012-05-08,1.05,98.95,85.80,26.33,0.00,0.00
2012-05-01,1.05,98.95,84.22,23.64,0.00,0.00
2012-04-24,1.05,98.95,62.76,28.76,0.00,0.00
2012-04-17,0.99,99.01,56.15,15.09,0.00,0.00
2012-04-10,0.99,99.01,55.89,0.00,0.00,0.00
2012-04-03,11.87,88.13,55.89,0.00,0.00,0.00
2012-03-27,13.25,86.75,41.19,0.00,0.00,0.00
2012-03-20,13.24,86.76,41.19,0.00,0.00,0.00
2012-03-13,12.73,87.27,41.23,7.03,0.00,0.00
2012-03-06,12.73,87.27,40.89,7.03,0.00,0.00
2012-02-28,12.80,87.20,40.89,4.46,0.00,0.00
2012-02-21,12.80,87.20,37.08,0.00,0.00,0.00
2012-02-14,12.75,87.25,35.39,0.00,0.00,0.00
2012-02-07,12.75,87.25,35.17,0.00,0.00,0.00
2012-01-31,12.75,87.25,35.17,0.00,0.00,0.00
2012-01-24,12.32,87.68,34.13,0.00,0.00,0.00
2012-01-17,32.97,67.03,0.32,0.00,0.00,0.00
2012-01-10,34.11,65.89,0.32,0.00,0.00,0.00
2012-01-03,88.71,11.29,0.32,0.00,0.00,0.00
2011-12-27,92.53,7.47,0.32,0.00,0.00,0.00
2011-12-20,93.37,6.63,0.32,0.00,0.00,0.00
2011-12-13,93.37,6.63,0.32,0.00,0.00,0.00
2011-12-06,93.37,6.63,0.32,0.00,0.00,0.00
2011-11-29,93.37,6.63,0.32,0.00,0.00,0.00
2011-11-22,93.37,6.63,0.32,0.00,0.00,0.00
2011-11-15,93.37,6.63,0.32,0.00,0.00,0.00
2011-11-08,93.41,6.59,0.36,0.00,0.00,0.00
2011-11-01,93.41,6.59,0.36,0.00,0.00,0.00
2011-10-25,93.18,6.82,0.32,0.00,0.00,0.00
2011-10-18,93.18,6.82,0.32,0.00,0.00,0.00
2011-10-11,93.18,6.82,0.32,0.00,0.00,0.00
2011-10-04,92.97,7.03,0.32,0.00,0.00,0.00
2011-09-27,92.95,7.05,0.32,0.00,0.00,0.00
2011-09-20,92.95,7.05,0.32,0.00,0.00,0.00
2011-09-13,91.33,8.67,1.70,0.00,0.00,0.00
2011-09-06,91.28,8.72,1.70,0.00,0.00,0.00
2011-08-30,93.53,6.47,1.71,0.00,0.00,0.00
2011-08-23,93.53,6.47,1.71,0.00,0.00,0.00
2011-08-16,93.53,6.47,1.71,0.00,0.00,0.00
2011-08-09,93.53,6.47,1.71,0.00,0.00,0.00
2011-08-02,93.53,6.47,1.71,0.00,0.00,0.00
2011-07-26,93.53,6.47,1.71,0.00,0.00,0.00
2011-07-19,93.53,6.47,1.71,0.00,0.00,0.00
2011-07-12,93.53,6.47,1.71,0.00,0.00,0.00
2011-07-05,93.22,6.78,1.71,0.00,0.00,0.00
2011-06-28,92.64,7.36,1.71,0.00,0.00,0.00
2011-06-21,96.71,3.29,1.32,0.00,0.00,0.00
2011-06-14,96.71,3.29,1.32,0.00,0.00,0.00
2011-06-07,96.71,3.29,1.32,0.00,0.00,0.00
2011-05-31,96.71,3.29,1.32,0.00,0.00,0.00
2011-05-24,96.72,3.28,1.35,0.00,0.00,0.00
2011-05-17,96.54,3.46,1.58,0.00,0.00,0.00
2011-05-10,96.54,3.46,0.00,0.00,0.00,0.00
2011-05-03,96.96,3.04,0.00,0.00,0.00,0.00
2011-04-26,96.96,3.04,0.00,0.00,0.00,0.00
2011-04-19,96.96,3.04,0.00,0.00,0.00,0.00
2011-04-12,96.96,3.04,0.00,0.00,0.00,0.00
2011-04-05,96.96,3.04,0.00,0.00,0.00,0.00
2011-03-29,96.80,3.20,0.00,0.00,0.00,0.00
2011-03-22,96.92,3.08,0.00,0.00,0.00,0.00
2011-03-15,96.92,3.08,0.00,0.00,0.00,0.00
2011-03-08,99.30,0.70,0.00,0.00,0.00,0.00
2011-03-01,99.30,0.70,0.00,0.00,0.00,0.00
2011-02-22,99.30,0.70,0.00,0.00,0.00,0.00
2011-02-15,99.30,0.70,0.00,0.00,0.00,0.00
2011-02-08,95.32,4.68,0.00,0.00,0.00,0.00
2011-02-01,100.00,0.00,0.00,0.00,0.00,0.00
2011-01-25,100.00,0.00,0.00,0.00,0.00,0.00
2011-01-18,100.00,0.00,0.00,0.00,0.00,0.00
2011-01-11,100.00,0.00,0.00,0.00,0.00,0.00
2011-01-04,99.54,0.46,0.00,0.00,0.00,0.00
2010-12-28,97.39,2.61,0.00,0.00,0.00,0.00
2010-12-21,96.00,4.00,0.00,0.00,0.00,0.00
2010-12-14,94.95,5.05,0.00,0.00,0.00,0.00
2010-12-07,86.98,13.02,0.00,0.00,0.00,0.00
2010-11-30,85.75,14.25,0.00,0.00,0.00,0.00
2010-11-23,82.64,17.36,0.00,0.00,0.00,0.00
2010-11-16,81.92,18.08,0.00,0.00,0.00,0.00
2010-11-09,81.12,18.88,0.00,0.00,0.00,0.00
2010-11-02,81.12,18.88,0.00,0.00,0.00,0.00
2010-10-26,81.12,18.88,0.00,0.00,0.00,0.00
2010-10-19,60.44,39.56,3.63,0.00,0.00,0.00
2010-10-12,60.44,39.56,3.63,0.00,0.00,0.00
2010-10-05,60.44,39.56,3.63,0.00,0.00,0.00
2010-09-28,60.44,39.56,3.63,0.00,0.00,0.00
2010-09-21,76.72,23.28,0.47,0.00,0.00,0.00
2010-09-14,76.72,23.28,0.47,0.00,0.00,0.00
2010-09-07,76.72,23.28,0.47,0.00,0.00,0.00
2010-08-31,76.72,23.28,0.47,0.00,0.00,0.00
2010-08-24,76.72,23.28,0.47,0.00,0.00,0.00
2010-08-17,76.72,23.28,0.47,0.00,0.00,0.00
2010-08-10,76.70,23.30,0.47,0.00,0.00,0.00
2010-08-03,76.70,23.30,1.19,0.00,0.00,0.00
2010-07-27,74.83,25.17,1.54,0.00,0.00,0.00
2010-07-20,81.43,18.57,0.06,0.00,0.00,0.00
2010-07-13,86.93,13.07,0.00,0.00,0.00,0.00
2010-07-06,86.93,13.07,0.00,0.00,0.00,0.00
2010-06-29,68.88,31.12,1.03,0.00,0.00,0.00
2010-06-22,68.88,31.12,1.03,0.00,0.00,0.00
2010-06-15,68.88,31.12,1.03,0.00,0.00,0.00
2010-06-08,68.88,31.12,3.43,0.00,0.00,0.00
2010-06-01,44.81,55.19,1.50,0.00,0.00,0.00
2010-05-25,44.81,55.19,1.50,0.00,0.00,0.00
2010-05-18,43.90,56.10,3.99,0.03,0.00,0.00
2010-05-11,42.10,57.90,3.99,0.03,0.00,0.00
2010-05-04,42.11,57.89,3.99,0.03,0.00,0.00
2010-04-27,42.11,57.89,3.99,0.03,0.00,0.00
2010-04-20,42.11,57.89,3.99,0.03,0.00,0.00
2010-04-13,42.03,57.97,3.99,0.03,0.00,0.00
2010-04-06,39.28,60.72,3.99,0.03,0.00,0.00
2010-03-30,39.28,60.72,3.99,0.03,0.00,0.00
2010-03-23,39.14,60.86,4.22,0.03,0.00,0.00
2010-03-16,21.17,78.83,5.21,0.03,0.00,0.00
2010-03-09,6.52,93.48,11.64,0.19,0.00,0.00
2010-03-02,6.42,93.58,11.64,0.26,0.00,0.00
2010-02-23,6.42,93.58,11.64,0.26,0.00,0.00
2010-02-16,5.45,94.55,12.30,0.26,0.00,0.00
2010-02-09,5.47,94.53,12.30,0.26,0.00,0.00
2010-02-02,5.47,94.53,12.65,0.26,0.00,0.00
2010-01-26,5.48,94.52,12.65,0.69,0.00,0.00
2010-01-19,5.48,94.52,27.90,5.22,0.00,0.00
2010-01-12,5.48,94.52,21.53,5.22,0.00,0.00
2010-01-05,29.18,70.82,18.83,3.16,0.00,0.00
2009-12-29,34.65,65.35,18.83,3.18,0.00,0.00
2009-12-22,34.74,65.26,18.83,3.18,0.00,0.00
2009-12-15,34.74,65.26,18.83,3.18,0.00,0.00
2009-12-08,34.74,65.26,18.83,3.18,0.00,0.00
2009-12-01,34.72,65.28,18.83,3.18,0.00,0.00
2009-11-24,34.72,65.28,18.65,3.18,0.00,0.00
2009-11-17,50.03,49.97,10.34,1.29,0.00,0.00
2009-11-10,50.03,49.97,10.31,1.29,0.00,0.00
2009-11-03,69.34,30.66,5.51,1.29,0.00,0.00
2009-10-27,69.34,30.66,5.51,1.29,0.00,0.00
2009-10-20,69.34,30.66,5.51,1.35,0.00,0.00
2009-10-13,69.34,30.66,5.51,1.35,0.00,0.00
2009-10-06,69.34,30.66,3.58,0.00,0.00,0.00
2009-09-29,69.34,30.66,3.56,0.00,0.00,0.00
2009-09-22,69.34,30.66,0.01,0.00,0.00,0.00
2009-09-15,69.74,30.26,0.00,0.00,0.00,0.00
2009-09-08,54.45,45.55,2.33,0.00,0.00,0.00
2009-09-01,55.20,44.80,0.00,0.00,0.00,0.00
2009-08-25,83.85,16.15,0.00,0.00,0.00,0.00
2009-08-18,97.24,2.76,0.00,0.00,0.00,0.00
2009-08-11,97.24,2.76,0.00,0.00,0.00,0.00
2009-08-04,97.22,2.78,0.00,0.00,0.00,0.00
2009-07-28,97.99,2.01,0.00,0.00,0.00,0.00
2009-07-21,97.99,2.01,0.00,0.00,0.00,0.00
2009-07-14,97.99,2.01,0.00,0.00,0.00,0.00
2009-07-07,97.99,2.01,0.00,0.00,0.00,0.00
2009-06-30,97.99,2.01,0.00,0.00,0.00,0.00
2009-06-23,97.99,2.01,0.00,0.00,0.00,0.00
2009-06-16,96.66,3.34,0.00,0.00,0.00,0.00
2009-06-09,96.30,3.70,0.39,0.00,0.00,0.00
2009-06-02,95.61,4.39,0.57,0.00,0.00,0.00
2009-05-26,95.56,4.44,0.57,0.00,0.00,0.00
2009-05-19,68.54,31.46,0.57,0.00,0.00,0.00
2009-05-12,71.73,28.27,0.57,0.00,0.00,0.00
2009-05-05,66.50,33.50,0.14,0.00,0.00,0.00
2009-04-28,52.43,47.57,1.11,0.00,0.00,0.00
2009-04-21,42.97,57.03,10.59,0.00,0.00,0.00
2009-04-14,40.18,59.82,13.32,0.00,0.00,0.00
2009-04-07,42.78,57.22,13.32,0.00,0.00,0.00
