Week,Nothing,D0,D1,D2,D3,D4
2013-07-16,100.00,0.00,0.00,0.00,0.00,0.00
2013-07-09,100.00,0.00,0.00,0.00,0.00,0.00
2013-07-02,100.00,0.00,0.00,0.00,0.00,0.00
2013-06-25,100.00,0.00,0.00,0.00,0.00,0.00
2013-06-18,100.00,0.00,0.00,0.00,0.00,0.00
2013-06-11,100.00,0.00,0.00,0.00,0.00,0.00
2013-06-04,99.31,0.69,0.00,0.00,0.00,0.00
2013-05-28,99.31,0.69,0.00,0.00,0.00,0.00
2013-05-21,99.31,0.69,0.00,0.00,0.00,0.00
2013-05-14,99.31,0.69,0.00,0.00,0.00,0.00
2013-05-07,100.00,0.00,0.00,0.00,0.00,0.00
2013-04-30,100.00,0.00,0.00,0.00,0.00,0.00
2013-04-23,100.00,0.00,0.00,0.00,0.00,0.00
2013-04-16,100.00,0.00,0.00,0.00,0.00,0.00
2013-04-09,100.00,0.00,0.00,0.00,0.00,0.00
2013-04-02,100.00,0.00,0.00,0.00,0.00,0.00
2013-03-26,100.00,0.00,0.00,0.00,0.00,0.00
2013-03-19,100.00,0.00,0.00,0.00,0.00,0.00
2013-03-12,100.00,0.00,0.00,0.00,0.00,0.00
2013-03-05,89.12,10.88,0.00,0.00,0.00,0.00
2013-02-26,86.46,13.54,0.00,0.00,0.00,0.00
2013-02-19,84.68,15.32,0.00,0.00,0.00,0.00
2013-02-12,84.68,15.32,0.00,0.00,0.00,0.00
2013-02-05,83.97,16.03,0.00,0.00,0.00,0.00
2013-01-29,75.42,24.58,13.36,0.00,0.00,0.00
2013-01-22,75.42,24.58,13.36,0.00,0.00,0.00
2013-01-15,45.64,54.36,32.08,0.00,0.00,0.00
2013-01-08,36.25,63.75,43.94,0.00,0.00,0.00
2013-01-01,36.45,63.55,43.94,0.00,0.00,0.00
2012-12-25,36.24,63.76,35.68,0.00,0.00,0.00
2012-12-18,36.24,63.76,35.68,0.00,0.00,0.00
2012-12-11,36.24,63.76,35.68,0.00,0.00,0.00
2012-12-04,36.33,63.67,35.68,0.00,0.00,0.00
2012-11-27,42.77,57.23,33.51,0.00,0.00,0.00
2012-11-20,57.37,42.63,19.26,0.00,0.00,0.00
2012-11-13,61.89,38.11,11.83,0.00,0.00,0.00
2012-11-06,70.48,29.52,4.99,0.00,0.00,0.00
2012-10-30,75.04,24.96,4.99,0.00,0.00,0.00
2012-10-23,63.08,36.92,7.66,0.00,0.00,0.00
2012-10-16,63.10,36.90,7.79,0.00,0.00,0.00
2012-10-09,63.10,36.90,7.79,0.00,0.00,0.00
2012-10-02,56.84,43.16,10.76,0.00,0.00,0.00
2012-09-25,54.31,45.69,12.24,0.00,0.00,0.00
2012-09-18,45.62,54.38,13.55,0.00,0.00,0.00
2012-09-11,47.08,52.92,13.55,0.00,0.00,0.00
2012-09-04,47.09,52.91,13.55,0.52,0.00,0.00
2012-08-28,41.25,58.75,19.59,0.52,0.00,0.00
2012-08-21,33.69,66.31,20.74,0.59,0.00,0.00
2012-08-14,29.67,70.33,17.64,0.59,0.00,0.00
2012-08-07,29.79,70.21,17.64,0.59,0.00,0.00
2012-07-31,24.54,75.46,17.64,0.59,0.00,0.00
2012-07-24,17.96,82.04,19.21,0.00,0.00,0.00
2012-07-17,11.20,88.80,16.07,0.00,0.00,0.00
2012-07-10,11.20,88.80,10.09,0.00,0.00,0.00
2012-07-03,9.00,91.00,5.87,0.00,0.00,0.00
2012-06-26,69.22,30.78,1.50,0.00,0.00,0.00
2012-06-19,81.73,18.27,0.00,0.00,0.00,0.00
2012-06-12,91.48,8.52,0.00,0.00,0.00,0.00
2012-06-05,91.48,8.52,0.00,0.00,0.00,0.00
2012-05-29,85.74,14.26,0.00,0.00,0.00,0.00
2012-05-22,77.25,22.75,0.00,0.00,0.00,0.00
2012-05-15,45.79,54.21,0.00,0.00,0.00,0.00
2012-05-08,39.12,60.88,10.08,0.00,0.00,0.00
2012-05-01,39.00,61.00,9.83,0.00,0.00,0.00
2012-04-24,38.50,61.50,9.83,0.00,0.00,0.00
2012-04-17,37.52,62.48,10.60,0.07,0.00,0.00
2012-04-10,37.52,62.48,10.60,0.07,0.00,0.00
2012-04-03,63.00,37.00,0.11,0.00,0.00,0.00
2012-03-27,65.87,34.13,0.00,0.00,0.00,0.00
2012-03-20,51.73,48.27,0.44,0.00,0.00,0.00
2012-03-13,81.22,18.78,0.00,0.00,0.00,0.00
2012-03-06,82.92,17.08,0.00,0.00,0.00,0.00
2012-02-28,73.77,26.23,0.00,0.00,0.00,0.00
2012-02-21,73.77,26.23,0.00,0.00,0.00,0.00
2012-02-14,73.77,26.23,0.00,0.00,0.00,0.00
2012-02-07,73.77,26.23,0.00,0.00,0.00,0.00
2012-01-31,73.77,26.23,0.00,0.00,0.00,0.00
2012-01-24,83.56,16.44,0.00,0.00,0.00,0.00
2012-01-17,83.56,16.44,0.00,0.00,0.00,0.00
2012-01-10,83.56,16.44,0.00,0.00,0.00,0.00
2012-01-03,95.48,4.52,0.00,0.00,0.00,0.00
2011-12-27,98.44,1.56,0.00,0.00,0.00,0.00
2011-12-20,98.44,1.56,0.00,0.00,0.00,0.00
2011-12-13,98.44,1.56,0.00,0.00,0.00,0.00
2011-12-06,100.00,0.00,0.00,0.00,0.00,0.00
2011-11-29,100.00,0.00,0.00,0.00,0.00,0.00
2011-11-22,100.00,0.00,0.00,0.00,0.00,0.00
2011-11-15,100.00,0.00,0.00,0.00,0.00,0.00
2011-11-08,100.00,0.00,0.00,0.00,0.00,0.00
2011-11-01,100.00,0.00,0.00,0.00,0.00,0.00
2011-10-25,100.00,0.00,0.00,0.00,0.00,0.00
2011-10-18,99.77,0.23,0.00,0.00,0.00,0.00
2011-10-11,95.62,4.38,0.00,0.00,0.00,0.00
2011-10-04,95.83,4.17,0.00,0.00,0.00,0.00
2011-09-27,95.83,4.17,0.00,0.00,0.00,0.00
2011-09-20,95.48,4.52,1.47,0.00,0.00,0.00
2011-09-13,95.48,4.52,1.47,0.00,0.00,0.00
2011-09-06,91.81,8.19,3.34,0.00,0.00,0.00
2011-08-30,63.08,36.92,16.53,0.00,0.00,0.00
2011-08-23,58.44,41.56,12.61,0.00,0.00,0.00
2011-08-16,58.99,41.01,7.67,0.00,0.00,0.00
2011-08-09,40.75,59.25,11.60,0.00,0.00,0.00
2011-08-02,43.38,56.62,11.65,0.00,0.00,0.00
2011-07-26,62.91,37.09,2.14,0.00,0.00,0.00
2011-07-19,78.50,21.50,2.14,0.00,0.00,0.00
2011-07-12,78.50,21.50,3.55,0.00,0.00,0.00
2011-07-05,60.98,39.02,19.26,0.82,0.00,0.00
2011-06-28,66.14,33.86,19.26,0.82,0.00,0.00
2011-06-21,66.14,33.86,19.26,0.82,0.00,0.00
2011-06-14,67.15,32.85,19.14,0.08,0.00,0.00
2011-06-07,74.07,25.93,14.91,0.09,0.00,0.00
2011-05-31,74.30,25.70,12.88,0.09,0.00,0.00
2011-05-24,74.18,25.82,11.48,0.00,0.00,0.00
2011-05-17,65.20,34.80,12.37,0.00,0.00,0.00
2011-05-10,62.24,37.76,7.24,0.00,0.00,0.00
2011-05-03,62.24,37.76,7.24,0.00,0.00,0.00
2011-04-26,64.25,35.75,0.00,0.00,0.00,0.00
2011-04-19,54.37,45.63,0.00,0.00,0.00,0.00
2011-04-12,50.52,49.48,26.72,0.00,0.00,0.00
2011-04-05,39.74,60.26,30.75,0.00,0.00,0.00
2011-03-29,36.74,63.26,30.46,0.00,0.00,0.00
2011-03-22,36.47,63.53,30.46,0.00,0.00,0.00
2011-03-15,23.19,76.81,33.74,0.00,0.00,0.00
2011-03-08,11.45,88.55,53.12,0.00,0.00,0.00
2011-03-01,1.78,98.22,69.44,0.00,0.00,0.00
2011-02-22,1.78,98.22,69.44,0.00,0.00,0.00
2011-02-15,1.78,98.22,65.28,0.00,0.00,0.00
2011-02-08,7.74,92.26,57.32,0.00,0.00,0.00
2011-02-01,18.30,81.70,55.04,0.00,0.00,0.00
2011-01-25,18.30,81.70,46.28,0.00,0.00,0.00
2011-01-18,18.30,81.70,0.00,0.00,0.00,0.00
2011-01-11,25.20,74.80,0.00,0.00,0.00,0.00
2011-01-04,81.68,18.32,0.00,0.00,0.00,0.00
2010-12-28,81.67,18.33,0.00,0.00,0.00,0.00
2010-12-21,81.65,18.35,0.00,0.00,0.00,0.00
2010-12-14,80.02,19.98,0.00,0.00,0.00,0.00
2010-12-07,75.48,24.52,0.00,0.00,0.00,0.00
2010-11-30,50.71,49.29,3.36,0.00,0.00,0.00
2010-11-23,63.20,36.80,3.36,0.00,0.00,0.00
2010-11-16,63.20,36.80,3.37,0.00,0.00,0.00
2010-11-09,63.20,36.80,3.37,0.00,0.00,0.00
2010-11-02,56.99,43.01,7.67,0.85,0.00,0.00
