Week,Nothing,D0,D1,D2,D3,D4
2013-07-16,100.00,0.00,0.00,0.00,0.00,0.00
2013-07-09,93.41,6.59,0.00,0.00,0.00,0.00
2013-07-02,92.68,7.32,0.00,0.00,0.00,0.00
2013-06-25,83.17,16.83,1.61,0.00,0.00,0.00
2013-06-18,83.17,16.83,1.61,0.00,0.00,0.00
2013-06-11,71.29,28.71,1.61,0.00,0.00,0.00
2013-06-04,62.20,37.80,1.61,0.00,0.00,0.00
2013-05-28,62.20,37.80,1.61,0.00,0.00,0.00
2013-05-21,56.95,43.05,2.49,0.00,0.00,0.00
2013-05-14,54.10,45.90,2.62,0.00,0.00,0.00
2013-05-07,37.74,62.26,17.45,0.00,0.00,0.00
2013-04-30,68.72,31.28,0.00,0.00,0.00,0.00
2013-04-23,81.19,18.81,0.00,0.00,0.00,0.00
2013-04-16,81.19,18.81,0.00,0.00,0.00,0.00
2013-04-09,100.00,0.00,0.00,0.00,0.00,0.00
2013-04-02,100.00,0.00,0.00,0.00,0.00,0.00
2013-03-26,100.00,0.00,0.00,0.00,0.00,0.00
2013-03-19,100.00,0.00,0.00,0.00,0.00,0.00
2013-03-12,100.00,0.00,0.00,0.00,0.00,0.00
2013-03-05,99.44,0.56,0.00,0.00,0.00,0.00
2013-02-26,99.44,0.56,0.00,0.00,0.00,0.00
2013-02-19,99.44,0.56,0.00,0.00,0.00,0.00
2013-02-12,99.44,0.56,0.00,0.00,0.00,0.00
2013-02-05,99.44,0.56,0.00,0.00,0.00,0.00
2013-01-29,95.85,4.15,0.54,0.00,0.00,0.00
2013-01-22,95.85,4.15,0.54,0.00,0.00,0.00
2013-01-15,82.03,17.97,1.51,0.00,0.00,0.00
2013-01-08,77.95,22.05,1.51,0.00,0.00,0.00
2013-01-01,78.20,21.80,1.51,0.00,0.00,0.00
2012-12-25,78.20,21.80,0.00,0.00,0.00,0.00
2012-12-18,78.20,21.80,0.00,0.00,0.00,0.00
2012-12-11,78.20,21.80,0.00,0.00,0.00,0.00
2012-12-04,78.60,21.40,0.00,0.00,0.00,0.00
2012-11-27,87.44,12.56,0.00,0.00,0.00,0.00
2012-11-20,99.87,0.13,0.00,0.00,0.00,0.00
2012-11-13,100.00,0.00,0.00,0.00,0.00,0.00
2012-11-06,100.00,0.00,0.00,0.00,0.00,0.00
2012-10-30,99.40,0.60,0.00,0.00,0.00,0.00
2012-10-23,98.16,1.84,0.00,0.00,0.00,0.00
2012-10-16,98.16,1.84,0.00,0.00,0.00,0.00
2012-10-09,97.67,2.33,0.00,0.00,0.00,0.00
2012-10-02,97.95,2.05,0.00,0.00,0.00,0.00
2012-09-25,90.79,9.21,0.00,0.00,0.00,0.00
2012-09-18,81.13,18.87,0.00,0.00,0.00,0.00
2012-09-11,80.94,19.06,0.00,0.00,0.00,0.00
2012-09-04,96.09,3.91,0.00,0.00,0.00,0.00
2012-08-28,84.86,15.14,0.00,0.00,0.00,0.00
2012-08-21,83.02,16.98,0.00,0.00,0.00,0.00
2012-08-14,82.87,17.13,0.00,0.00,0.00,0.00
2012-08-07,82.39,17.61,0.00,0.00,0.00,0.00
2012-07-31,74.54,25.46,0.00,0.00,0.00,0.00
2012-07-24,37.84,62.16,3.47,0.00,0.00,0.00
2012-07-17,10.13,89.87,3.47,0.00,0.00,0.00
2012-07-10,0.00,100.00,1.65,0.00,0.00,0.00
2012-07-03,2.55,97.45,0.49,0.00,0.00,0.00
2012-06-26,22.14,77.86,0.06,0.00,0.00,0.00
2012-06-19,26.52,73.48,0.00,0.00,0.00,0.00
2012-06-12,98.32,1.68,0.00,0.00,0.00,0.00
2012-06-05,100.00,0.00,0.00,0.00,0.00,0.00
2012-05-29,100.00,0.00,0.00,0.00,0.00,0.00
2012-05-22,100.00,0.00,0.00,0.00,0.00,0.00
2012-05-15,99.19,0.81,0.00,0.00,0.00,0.00
2012-05-08,83.87,16.13,0.00,0.00,0.00,0.00
2012-05-01,80.32,19.68,0.00,0.00,0.00,0.00
2012-04-24,80.32,19.68,0.00,0.00,0.00,0.00
2012-04-17,80.41,19.59,0.00,0.00,0.00,0.00
2012-04-10,80.38,19.62,0.00,0.00,0.00,0.00
2012-04-03,82.07,17.93,0.00,0.00,0.00,0.00
2012-03-27,93.80,6.20,0.00,0.00,0.00,0.00
2012-03-20,93.80,6.20,0.00,0.00,0.00,0.00
2012-03-13,100.00,0.00,0.00,0.00,0.00,0.00
2012-03-06,100.00,0.00,0.00,0.00,0.00,0.00
2012-02-28,100.00,0.00,0.00,0.00,0.00,0.00
2012-02-21,100.00,0.00,0.00,0.00,0.00,0.00
2012-02-14,100.00,0.00,0.00,0.00,0.00,0.00
2012-02-07,100.00,0.00,0.00,0.00,0.00,0.00
2012-01-31,100.00,0.00,0.00,0.00,0.00,0.00
2012-01-24,100.00,0.00,0.00,0.00,0.00,0.00
2012-01-17,100.00,0.00,0.00,0.00,0.00,0.00
2012-01-10,100.00,0.00,0.00,0.00,0.00,0.00
2012-01-03,100.00,0.00,0.00,0.00,0.00,0.00
2011-12-27,100.00,0.00,0.00,0.00,0.00,0.00
2011-12-20,100.00,0.00,0.00,0.00,0.00,0.00
2011-12-13,100.00,0.00,0.00,0.00,0.00,0.00
2011-12-06,100.00,0.00,0.00,0.00,0.00,0.00
2011-11-29,100.00,0.00,0.00,0.00,0.00,0.00
2011-11-22,100.00,0.00,0.00,0.00,0.00,0.00
2011-11-15,100.00,0.00,0.00,0.00,0.00,0.00
2011-11-08,100.00,0.00,0.00,0.00,0.00,0.00
2011-11-01,100.00,0.00,0.00,0.00,0.00,0.00
2011-10-25,100.00,0.00,0.00,0.00,0.00,0.00
2011-10-18,100.00,0.00,0.00,0.00,0.00,0.00
2011-10-11,97.91,2.09,0.00,0.00,0.00,0.00
2011-10-04,97.91,2.09,0.00,0.00,0.00,0.00
2011-09-27,94.08,5.92,0.00,0.00,0.00,0.00
2011-09-20,94.08,5.92,0.00,0.00,0.00,0.00
2011-09-13,94.08,5.92,0.00,0.00,0.00,0.00
2011-09-06,74.04,25.96,0.99,0.00,0.00,0.00
2011-08-30,61.15,38.85,12.59,0.00,0.00,0.00
2011-08-23,68.97,31.03,5.56,0.00,0.00,0.00
2011-08-16,80.44,19.56,5.56,0.00,0.00,0.00
2011-08-09,72.41,27.59,6.45,0.00,0.00,0.00
2011-08-02,72.41,27.59,6.45,0.00,0.00,0.00
2011-07-26,91.92,8.08,0.00,0.00,0.00,0.00
2011-07-19,99.93,0.07,0.00,0.00,0.00,0.00
2011-07-12,99.97,0.03,0.00,0.00,0.00,0.00
2011-07-05,99.92,0.08,0.00,0.00,0.00,0.00
2011-06-28,100.00,0.00,0.00,0.00,0.00,0.00
2011-06-21,100.00,0.00,0.00,0.00,0.00,0.00
2011-06-14,100.00,0.00,0.00,0.00,0.00,0.00
2011-06-07,100.00,0.00,0.00,0.00,0.00,0.00
2011-05-31,100.00,0.00,0.00,0.00,0.00,0.00
2011-05-24,100.00,0.00,0.00,0.00,0.00,0.00
2011-05-17,100.00,0.00,0.00,0.00,0.00,0.00
